,评论
11,"飞鸟乐园比起野生动物园要小一些, 但我们带两个小孩还是悠闲的玩了, 个小时, 鸟类很多, 有科普讲解, 鸟类和走禽的表演也非常棒, 在看完珠海海洋世界, 广州长隆野生动物园后, 两个小朋友把飞鸟乐园的好评度排在三个乐园之首"
12,"特别幸运的是去的那天天气很好, 舒服, 园子并不大, 人也不是太多, 很悠闲的感觉, 百鸟飞歌绝对是精华, 很壮观, 因为在外面顶多能看到一群鸽子, 一群麻雀一起飞, 这么多品种的鸟还是很壮观的, 其他的讲解也很棒, 知道了很多知识, 大象龟讲解很好, 还能回答问题得小图册, 推荐"
13,"原来是鳄鱼公园, 现在改成飞鸟乐园, 鸟类种类还算多, 天鹅湖那边还有野生鸟类飞过来落户, 爬行动物也有很多展出, 工作人员很热情讲解他们的习性处境, 整体比长隆野生动物园小, 不过可逛性还是不错的, 长隆动物保育整体都比北京上海好"
14,"如果去过野生动物园, 飞鸟可以不用来了, 主要是要恰好时间点看各种表演, 飞鸟, 鳄鱼等等很精彩, 里面的讲解员很专业, 赞一个"
15,"百鸟飞歌节目好看, 服务周到, 服务人员耐心讲解"
16,"长隆是一个超大的度假区, 目测比迪士尼, 东部华侨城都要大出不少, 度假区由五部分组成, 飞鸟乐园便是其中非常重要的一个独立景区, 长隆野生动物园早已名声在外, 我从机场过来花了不少时间, 逛动物园怕时间不够, 所以第一站选了规模较小的飞鸟乐园, 结论前置, 个人认为飞鸟乐园比动物园更有趣, 无他, 表演巨多, 五项演出, 每项两场, 天, 一进景区就能看到演出时间表, 所有演出都看了证明飞鸟乐园也就转遍了, 用演出做导引, 真的很有效率, 百鸟飞歌必看, 真的太精彩了, 几十种鸟类陆续登场, 天鹅优雅, 火烈鸟抢眼, 鹈鹕霸道, 老鹰飞起来气贯长虹, 湿地精灵秀观看过程比较放松, 有时惊叹有时捧腹, 过程无比愉悦, 呲牙, 鳄作剧便是训鳄表演, 师傅都是从泰国聘来的, 技法很娴熟, 跟鳄鱼的, 关系, 铁磁, 能让冷血动物乖乖听话, 当世无出泰国人其右者, 飞鸟奇域观看的主要是善飞行的鸟类表演, 大翅一展, 天高任我行, 看得我无比羡慕, 科普讲堂我实在听不动, 小孩子们但是听得津津有味, 主要是讲解员手里有活物, 他们觉得有趣吧, 一圈转下来得三个小时, 一点不觉得累, 全程轻松愉快, 浑身舒泰, 舟车劳顿的疲倦不知不觉间就荡然无存, 取而代之的暖乎乎萌哒哒的好心情, 这心情让我对这座城市又增加了几分好感呢"
17,"长隆, 景加马戏, 都玩了, 我竟然觉得飞鸟最好, 门票最便宜, 可以和鸟类, 河马, 近距离接触, 真的很近, 几乎可以摸到, 但是我没有看到一个人去摸或者恐吓, 这也是对孩子的一种教育, 随处都有卫生间和洗手台, 顺着进门时发的演出单, 个小时满满的, 还有专业讲解员交我学会区别雄雌鸵鸟"
18,"长隆, 景加马戏, 都玩了, 我竟然觉得飞鸟最好, 门票最便宜, 可以和鸟类, 河马, 近距离接触, 真的很近, 几乎可以摸到, 但是我没有看到一个人去摸或者恐吓, 这也是对孩子的一种教育, 随处都有卫生间和洗手台, 顺着进门时发的演出单, 个小时满满的, 还有专业讲解员交我学会区别雄雌鸵鸟"
19,"坐摆渡大巴车去的路上, 本来对这里不抱希望, 没想到这里这样好, 环境非常好, 鸟语花香, 还有很多人工讲解鸟类的习性, 态度也都很好, 真的是很不错的地方, 只可惜下午要去珠海, 不然应该溜达一天"
20,"飞鸟乐园不在长隆旅游度假区内, 从长隆酒店门口坐度假区内的接驳车需要大约, 分钟左右到达, 这个乐园的前身是鳄鱼公园, 现今发展为以展示各种珍稀鸟类生态为主的湿地公园, 去的时候虽然是平日, 但是里面人很多, 主要是有很多学校的孩子在老师的带领下过来参观, 飞鸟乐园里有很多珍惜的湿地鸟类, 光仙鹤就有丹顶鹤, 黑颈鹤, 白枕鹤等六种之多, 还有火烈鸟, 鹈鹕, 鹦鹉, 鹰, 天鹅, 孔雀等鸟类和象龟, 巴西龟等一些两栖爬行动物, 另外作为原来的鳄鱼公园, 这里的湿地里还有大大小小的许多鳄鱼, 这里的鳄鱼都是散养在水里, 游客可以在栈道上租个鱼竿, 把肉穿在绳子的一头, 放到水面上喂食鳄鱼, 这里的专场表演很值得一看, 特别是以展示乐园里各种主要鸟类的百鸟飞歌和展示训鳄员与鳄鱼互动的鳄作剧最为精彩, 这两个表演都是上下午各演一场, 所以一定要留意园区的表演时间表, 总体来说感觉很不错, 乐园里面餐厅很多, 选择多样, 鸟类数量多品种多, 品质也好, 还有一些关于鸟类和爬行动物知识的讲解和介绍, 寓教于乐"
21,"很棒的一个地方, 度的天气园里随处有喷雾降临, 不会很热, 不经意间你会发现各色鹦鹉在你旁边的树上, 服务人员会为你讲解, 百鸟飞歌很棒, 驯兽师好厉害, 及时奖励鸟儿们, 鹈鹕好多, 果汁较动物园便宜十元, 天鹅投喂较动物园便宜十元, 一个下午可逛完"
22,"很好玩, 很多表演, 并且会有各种免费讲解, 学习到了很多相关知识, 餐点有点贵"
23,"广州长隆欢乐世界是本地最受亲子欢迎的乐园, 这个乐园拥有世界上先进的乐园设施, 主要由于, 个游玩区域组成, 乐园不仅拥有先进的机动游玩设施, 而且还有来自全世界各地的巡游表演队伍, 适合亲子过来体验游玩"
24,"不错的很快, 确实是不错的, 挺好, 物有所值, 建议大家都可以购买, 虽然说现在去的人也不多, 但是能不排队就不排队吧, 进去的话可以去电子机器购买"
25,"长隆欢乐世界拥有游乐设施, 余套, 其中大部分游乐设备均从欧洲原装进口, 是集乘骑游乐, 特技剧场, 巡游表演, 生态休闲, 特色餐饮, 主题商店, 综合服务于一体的具国际先进技术和管理水平的超大型主题游乐园"
26,"非常愉快的乐园, 电子票有专门的通道, 无需取纸质票, 很好用, 乐园玩水真的很爽, 晚上还有, 助兴, 好评"
27,"你还找不到这个万圣节节目的话, 建议你也来这里, 园内下午有表演, 很值得一看, 表演节目时间安排以当日公告为准, 请特别留意观看主要干道上的电子屏幕和现场电子提示牌, 尖叫地带, 欢乐剧场与国际特技剧场附近的大型电子屏幕上, 都有详细介绍了园区当天主要演艺时间, 还可留意园区的广播, 各大剧场及表演开演前半小时, 一般会有广播提示, 可以提前过去占个好位置"
28,"人山人海啊, 这才是真正的人海, 尴尬啦, 说实话, 这几天的行程下来, 几乎没有黄金周的拥挤和堵车, 但是最后在长隆水上乐园一次性爆发了, 所谓全国最大设施最先进的水上探险乐园, 这里的游玩体验绝对是一级棒的, 几个特色项目也很具独创性, 但前提是没有那么那么多的人, 由于是十一假期, 而且这里是孩子们的最爱, 所以人流量目测是超多超多的, 这就导致很多项目需要排队超过半小时以上, 也一定程度降低了体验感, 另外, 相比于国外同类型的水上乐园, 这里对身高体重的要求更多, 不少项目是限高, 以上, 限重, 至, 之间, 甚至有个别项目限重, 所以大人小孩都会有所限制, 太小的小朋友或者像我这样大肚腩的男同胞们就只能望洋兴叹啦, 总结一句话, 乐园很美好, 游玩需谨慎"
29,"是广州最著名的水上乐园, 拥有无数的最先进的游乐设施设备, 以及最新的超大的游乐空间, 顶尖的配套设施, 吸引了大量外来游客来次体验游玩"
30,"方便快捷的电子票, 园区内的东西三个字真心贵, 是外面的, 至, 倍价格, 租借储物柜, 元一次, 租用橡皮艇要, 元一次, 节假日进园停车难, 要走很远的一段路程"
31,"正值酷夏之时, 长隆水上乐园是消除炎热的不二选择, 有很多有意义的娱乐项目, 惊险刺激, 游乐设施安全先进, 服务态度良好, 值得一去"
32,"不虚此行, 门票非常值, 动物都挺近距离观看的, 经常有讲解可以听, 一开始对科普大讲堂没什么兴趣, 可是去看了之后发现真的超有趣, 最喜欢南美探秘, 一开始对小火车和缆车很感兴趣, 但整体下来发现还不如步行观看, 个人建议先步行后乘小火车或者缆车"
33,"经常看到广告语, 幸福快乐在长隆, 确实哦, 动物世界有可爱的大熊猫, 有老虎狮子和长颈鹿, 园区分为步行区和自驾区, 自驾区可以坐着小火车看哦, 小火车上有导游讲解, 近距离看动物很过瘾"
34,"非常方便, 值得来玩, 尤其是小火车讲解非常不错, 不足之处就是景区里吃饭的地方不是很多, 吃的也很简单, 选择不多希望可以丰富一点"
35,"很喜欢, 不管自己去玩还是带小朋友去都很好, 建议如果带小朋友去要体验一次园里的小动物课程, 有专门的工作人员介绍讲解, 近距离观察小动物, 对小朋友来说是一次很好的体验"
36,"太棒了, 之前一直听朋友说好玩, 终于有机会自己来体验下了, 动物都在离自己很近的地方, 不像有些动物园关在笼子里还离游客, 多米远, 订的电子票到门口扫微信二维码就可以拿到, 了, 不需要在排队取票了, 非常方便, 而且淡季园内的小火车和缆车都是免费的"
37,"值得一游, 去的早, 后面排了好多人, 还没到开门时间, 然后过安检, 入门口会有导游带你去天鹅湖坐小火车, 小火车上会有导游全程讲解, 到原点下火车步行天鹅湖, 虎山, 然后回来看侏罗纪公园, 开放, 时间刚刚好, 然后一路前行, 中途会有动物表演, 时间关注图片, 再去考拉馆, 熊猫馆, 熊猫餐厅是最丰富的, 考拉餐厅也不错, 就是价格有点贵, 玩了小秋千等娱乐项目, 最后坐揽车环线, 在熊猫这边乘坐, 然后就是看, 电影, 很精彩, 天黑了, 灯全亮了, 可以夜游, 点熊猫这边有动物表演, 时间安排刚刚好, 不虚此行"
38,"总的一句话, 非常满意, 各方面体验都很好, 周一临时起意, 马上定好高铁, 酒店和动物园门票, 周五就带上媳妇儿和儿子出发, 没有带, 岁的妹妹, 奶粉尿不湿什么的确实太麻烦, 去往长隆, 媳妇儿说我真的是携程的好代言人, 真的是, 携程在手, 说走就走, 前戏有点啰嗦, 马上进入正题, 月, 号晚上到长隆酒店住下, 号早上, 起床吃早餐, 然后在酒店侧门坐景区穿梭巴士, 景区循环线, 直接去往野生动物园南门, 扫码领取电子票, 凭电子票再扫码入园, 南门最左侧是长隆集团旗下酒店住客的快捷通道, 所以我们几乎没排队就进去了, 进入园区时, 务必拿一张导览地图, 因为真的非, 常, 大, 往右走第一个主题动物园是棕熊乐园, 长隆野生动物园里面的每一个主题动物园设置几乎差不多, 既野外展示区, 室内展览, 科普, 主题纪念品商店, 大致都是分为上述三个板块, 从棕熊乐园出来后就看到了熊猫乐园空中缆车站, 居然没人排队, 凑近一看, 原来最早一班缆车发车时间是, 一看手机才, 太早了, 于是就近去把熊猫乐园参观了, 然后出来之后发现缆车进站口已经排起了长龙, 这里又有一个惊喜, 长隆旗下酒店住客又可以享受便捷通道, 于是我们又几乎没排队进了空中缆车站, 但是即便是快捷通道人也不少, 所以建议还是在, 以前去排队较好, 图, 缆车, 点准时发车, 整个轨迹是一个三角形, 从空中可以看到很多动物, 视角很新奇, 而且整个野生动物园森林覆盖率非常高, 所以空气非常好, 再加上广州晴朗暖和的天气, 我们一家三口非常惬意, 看到妻儿那么开心, 我也觉得成就感十足, 这个仓促的决定太正确了, 于是一家人慢慢悠悠逛到港式茶餐厅吃了中午饭, 两份套饭, 元和, 元, 大人孩子一起吃, 再去体验了一把网红茶壶小火车, 这个是真无聊, 但还是可以哄一哄三四岁的孩子的, 书归正传, 三角形轨迹的缆车大概历时半小时左右才回到起点熊猫乐园站, 那一分钟觉得两三百块的门票已经值得了, 更不要说后面还有小火车环游野生动物区了, 前文忘记叙述了, 整个园区分为东面的步行游览区和西面自驾游览区, 小火车只在西面自驾区绕一圈, 不会进入东面的步行游览区, 体力不好的就最好租电瓶车, 从熊猫乐园继续沿着天鹅湖去小火车的起点站, 沿途参观了百虎山等多处主题园, 此处省略一万字, 慢慢悠悠的走到了青龙山侏罗纪公园门口的小火车出发点, 一看有便捷通道就准备进去, 结果工作人员告知只有长隆香江酒店的住客才可享受小火车便捷通道, 于是麻溜走普通游客通道排队, 还好, 中午并不挤, 我们只等了一班车就上去了, 坐上小火车, 小火车当然也是包含在门票里面的, 把刚刚在天上看到的长颈鹿, 羚羊, 斑马, 狮子, 老虎等等动物又近距离观察了一遍, 美中不足是园区估计考虑当天周六游客多, 所以跑得稍微有点快, 小火车回到起点站后在北门附近, 于是乎我们就近去参观了考拉员, 大象园和喂食长颈鹿的区域, 据说喂食长颈鹿的树枝, 枝, 我们没有喂食, 看了一下就进考拉园了, 这里补充一句, 月, 号是, 星锐赛比赛日, 中国篮球界的大腕儿些都悉数在广州集结, 园区也邀请了阿联等一干, 球星来动物园造势, 结果我们刚好错过, 后来回酒店看到视频才发现我们刚离开考拉园半小时, 阿联们就来了, 错过了近距离观赏球星的机会, 还好我不算铁杆篮球迷, 足球才是我的最爱, 哎呀又说跑偏了, 继续行程, 从考拉园出来又进了金蛇馆, 然后从北门一直走往南门, 路上巧遇园区搞的主题游行活动, 很多洋帅哥洋美女穿上各种动物主题的服装边唱边跳的游行, 还不时和两旁观众互动, 非常有意思, 我们一路追随游行队伍回到了南门附近, 然后稍作调整就出了南门坐上巴士回酒店, 回到酒店才下午, 于是一家人直接上床休息两小时, 然后吃罢下午饭就直奔大马戏, 从长隆酒店娶大马戏步行即可, 最多, 分钟就能走到, 而且全程都是路边的走廊, 下雨都不用担心, 马戏建议提前一天订票, 否则旺季时很有可能订不到当天的票, 订票的话直接在携程上面都可以完成, 最后小结, 我不是携程的托儿, 我是老用户, 从, 年用到现在, 所有机票酒店门票都是在携程定的, 已经习惯了, 所有照片全是我自己拍的, 没有任何美颜或修饰, 周末两天时间真的太少了, 虽然我们把动物园和大马戏都完美体验了, 但是总觉得意犹未尽, 所以建议至少安排三天时间, 拿两天出来纯玩才不会觉得遗憾, 长隆野生动物园里面的各种惊喜很多, 时不时就会碰上各种表演或各种秀, 非常值得推荐, 好了, 啰嗦了半天, 也总感觉好像还有什么没有说的, 等想起了再追评吧, 收拾心情, 好好上班, 用哄孩子的话说, 努力挣钱, 下次再去, 希望对大家能有一点帮助, 有需要了解更具体的朋友可以回复评论, 作为一名初级啰嗦驴友, 我定当知无不言言无不尽"
39,"特别棒, 买的学生票, 取票窗口很多, 入园很方便, 进去之后指示牌子很多, 而且从微信里找到了实时定位的地图, 根本不会走冤枉路, 更不会丢, 园内动物很多, 也有很多北京看不到的稀有动物, 玩一天不会觉得特别累享受其中"
40,"猴子熊猫都相当可爱咯, 老虎也不错很有精神, 长隆的动物跟一般的动物园不同, 距离感特别近的, 就好像动物在你身边, 里面有一些动物表演很精彩, 也有科普讲解, 小火车缆车都包含在门票内"
41,"很好玩, 园区很大很舒服, 不知道有没有电子地图, 如果有就更好, 太大了容易迷路, 另外有些地方要, 才让进不知道原因, 小火车开的快, 一下就过去了, 有些不足但是总体很满意"
42,"孩子很兴奋, 早, 点南门取电子票, 排队, 先去坐, 点的缆车, 接下来就可以按园区的导图走, 也可以按孩子的计划走, 最兴奋的是看熊猫三胞胎, 值得去"
43,"真的很棒, 非常值得一去, 孩子一整天都很开心, 见到了各种野生动物, 了解它们的习性和特点, 缆车和小火车都坐了, 有讲解, 总之很好"
44,"因为是自驾游, 所以有个语音讲解相对比较方便, 到哪里就知道什么动物了, 儿子女儿听了也比较开心, 但是不是很全面, 有的没有介绍"
45,"非常值得一去, 带孩子和动物近距离接触下挺好的, 建议就是从北门进最先进入, 人少还可以先坐小火车, 之后排缆车, 这样下来可以节约很多时间, 值得一去, 推荐"
46,"非常棒的乐园, 园区内可看可玩的非常多, 可以坐空中缆车, 地面小火车穿梭园区看动物, 更有随车的工作人员声情并茂的为大家讲解, 下午会有几场动物讲堂和表演, 非常好看, 我们买的野生动物世界和晚上国际大马戏的联票, 马戏非常非常非常值得一看"
47,"野生动物园可以坐着小火车, 一路有导游讲解, 然后还可以做空中缆车进一步在天上换角度看, 步行区有可爱的熊猫宝宝, 有宣传是三胞胎哦, 看着熊猫吃竹子很可爱呢"
48,"非常详细的讲解, 很满意, 长隆野生动物园确实值得去玩一玩, 地方很大, 野生动物园区有随车导游讲解, 但是在自玩园区就用得上语音导游了, 所以很方便"
49,很好讲解的也详细
