,旅行者类型,昵称,地区,时间,标题,评论
10,家庭,ultricn,广东省广州市,2017年2月17日,精彩的马戏,"长隆的大马戏应该是国内能看到的最高水平的马戏, 经常都是国际上获奖的马戏节目, 有多种动物参与, 非常具有观赏性"
11,家庭,yanmeixu2016, ,2017年2月14日,开心之旅,"在长隆国际马戏大剧院观赏到的, 所有的表演节目, 让人赏心悦目, 老少咸宜, 也是一场让人开怀的盛宴, 节目的互动性也非常好, 演职人员非常尽业和专业, 让人大饱眼福"
12,家庭,lukeluo,江苏省镇江市,2017年2月13日,精妙绝伦的魔幻世界,"现实世界中, 有一些游览项目, 比如马戏, 现场灯光的层次与节奏的美轮美奂, 音响的震撼爆棚以及真实宽阔眼界而带来的视觉冲击感真的不是几段视频与照片能表现出来的, 与舞台剧一样, 都是不到现场非能端详滴, 所以, 强烈建议来现场欣赏, 那种气氛即便是直播也无法与之相提并论"
13,家庭,Roam46195211109,广东省广州市,2016年12月2日,非常精彩的马戏,"大马戏绝对是长隆度假区的重头戏, 如果说长隆野生动物园更加适合小朋友, 那大马戏可以说是老少皆宜了, 我购买的是动物园, 大马戏套票, 元每人, 如果在网上买可以便宜几十块钱, 但是一定要提前一天买才行, 动物园, 点关门, 大马戏, 开演, 所以时间安排得很科学, 大马戏在动物园南门, 出来之后乘免费穿梭巴士, 分钟左右就可以到大马戏门口, 大马戏附近没有什么正式的餐厅, 但是有美式快餐和一些简餐可供选择, 我个人建议就在大马戏附近将就一顿晚饭, 但是可以早点进场坐前面的位子, 绝对值得"
14,家庭,HaixlLazise,77,2016年11月2日,"票价不菲, 但还是值得的别样体验","作为舞台控, 看过太阳马戏在内的国内外的不少演出, 也看过魔都最好场地之一梅赛德斯上演的马戏节, 长隆的这台大马戏声光影和互动性在国内马戏算是很顶尖的, 也很适合全家老小, 惊险刺激的空中大飞轮, 和华丽的动物王国谢幕建议, 小朋友, 岁以上观看, 太小于票价而言意义不大, 马戏, 都是全票的呢, 小, 乐园里面的免费表演可以看看, 也很精彩大, 虽然质量很高, 但对于大众消费, 全家三口的票价还是略贵, 有人说这样的票价迪斯尼可以玩一整天, 所以有闲的尽可以平日去, 错开节假日的票价, 早点入场, 里面有餐食, 一份炒饭在四十左右, 即便是节假日, 长隆员工的服务相当好"
15,家庭,Stellalong,台湾,2016年7月9日,喜欢,"长隆国际马戏大剧院看的剧场真不错, 值回票价, 可以带小朋友来一起看, 还有不会一直是同一个剧场, 是会变的, 很是精彩, 时间也很长"
16,家庭,Nomad25287396078,吉林省长春市,2016年3月31日,性价比不高,"携程上定的一大一小套票也要, 元, 马戏表演是很好看, 但只有一个多小时, 要知道这样的价钱可以在迪斯尼玩上一整天了"
17,家庭,Roving58689318300,广东省潮州市,2016年2月19日,"猴赛雷, 大马戏","大马戏很好看, 人与动物的完美表演, 最好的是长隆家的场景设施, 那舞台简直燃爆了, 很适合全家人, 带小孩一起去看, 绝对值回票价"
18,家庭,mona-mona,北京市,2015年9月18日,绝对值得票价的的大马戏表演,"这个大马戏表演火到全国皆知了, 先说表演部分, 实属的精彩, 演员都是外国人, 面带微笑很是敬业, 全程我最爱缘分天空太美了, 还有大象狮子小动物表演, 不好的地方就是座位需要抢着坐才能坐到好座位, 马戏团, 点半开演, 恨不得六点半就有人去占座了, 太恐怖了, 当然也是, 席, 那是要额外支付, 的选座费的, 另外就是不适合小, 看的, 因为开场的音乐和火焰会吓到小, 我儿子这会, 岁多一点, 就被开场的音乐和火焰吓到大哭, 也有不少小朋友被吓到大哭的, 所以带小, 的要慎重, 马戏团期间还有工作人员根群众的互动, 会派发小礼物, 在抢小礼物的时候记得要注意安全哈, 马戏团里面及外面都有吃饭的地方, 但是排队的人太多了, 都没有坐的地方, 所以建议自行解决晚餐会更实际一点"
19,家庭,stanksh4food,香港,2015年2月1日,既精彩又欢乐的表演,"当我们游完动物园之后, 晚饭后的, 长隆国际大马戏, 表演, 我们也是充满了期待的, 饭后, 回到, 长隆, 这一个乐园, 而马戏的场地没有动物员般那么深入, 一过了, 长隆欢乐世界, 的大门口, 下一个门口路口, 就是马戏大剧院的位置, 这一个, 长隆国际大马戏, 每隔一段时间就会换一换表演的主题, 而是次的主题叫做, 魔幻传奇, 说起来是会有梦幻感觉的一场表演, 而且时近圣诞, 这一场表演, 也当场会加插一些圣诞的原素啦, 布景, 是一流的, 随着时代的变迁, 科技的日新月异, 马戏园的布景, 场景, 已经可以媲, 的音乐剧, 而在开场前, 银幕不断地为是晚的表演者作出介绍, 而我发现, 这一个, 国际大马戏, 的演员阵容, 的确是很国际, 场地, 是半露天的, 我们在冬天来, 的确是要包住件大褛, 而且表演的台够大, 令我们相信, 这将会是一个精彩的表演, 始了, 所有表演人员盛装绕场一周, 像一个嘉年华会似的, 员工向观众挥手及抛出小礼物, 可是我们没有加钱坐, 区, 要有礼物, 等运到吧, 表演真正地开始, 惯例就是由小丑们负责开场, 而当中也因为圣诞而增添了一个很可爱, 而且又很搞笑的圣诞老人, 不过派礼物同互动, 肯买贵飞咪有囉, 这些表演, 配合了灯光同特殊效果, 说真, 的确是有, 舞台的感觉, 有烟火, 有水, 当中有一些有烟火效果的表演, 没有吓到我小儿, 但这一场, 实在令他惊讶万分, 马戏, 当然有马术的表演, 演员在马鞍上做出了多种高难度的动作, 令全场指烂手掌, 其实是有故事连串的, 不过我们的, 都着重在表演多于故事, 不过, 台上的两只大狮子也挺舒服的, 坐定定系度, 乜都唔驶做, 直至个马术表演完毕, 马戏团, 有动物表演之余, 当然有空中飞人啦, 这是最最最传统的马戏表演, 完全没有半秒钟的冷场, 换幕换得很快, 表演台在换装置, 一下子就让观众的眼光转到空中或者是台边, 这一个空中跳舞的表演, 换来了不少的掌声, 在空中的表演, 既高难度又危险度很高, 而且因为要自由地舞动身体, 我看不到他们有使用任何安全措施, 做过场, 梗有小丑同小动物的出现, 的确是令半秘钟都不会闷下来, 小丑同小动物走了之后, 就有传统的大象表演, 动作虽然很简单, 但也是令人拍掌叫好的, 棕熊表演, 都是简单地叫他们推下车, 拉下车, 及用两只脚直立跑, 表演简单而带点搞笑, 令观众的笑聱不绝, 又是间场的时间, 圣诞老人来了, 在台边, 坐在车上, 不停地向观众抛礼物, 所以全场人都站起来, 攞到只公仔也是开心的, 伴随的, 是圣诞嘉年华, 所有团员的盛装, 比起之前开场的那一次巡游, 更盛装, 更华丽, 杂技, 跳跃, 依然是马戏团的主力, 之后是一段配合了水幕的空中舞表演, 再之段, 有杂技跳水, 但当时的我看得太紧张了, 没有为跳水同电单车的表演拍照, 不过, 当中我最欣赏的, 是这一个摩天轮的表演, 表演者的平衡力一定要好好, 当中位于最下面的队长, 搞笑地做出了非常多令人惊心动魄的高难度动作, 吓了一吓大家之后, 就是一连串的掌声, 两个多小时的表演, 始终都要终结, 很快, 也到了谢幕的时间了, 全体的表演人员向观众道谢后, 大家也兴尽而归了, 评此为广州最受欢迎的旅游景点, 的确是实至名归的, 我太太本来很抗拒看马戏的, 因为通常都有好多动物的臭味, 同只是一些简单的嘉年华音乐, 加上动物跳火圈而已, 现今的马戏, 尤其是, 长隆, 的这一个马戏, 从舞台, 灯光, 音乐, 表演的多元化等等, 令大家对小时候看马戏团表演的童年感觉, 是大大的不同, 是晚, 大人小朋友都尽兴而回"
20,家庭,winsonwoo,广东省广州市,2014年10月11日,长隆大马戏,"最近一次去长隆大马戏, 实在是太贵了, 即便是网上旅游网站买的票, 也觉得贵, 多, 其实可以做得优惠点, 跟那个时候开园做得内容差不多, 但是现在贵太多了, 依旧是那些不怕死的外籍特技演员, 当然很多外地游客来广州玩可以选择去的地方不多, 都会跑来这里玩玩"
21,夫妻,Exploration733351,香港,2018年4月2日,叹为观止,"长隆马戏团名气一向大, 终于有机会一睹大马戏团的精彩演出, 整个演出历史大概两小时, 没有冷场, 团队阵容鼎盛, 也有很多动物参与演出, 其中不乏高难度演出, 空中飞人, 大风火轮表演精彩绝伦, 看得人胆战心惊, 绝对值得买票进场, 而且门票跟演出质量相比一点都不贵"
22,夫妻,Kasev3v,香港,2018年1月11日,长隆马戏表演,"长隆国际马戏表演适合各年纪人士, 有劲歌热舞, 有刺激表演, 座位不设划位的是先到先得, 头排有两区是住客专用区, 想要靓位就要提早入场, 总体而言是不错的, 但希望也不用动物表演, 现时不少国际性的马戏团都取消动物表演, 希望长隆可以考虑一下"
23,夫妻,235853364,广东省深圳市,2017年8月23日,异域风情的长隆马戏,"长隆马戏还是很不错的, 前年陪父母去玩了壹次, 今年又陪女友去玩了壹次, 整个马戏节目都是外国人表演, 很有异域风情, 个人最喜欢的还是那个吊钢圈表演, 几个金发美女穿着白衣, 从天而降, 现场配乐也很不错, 犹如仙女下凡壹般, 另外还有跳水表演也很不错, 各种高度, 各种姿势, 各种多人组合的跳水, 看的人眼花缭乱, 总之, 值回票价吧, 没去的还是推荐去看看, 很不错"
24,夫妻,linglingpat,香港,2017年8月9日,和几年前的不一样,"暑假期间增加了场数, 下午五点和晚上, 点, 表演总共一个半小时, 住酒店的客人可选坐酒店专区, 位置比较好, 值得推介"
25,夫妻,amauw, ,2017年6月28日,游玩,"第二次来了, 表扬还是那么的完美, 到长隆来, 大马戏非看不可, 游乐园, 野生动物园, 水上游乐这三项不去也不会遗憾, 唯有大马戏不看才遗憾"
26,夫妻,Roye_lu,上海市,2017年1月3日,非常棒的马戏表演,"长隆的大马戏值得一看, 如果去了的话一定要去看看, 表演很精彩, 效果很好, 能看到魔术, 杂技, 动物表演等各种节目, 就是里面吃的比较贵, 联系可以自己带点水和饮料, 一般提早一个半小时进场, 最好早点去排队, 这样可以找个好点的位置, 也可以加钱坐, 座位"
27,夫妻,IreneMu85,伊利诺伊州芝加哥,2015年11月15日,非常棒的表演,"我们表演我按十分钟菜到售票窗口, 普通票是没有座位号的, 有座位号, 售票得姑娘硕, 只有媒体位置有空位了, 还说媒体位是非售票的, 后来我们还很感激他没有让我们白跑一趟卖了个, 位置, 视角确实不错正中间, 整体看完表演都很愉快, 中间很多互动的环节非常赞, 值得退款大家去看, 除了门票贵了点以外其他都好, 我们两个月的门票时"
28,夫妻,Michaelly78,武汉,2015年8月31日,非常值得,"表演很精彩的, 非常值得一看, 带着家人和孩子是一个值得推荐的项目, 坐位能近一点当然更好, 不过价格稍微有点贵一家三口的价格相比较普通的表演还是贵了一点的"
29,夫妻,z9413,Banqiao,2015年2月27日,国际马戏,"节目内容是精彩的, 但好像节目内容没在改变, 今次跟好几年前去没太大分别, 而外面的环境感觉好旧了, 吃东面的小餐厅感觉亦是旧旧的, 可能外表都旧旧的关系, 我都不是太敢在那买东西吃"
30,夫妻,meizaic,香港岛,2014年9月16日,热闹开心的嘉年华,"马戏的场地远比粗眉仔想像中大, 最近舞台的中间是贵宾区, 要额外付费, 粗眉仔不甘示弱, 立即抢了贵宾区后面两个空位, 正中又不算太后, 执到了, 今次的主题是, 魔幻王国, 故开场甚有魔幻感觉, 激光和歌舞配合得颇妙, 有气氛但不浮夸, 马戏节目精彩丰富, 未能一一尽录, 现举几项特别令粗眉仔难忘的, 空中舞蹈, 揉合杂技和体操的悬空表演, 这场舞蹈由布景, 配乐, 服装和演出都精彩绝伦, 令观众仿如置身童话世界, 属真正的国际水准, 全无任何红色, 娘, 味, 亡命电单车表演, 多辆电单车同时在一个小球内穿来插去, 个个都睇到一额汗, 亡命摩天轮, 压轴节目, 所有表演者都没挂安全带, 够哂亡命, 主角, 不只在摩天轮上跑, 更在上面单脚跳同跳绳, 惊吓你唔死, 一句话, 长隆的马戏表演, 万勿错过"
31,独自旅游,SamuelS4630,香港,2017年4月18日,好好睇丫,"不过门票真是好贵, 出去旅行社买票入场券要, 元左右, 建议买套票和参加旅行团会平好多, 夏天不要去晚上会好热"
32,商务,WeepingWillow,山东,2016年3月16日,精彩,"节目很精彩, 很有看头, 可以和长隆动物野生世界一起买套票, 环境有点儿乱, 都在抢座, 合适添点儿钱买, 票, 不用使劲抢位置, 环境会略好"
33,好友,d_dragon2018,香港,2019年10月1日,可值得一去的剧场,"很久没有看到这种表演, 对上一次应该是去澳门的水舞间, 表演地方也不小, 整体感觉还不错, 结合了马戏, 舞台表演, 还有动物演出, 骑马是一例子, 如加上气味更好, 现有视觉, 听觉, 演员都努力演出, 谢谢你们"
34,好友,ThomanL1,香港,2019年5月12日,惹笑及刺激,"我本人十年后再睇马戏, 八时正演出, 主要受严格训练高难度动作, 其中穿越时空的空中飞, 功夫英雄好睇, 白老虎变魔术最后一场"
35,好友,Maps22080029560,河南省郑州市,2018年1月2日,几乎完美,"第二次看了, 非常刺激, 精彩, 扣人心弦, 推荐大家坐正面的位置, 哪怕靠后一些也比侧面前排感观要好, 这次的空中飞人项目居然失误三次, 幸好下边有网, 真的很惊险刺激"
36,好友,NorthStar65685424020,海南省海口市,2016年11月3日,长隆野生动物园值得一看,"环境和气氛营造很好, 有很多的珍稀动物, 是一个人与自然相互了解, 和谐相处, 娱乐互动的好地方, 当天我们乘坐的是电瓶车, 有点快了, 如果有时间的话, 步行游览应该更佳, 不过那样得需要有足够的体力哦"
37,好友,lilylily121,香港,2016年9月29日,惊喜无限的演出,"一直都很想看马戏团表演, 终于看到了, 又期待又兴奋, 那场表演展示了中国特有的风格, 人多势众, 服饰设计美仑美奂, 表演更是非常紧张刺激, 一连串的高难度动作让人目不暇给, 非常精彩"
38,好友,Jet09843760736,中国,2016年8月17日,值得,"周边环境非常好, 附近就有旅店, 步行十几分钟就可以到达, 那里环境幽静, 非常适合静心, 表演非常精彩, 专业, 并且有三四个表演项目非常危险, 完全没有安全措施, 一失手小命不保, 一开场就足够震撼"
39,好友,meloQ,福州,2016年6月12日,一定要看的,"我认为这些表演人员是艺术家, 而不是单纯的杂耍, 总体时长一个半小时, 但是为了比较好的座位建议开演前一个小时去占座, 如果你是长隆酒店住户, 在舞台最前方偏左有一块预留区域, 凭房卡进入, 坐在后半部分第一排的人会有很多机会跟演员互动"
40,好友,CyyC3, ,2016年5月29日,"没有闷场, 充满欢乐气氛","交通方面, 有循环巴士接载旅客, 非常方便, 到了完场时以为要等很久巴士, 但只需等一会儿便能够上车, 赞, 马戏方面, 场地比想像中大, 节目十分丰富, 即使在每场间幕, 都会有人出来串场, 令整个节目没有闷场, 充满欢乐气氛, 很喜欢演员与观众互动, 大萤幕令坐得比较远的观也能感受得到气氛, 部份节目十份惊险, 令人一把冷汗, 印像最深刻是表演人员在一个巨型摩天轮上行走, 并做出多个惊险动作, 令人又惊又觉得好笑, 很多小动物也很可爱, 初时以为会有跳火圈表演, 但已经超出我所预期了, 十分推荐"
41,好友,gioiello_m,奥地利维也纳,2016年2月11日,"马戏精彩, 候场秩序糟糕","其实马戏应该给, 分的, 但是在散客排队入口处, 由于没有工作人员维持秩序, 各种插队拥挤争吵的场景是一一呈现, 给人比较糟糕的体验, 建议为了大家的安全, 在个人入口处设置蛇形通道, 虽然麻烦点, 但好歹能增加安全系数"
42,好友,kamonl,广东省佛山市,2015年7月16日,"很棒, 有兴趣, 门票贵","成场表演很精彩无与伦比来形容, 从编排, 演员都是国际级的, 还有哪光电音综合运用的很好, 很到位, 不过价格真心的贵, 我跟我的小伙伴也考虑很久才决定买票去看的, 第一次看很惊喜的, 节目也很惊险, 如果不是, 或指定区的, 就提前去坐位, 人超多的说, 经常坐满人的, 去迟了就拿不到好的位置"
43,好友,setven,33,2012年12月20日,马戏团,"太棒了, 这些演员太专业了, 同时也佩服这么演员都很敬业, 不得不打心理佩服些西方国家的人, 因为他们的敬业, 他们的爱岗, 他们的专业, 让我打心理佩服他们, 辛苦那么了"
