,旅行者类型,昵称,地区,时间,标题,评论
47,家庭,Dreamer50995487796,广西壮族自治区玉林市,2016年10月18日,"种类多, 商业开发好, 交通便利","月中旬来, 人没有那么多, 全部走完了, 网上有非常多攻略, 我就只说自己觉得可行的方案, 带小孩, 如果能坐游览车就坐, 走路可能会因为劳累不去一些景点, 当时实际上只玩了三个小时, 想多看剧场, 就提前做好计划, 当天立刻马上去做, 不然就看情况想去就去呗, 最惊喜的是大熊猫, 小动物幼儿园, 做的很好, 设施很棒, 这才是一个成熟的管理, 适合进行小孩子教育基地的地方, 只有我觉得逗老虎跳水一点都不好笑吗"
48,家庭,juanes1985,江苏省南京市,2016年10月8日,"自驾游, 步行游","上午自驾游, 因为是国庆期间, 所以里面非常堵车, 以后大家最好不要假期自驾游, 下午步行游, 里面非常大, 人也很多, 总之一天玩下来非常的累, 并且好多动物场馆和表演都没有来得及去看, 建议大家玩长隆最好预留两天"
49,家庭,cotyblanc,广东省广州市,2016年9月7日,非常好,"可以自驾, 也可以坐那里的小火车, 自驾区非常自由自在, 猛兽都是隔离的, 可以自由下车拍照, 步行区可看的景点很多, 还有很多表演可以看, 白虎那个表演不错"
50,家庭,Discover62453998362,上海市,2016年8月22日,"动物很多, 野趣不足","广州长隆旅游度假区主题乐园之一, 乘坐观光小火车可以观赏到猛兽区, 动物们都挺乖的, 里面划分了许多情景主题, 工作人员都很耐心热情, 顺便说下里面的餐饮价格还算公道, 在青龙餐厅用餐, 主菜鸡排, 猪排, 牛排分别是, 量还算足"
51,家庭,Maps39748685651,上海市,2016年8月20日,更开放更亲近自然的动物园,"国内最好玩的野生动物园, 没有之一, 地方大, 各种动物与人距离很近, 都可以花钱喂食或互动, 白虎表演很好看, 很刺激, 车游肉食区也是精彩的, 餐厅能吃饱, 价格还可以, 进园食品查的很严格"
52,家庭,bolopolo,湖北省武汉市,2016年8月8日,表演值得一看,"做小火车看动物很方便, 表演值得一看, 河马剧场能看到大部分非洲动物, 大象剧场的表演也很不错, 森林剧场的表演别出心裁"
53,家庭,Getaway10310972765,广东省广州市,2016年8月4日,儿童乐园,"几年前自己就跟朋友来过, 这次陪着孩子又逛了一圈, 下了地铁走一会儿便到, 动物园与番禺的欢乐世界和水上乐园形成一条旅游链, 很值得一去, 园里带孩子家庭好多, 不负盛名, 动物种类很多, 中途可以乘车参观, 孩子看到熊猫眼睛都亮了, 各种表演, 其中大象最可爱, 园子很大, 把握好时间, 一个下午就差不多可以逛完了, 是值得一去的旅游地"
54,家庭,Climber12001355221,广东省广州市,2016年8月1日,中国最棒的主题公园,"长隆集团经营的每个主题公园都很棒, 我家宝贝很喜欢去游玩, 整个园区绿化与各项动物保护设施都合理, 而且动物欢乐巡游, 项目表演都深得我们喜欢"
55,家庭,Stellalong,台湾,2016年7月9日,没什么,"这里不大, 看的也没什么, 只是有空可以来小玩一下, 带着小朋友来认识一下小动物也是可以的, 门票也算便宜, 里面吃的食物价格比较高, 建议带点吃的进去吧"
56,家庭,NicoleChen, ,2016年5月19日,与动物的亲密接触,"建议入园后, 先去坐小火车, 小火车历时差不多, 分钟, 因为这样可以看到基本园内所有的动物, 然后再去不同的区域看不同的动物以及表演, 里面有大象, 有长颈鹿, 有熊猫, 白虎, 鸵鸟, 袋鼠, 树熊, 小朋友超喜欢"
57,家庭,KIMI771106, ,2016年4月12日,大又美丽的动物园,"门票很贵, 但仍值得去一次看看, 里面有各种表演, 动物的各区间都有种植非常多植物, 整个环境非常怡人, 园区内的服务人员超多, 是我见过最多的, 还有很多可爱的动物宝宝可以看, 里面的食物价钱很惊人, 最好吃饱一点再去"
58,家庭,cheng33333,吉林省长春市,2016年4月7日,非常棒,"动物很多, 公园设计的也非常好, 非常适合全家出游, 员工也很有啥, 晚上还可以看大马戏, 很精彩, 值得来, 整个长隆很适合全在一起游玩"
59,家庭,zztop0616,湖北省武汉市,2016年3月23日,园区很大,"从上午, 点入园, 到下午, 点出园, 期间卡着时间看了两场表演, 还有, 处没有去, 还好小朋友看的很有兴趣, 园区内环境干净, 这一点感觉很好, 服务员也很热情"
60,家庭,Vacation44856075469,天津市,2016年3月22日,"非常棒, 值得再来","各种动物好可爱, 食肉动物好懒呀, 不愧为亚洲最大的野生动物园, 三月下雨的次数太多, 我们三月二十一日去的, 可惜下雨不过人不多, 五月份是最合适的, 我们这次就是下雨, 最后动物园都没完全逛完, 有点遗憾, 步行区基本四个半小时就能逛完, 户外的野生动物园做小火车一个多小时就能搞定, 最后还是记住动物表演时间, 白虎表演比较热闹, 我们还喂了长颈鹿, 一支树叶非常的贵, 熊猫餐厅的套餐是人均一百的标准, 另外晚上一定要去大马戏, 非常的棒"
61,家庭,Sightseer40133923478,广东省广州市,2016年3月16日,好玩好好玩,"最适合情侣或者带小朋友去玩, 不过门票确实不便宜, 而且里面消费也不低, 钱包要做好心理准备, 个人比较推荐天鹅湖广场, 侏罗纪森林, 金蛇秘境, 长颈鹿投喂台, 考拉馆, 长隆大熊猫中心, 儿童天地, 小朋友来玩得都嗨翻天了"
62,家庭,hoyya, ,2016年2月4日,"很大, 大人小朋友都喜欢","动物园很大, 关键有动物放养区, 可以开车跟动物近距离接触, 还可以喂长颈鹿, 风景也赞, 在国内很少见, 马戏很精彩, 推荐, 大人小朋友都喜欢, 推荐住景区酒店, 很方便"
63,家庭,Maps29581909779,广东省珠海市,2016年2月3日,带小朋友去的非常好的一个去处,"不管是白天的动物园的游览还是晚上的马戏表演都非常值得看, 玩足两日, 小朋友和大人都玩的很尽兴, 但是一定要避开假期, 例如十一, 人多到走都走不动"
64,家庭,Explorer35506564546,浙江省衢州市,2016年1月26日,值得一去的野生动物园,"年新年第一天带着宝贝去长隆野生动物, 建议从北门进, 可以先玩小火车, 然后, 南门出, 比较节省时间, 里面的节目很震撼, 比其他的野生动物世界好玩多了, 里面的餐巨贵, 建议不要在坐小火车边上的餐厅用餐, 里面有更多的餐厅适合小朋友用餐"
65,家庭,lit_eggsy,广东省广州市,2015年12月24日,很有趣,"去长隆交通还是挺方便的有地铁可以直达, 景区外面也有接驳车, 我最喜欢去看大熊猫, 超可爱的, 还有长颈鹿, 比起其他用铁笼圈养起来的动物, 这里显得开放很多, 虽然是有玻璃隔着, 安全起见, 可是还是可以和动物近距离接触的, 还有景区很干净, 工作人员都挺好的"
66,家庭,windherald,意大利罗马,2015年12月18日,自駕進園的感覺很有趣,"由朋友自駕, 大, 小童, 另外駕車進園, 車子需要買票, 進去, 人不多, 天氣較冷, 動物很多都懶洋洋, 自駕好處是可以跟動物更親近, 不然的話, 就是跟一大伙人進那個官方的小火車, 園內部份動物算多, 象, 長頸鹿那些可自行付費買飼料喂養, 可以令小朋友親親動物, 租, 車的費用是, 押金, 值得的, 對小朋友來說, 園內比較大, 需要, 車的"
67,家庭,yishafishfish,四川省成都,2015年11月29日,适合带小朋友亲子,"整个动物园很大, 所以一定要预算一天的时间, 入园可以先坐小火车看狮子老虎狼长颈鹿等散养的动物, 然后再慢慢一个动物主题的挨个看下去, 长颈鹿喂养景点, 块钱一枝树枝, 长颈鹿力气很大, 一口就会把整枝树枝咬走, 不过小朋友很喜欢这个互动环节, 也是我最喜欢的一个环节, 里面有好几个餐厅, 价格都差不多, 香肠, 鱼丸, 熊猫餐厅套餐, 等"
68,家庭,wonga584, ,2015年10月17日,赞,"里面有超多动物的, 奇妙的朋友, 这部真人秀大部分就是在这里拍的, 小老虎还有小熊猫都很可爱, 还能喂老虎, 长颈鹿, 猴子等等"
69,家庭,mona-mona,北京市,2015年9月14日,亲子游必去的呢,"长隆野生动物园可以坐到自驾及步行分别浏览这点非常的赞, 入园有婴儿车租赁非常的人性化, 数量较少需要尽早过去才可以租到车, 恐龙世界不太适合小, 有点恐怖, 园子里好干净, 很个动物前都设的喂养点, 可以自助投喂, 动物表演也都超级的精彩, 至少比北京动物园要强好多, 演员有外国人, 而且面带微笑非常的敬业呢, 入园要先看到动物表演时间合理安排, 纪念品做的都非常的有纪念价值值得购买, 这里觉得有点校仿新加坡的环球影城, 园子很大, 可以足玩一天"
70,家庭,Voyager42435362871,北京市,2015年9月14日,走完一圈需要脚力,"逛野生动物园有两种方式, 一种是自驾, 一种是徒步, 即便是徒步, 也可以免费乘坐园内是小火车近距离观赏野生动物, 如果自驾, 除了每人的门票外, 每辆车也要买票, 平日, 元, 特定日, 元, 自驾车需要从北门进入动物园, 车的票可以在酒店票务中心提前买, 也可以在现场买, 车内人员不必下车, 会有工作人员代为购买, 长隆酒店住客有免费导游服务, 记得提前一天在酒店预约, 方舟剧场的表演比较综合, 值得一看, 白虎跳水之前在其他地方没有看过, 很精彩, 入园时, 检票旁有个推荐路线的宣传板, 个人感觉比较科学, 但是需要有脚力"
71,家庭,ateneoben,广东省广州市,2015年8月15日,"年票, 经常去, 孩子喜欢","我们买了年票, 带孩子去的次数比较多, 通常都是跟朋友的车, 两家一起, 游动物世界可以乘车也可以步行, 乘车区不行不能进, 看到的动物也有些差别, 动物世界的特色就是动物规模都比较大, 你不仅能够看到一只大象, 你会看到一群大象, 一群长颈鹿, 一群老虎, 就连国宝熊猫, 你也可以看到很多只, 外地游客门票不便宜, 如果是有孩子广州市民的话, 可以买年票, 比较划算, 去十几次也可以"
72,家庭,Lawtt,香港,2015年5月26日,非常好,"动物好健康, 环境好, 设施好新, 适合带一家大小去游玩, 位置比较偏, 可以搭地铁到汉溪长隆, 可以玩一整天, 小老虎很可爱, 建议看剧场, 非常有趣"
