,旅行者类型,昵称,地区,时间,标题,评论
27,好友,kimnowitzki,香港,2018年2月10日,适合一家大细来的水上乐园,"长隆水上乐园位于禺区迎宾路, 这里是很适合一家大细来的水上乐园, 也有不小刺激创新的设施可以玩, 不过夏天来的话很多人"
28,好友,Go16540022712,广东省广州市,2017年2月28日,夏天的大乐园,"很好玩的乐园, 夏天喜欢跟朋友一起去玩水里面的游戏都很好玩, 建议全部玩一遍, 如果时间充足, 记得留到晚上, 点参加星空水派对"
29,好友,mmeow001,广东省广州市,2016年12月25日,刺激有趣,"炎炎夏日到这里感觉真是天堂, 而且有众多的水上项目, 有些非常刺激跟陆上机动游戏有的比, 只是人实在太多, 票价也贵了点, 不然就是五星好评"
30,好友,Roam46195211109,广东省广州市,2016年12月6日,广州市比较知名的景点,"长隆是广州的品牌, 各方面都做得很好, 门票从各旅行社买会有打折, 另外水上乐园游客非常之多, 排队需要很长时间, 所以如果条件允许, 最好避开周末, 工作日去, 说实话, 里面设备最久也就十几妙就过去了, 可是人多你得排队一个半个小时, 里面的东西很贵, 最好将水等食品放背包里, 上面放泳衣泳裤, 毛巾, 园区的人只检查上面的, 不会很认真翻你包包的"
31,好友,Blackmamma,上海市,2016年9月26日,很不错的水上乐园,"很刺激, 有惊险的离心滑道, 竞速赛道, 也有适合情侣的大喇叭, 大蟒蛇, 怪兽碗, 大峡谷, 晚上还有泳池趴, 不错的园区, 不过人有点多, 要排好久队, 地面的指压板有点反人类"
32,好友,604joycek, ,2016年7月6日,中国最好的水上乐园,"长隆是国内最好的水上乐园, 园内设施也有保养, 园区很大, 买东西吃也很方便, 滑梯选择很多, 星期六日晚上会有表演, 附近只有长隆酒店有东西吃, 而且价钱偏贵"
33,好友,jocB2513NS, ,2016年5月9日,原来有妈妈节半价优惠,"总觉得先行网上购票较为便宜, 结果错过了妈妈节半价优惠, 因少失大, 三大主题, 每个都可以玩上大半天, 建议朋友可以住于景区内"
34,好友,kenyellow,977,2016年3月22日,好玩的地方,"只在夏天开放, 有比较刺激的水上项目, 各类设施也比较齐全, 是玩水的好地方, 进去最好带个防水袋之类的东东, 放点钱进去, 方便买东西吃"
35,好友,Sightseer50765739358,广东省广州市,2016年2月23日,"夏天去, 刺激","就在欢乐世界旁边, 夏天去很刺激, 也有热水区, 热水区走得很累, 周六日去排队需要排蛮久的, 建议结伴去, 很多项目都需要结伴玩"
36,好友,DayTrip56502043996,广东省中山市,2016年2月15日,夏天必须去,"进去是要租汽艇游玩的, 反正几十块而已, 项目很多超级大喇叭, 巨蟒, 巨洪峡, 宝贝水城, 合家欢滑道, 当然游玩时一定要照顾好小孩, 毕竟是水, 水深发生意外就不好了"
37,好友,kamonl,广东省佛山市,2015年7月16日,一班朋友来玩,"长隆乐园可以在地铁出口坐长隆大巴坐去长隆动物园下车, 往后走几分钟走出去就是水上乐园, 暑假人超多的, 基本每个项目都要排, 分钟的队, 你可以带防水套入去自拍什么的, 如果不想带手机也可以租寄存柜, 锁住你, 重要物品, 水上项目还是很多有趣的, 适合, 个朋友一起去玩, 园内是禁止从外带食物入去, 园区物价水平是外面的, 倍"
38,好友,joy11311,广东省广州市,2015年4月2日,去第一次玩了一整天好开心,"太多人去玩排队玩大喇叭排了大半个小时, 分钟就滑下来了, 不过好刺激, 今年也会约上同事一起去, 穿去的拖鞋给人换了, 可能同款太多了吧, 哈哈"
39,好友,JADEZHANG,广东省广州市,2014年9月13日,很好玩,"好多项目, 最喜欢大喇叭, 不玩机动游戏喜欢水的朋友推荐来, 不过最好避开周末和暑假, 要不要排好就才能玩一个项目, 还有注防晒, 第一次去就晒伤了"
40,好友,williamhku,香港,2013年6月5日,"目前为止到过的最好的水上乐园, 盛夏不可错过的选择","长隆水上乐园应该是目前为止所到过的最佳水上乐园, 有超过, 个高空刺激的水上滑道类设施, 而整体的乐园管理在中国也应是首屈一指的, 卫浴设施和储物柜位于乐园门口, 另需租金, 然后可以预存些现金到一个电子腕带里, 这样就不用随身带着钱包, 建议离开储物柜前随身带着浴巾, 拖鞋, 必备, 和眼镜, 如需要, 因为乐园每个设施边都有免费开放的置物格, 而必备拖鞋的原因则是因为在园区非常大, 需要做好长途步行的准备, 在, 月的平日, 园内游客非常少, 基本所有项目都可以排队, 分钟以内玩到, 非常值, 个人强烈推荐大喇叭, 合家欢, 离心滑道等刺激设施, 但乐园同时也有很多儿童专用的设施, 可以说老少皆宜, 另外, 我们当晚入住长隆酒店, 酒店住客在入住当天和次日都可以享受园内热门设施指定时段免排队的贵宾通道, 每个设施一次, 在, 月高峰期来想必相当有用"
41,好友,JerryBeckham,香港,2013年6月4日,饮食不好吃,"有相当多的游戏数量在公园和许多令人兴奋的, 但有太多的人在公园里, 所以我们需要长时间排队, 很多游戏, 缺点是里面的饮食又贵又少又不好吃, 喝可口可乐的杯没冰没气"
