,旅行者类型,昵称,地区,时间,标题,评论
24,夫妻,Connie-Tenk,广东省佛山市,2017年11月26日,还想来第二次,"放暑假前和爱人一起来到长隆欢乐世界, 长隆欢乐世界的机动游戏确实很刺激, 垂直过山车, 超级大摆锤, 十环过山车, 型滑板, 激流勇进, 这是一个你来了还想再来一次的地方, 也是一个很好的释放自我的地方, 当然, 这里的消费相对来说还是比较高的, 建议不要开车进去, 直接在地铁站打的士进去, 但是的士好像不打表, 大小储物柜分别是, 块, 一顶帽子大概是八十块, 建议自备防晒装备, 建议挑非节假日时间去体验, 或者花一百块购买快速同行专用腕带, 生日有优惠, 进园记得在咨询区拿好小地图来规划路线, 可以吧最想玩的和推荐的, 列为主要目标, 行李不用带太多, 但贵重物品一定要放好, 最好带个小包包, 记得一定要带够钱钱钱"
25,夫妻,EtonNie,广东省珠海市,2017年9月30日,非常棒,"国庆假期前一天来到的长隆, 人很少, 基本每一个项目只需要, 分钟就可以玩, 去的时候火箭过山车没有开, 在进行检修, 个人感觉十环过山车应该是最刺激, 垂直过山车其次, 强烈推荐这两个, 超级大摆锤也很好玩, 激流勇进的时候一定要穿好雨披不然水会直接从上面泼下来打湿全身"
26,夫妻,Fkricheesse,2,2017年7月20日,垂直过山车,"来长隆当然就是冲着他的垂直过山车去的, 因为是下雨天去, 所以人特别少, 可以随意玩, 几乎不用排队, 真的太爽了, 但是觉得里面的水上游戏一般, 而且还要花, 块买雨衣, 不是很值得"
27,夫妻,284868734,广东省广州市,2016年12月7日,新奇好玩,"最期待的一个景点, 但因为去的时候赶上了各种台风, 所以去的日期一再推迟, 还好最终去的日子是晴天, 通过点评买的电子票, 价格会比直接购买便宜, 当然如果想要更优惠的话, 可以提前两三天购买套票, 比提前一天, 或者当天买还能再优惠, 块, 不过就要考虑好天气, 因为雨天大的项目是不开放的, 我们是当天上午买的, 是购买的第三方商家派人给送的票, 好像是因为当天购买无法出票, 建议大家多买一些水和食物, 因为园区内的水和吃的东西都比较贵, 因为不是假期去的, 所以人不算太多, 大项目的排队不会超过半小时, 有的项目只需要等, 次就可以坐到, 垂直过山车, 是我这次嘴期待的, 坐到了第一排, 相当过瘾, 喜欢过山车的朋友们一定不能错过, 第二期待的, 型滑板, 那天一天都没有开, 比较郁闷, 十环过山车也不错, 不过晃动的车加上套在身上的防护, 把我的耳环, 法卡都挤下来了, 坐这个项目的姑娘们, 记得摘下这些东西, 还有一个摩托车的过山车, 感觉也不错, 激流勇进没有坐, 只有一个下冲, 没有欢乐谷的好, 而且十五块的雨衣也太贵了, 正好赶上万圣节的活动, 点以后, 个鬼屋就开始排队了, 因为那时我和赵先生已经饿的前胸贴后背了, 所以没有挑战鬼屋, 大街上各种鬼怪装扮的工作人员, 也还是很敬业的, 各种妹纸被吓得惊声尖叫, 园区并不算大, 也就是欢乐谷一半的大小, 不过要看各种演出, 以及项目, 走来走去也还是很累的"
28,夫妻,FallingEagle96, ,2016年9月4日,追求刺激的乐园,"香港只有两个主题乐园, 且主打的也不是机动游戏, 这里的机动游戏款式多样化, 而且非常刺激, 诚意推荐, 度垂直过山车, 于落下前的一刹那停一停, 令人真的透不过气"
29,夫妻,Tour52673172528,河北省,2016年5月11日,"勇者之旅, 释放压力的好去处","非常棒的一次出行, 在广州待了半个月, 但是天公不作美, 几乎天天下雨, 终于赶在一个晴朗的日子, 去长隆体验体验过山车, 园内有很多过山车, 但是最值得推荐的, 是垂直过山车, 就是奔跑吧兄弟里面那个, 真的是超级刺激, 还有一个寻找刺激的人必去的项目, 型滑板, 超爽的, 坐了三次滑板, 口水都下来了, 坐了五次垂直过山车, 体验了不同的位置, 感觉最爽的还会第一排和最后一排, 还有园内的表演也是值得一看的, 值得门票钱, 赞"
30,夫妻,plchwpi,"广州市, 广东省",2015年12月2日,机动游戏非常的多,"这个游乐场的机动游戏非常的多, 非常适合我这些很喜欢机动游戏的大朋友去试试自己的胆量, 并且好好玩的, 到广州值得一去"
31,独自旅游,QuincyLeeX,福建省厦门市,2019年7月21日,长隆欢乐世界,"长隆欢乐世界坐落在广州番禺迎宾路, 占地面积, 多亩, 游乐设施近, 项, 欢乐世界引进了瑞士, 荷兰, 德国, 意大利, 美国等全球领先的游乐设备公司的设备, 其中包括, 全球过山车之王, 垂直过山车, 创吉尼斯世界纪录的十环过山车, 荣获行业设计金奖的摩托过山车, 超级大摆锤, 东半球唯壹的, 型滑板等世界级巅峰游乐项目"
32,独自旅游,mooolly,嘉义,2018年12月19日,云霄飞车真的必须玩,"长隆的云霄飞车真的太狂了, 种类也很多种, 去长隆一定要玩到, 其他游乐设施就和台湾游乐园差不多, 急流泛舟之类的"
33,独自旅游,Jet55472207903,广东省广州市,2017年7月4日,狂欢的王国,"前后去了长隆三次, 每一次都要玩垂直过山车, 感觉是不能再爽了, 还有一次是万圣节, 海报明明说的是免费化妆, 结果是收费, 而且还贵得要死, 人也是多"
34,独自旅游,SamuelS4630,香港,2017年4月18日,平常一个动物园,"因为有其他园区买套票值好多不妨来游览下, 睌上真是要去睇马戏, 这才是真好睇不过未曾来过不妨一试, 如果要玩晒所以园区要几日时间, 旅行前要好好做功夫丫"
35,独自旅游,Traveler49281711912,辽宁省沈阳市,2016年10月8日,广州行,"刚开始想来是因为看了跑男慕名而来的, 进来第一眼就看到过山车了, 于是没忍住就去做了一把, 本人恐高, 结果本打算还要去蹦极的我, 因为这一把过山车而打消了这个想法, 可比在电视剧里看到的刺激多了"
36,独自旅游,Chloe_M,广东省广州市,2015年9月8日,刺激好玩,"很多机动游戏, 很刺激很好玩, 就是人比较多, 玩一天就够了, 几轮下来会感觉很累, 适合约几个朋友一起去, 小朋友就只能玩儿童游戏了"
37,独自旅游,gertie0417,天津市,2014年12月3日,广州之行最满意的地方,"慕名已久, 挑了个工作日去, 人果然不多, 只有带孩子的家长, 里面环境很好, 动植物物种丰富, 而且不像其他动物园那样有距离感, 可以充分的享受大自然的美妙, 最喜欢的景点是大熊猫馆, 白虎山, 考拉馆, 票是淘宝团购, 两百多一点, 虽然不便宜, 但是完全值回票价, 食物在进园之前要存到门口, 不可以带进去, 水可以带, 建议还是吃饱了再进去, 里面物价过高, 一盘炒饭都要六十八, 地点虽然有点偏, 但是三号线直达, 交通还算便利"
38,商务,Tour33684544356,广东省广州市,2018年3月11日,超级刺激,"刺激的不敢坐, 看着别人在上面尖叫, 自己默默在旁边惊呼, 吓人, 胆大的必玩垂直过上车, 现在视乎多了一个有水的过山车, 视觉很棒, 值得去啊, 还有表演超级棒"
39,商务,victoriayu,北京市,2015年2月1日,一般,"公司的团队建设在这里玩得, 就在长隆酒店附近, 感觉很像北京的欢乐谷, 门票, 觉得有些贵, 还遇到一堆小学生组织一起玩, 人多没尽兴"
40,好友,JJJJJerika,广东省深圳市,2018年9月27日,刺激,"之前如果长隆的水上乐园, 好玩, 很刺激, 可惜人多排队好久, 欢乐世界也一样, 建议错峰出游, 不然排队的时间太长, 玩到的不多啊"
41,好友,Guide27090142713,广东省广州市,2018年7月30日,"过山车, 过山车, 还是过山车好玩","跟朋友一起去的, 一开始不太敢坐过山车, 后面就都玩开了, 还有一个大摆锤也是必玩的项目, 刺激, 还有魔术表演和伐木秀, 都挺有意思的"
42,好友,Navigator04260869402,广东省广州市,2018年6月4日,"长隆欢乐世界, 超级好玩","是圣诞夜去的, 人超级多, 但是圣诞氛围特别浓厚, 和朋友一起去的, 每个项目都要等很久, 不过都很好玩, 夏天白天太热的话, 建议傍晚去玩, 晚上也可以玩的"
43,好友,kimnowitzki,香港,2018年2月10日,很多机动游戏,"长隆欢乐世界位于番禺区迎宾路, 这里有很多机动游戏可以玩, 价钱不算贵, 才一百多入场费, 可以玩一整天"
44,好友,chih_yu_kao,台中市,2018年1月14日,可以圣诞节期间来玩,"当时圣诞节夜间特惠门票, 从下午, 点进来玩一直待到晚上, 点看了圣诞节的特别节目, 还蛮嗨的, 因为圣诞节装饰满有气氛的, 路上也有很多穿着圣诞装扮的人可以跟他们拍照, 在这里留下还不错的印象, 基本上设施不太需要排队, 除了一开始坐的垂直过山车和碰碰车, 建议想玩这两项的人可以一开始就去玩, 剩下的时间在玩其他的都来得及"
45,好友,Roving808758,广东省广州市,2017年7月27日,一定要坐垂直过山车,"一定要坐垂直过山车, 它是这个园里最出名的项目, 早上去的话超多人的, 所以最好下午, 点去, 没有什么人, 我和朋友下午连续玩了, 次, 很刺激很好玩, 而且不用排队, 其他的项目也还不错, 十环过山车也可以, 但还是这个垂直过山车最好玩了"
46,好友,Mobile03438576047,广西壮族自治区玉林市,2017年7月12日,好玩,"游乐设施多而全, 基本都属于很先进的游乐设施, 推荐玩垂直过山车, 很刺激, 不过在旺季人会很多, 建议还是早些去, 因为一票能玩一早上, 园内有餐饮, 就是贵"
47,好友,Safari25477303928,广东省广州市,2017年3月14日,"开心, 嗨森","趁着开学前来了广州长隆玩, 买的学生票挺优惠的, 玩得也挺带劲的, 长隆欢乐世界每天都有节目表演, 我是在北门进的, 进园的时候可以拿份地图, 在拿地图的旁边就有一个小板, 上面列出了, 当天表演的具体时间表, 然后我就用笔在地图上找出了表演的地点, 并写上了时间, 当然也可以选择用手机拍下来就好, 进去之后可以往里面走一点, 先玩人比较少的机动游戏, 这样就不用排队啦, 据我观察, 大家北门进去之后, 一开始通常都会选择玩碰碰车, 有的还是玩完又重新排队玩, 我本人觉得碰碰车是挺好玩的, 但没必要排很长时间的队玩, 也没必要玩了重复无数次玩, 因为碰碰车在很多小型游乐场也可以玩很常见啊, 我们做了大概的玩法路线, 以旋转木马为中心, 我们早上基本在北门这边玩, 下午在南门那边玩, 而且还完美看到了当天的所有表演, 来长隆肯定要玩, 型滑板, 过山车跟自由落体的嘛, 我个人挺喜欢, 自由落体的, 先是慢慢上升, 往前方看就能看到广州的美景, 有种, 一览众山小, 的感觉, 然后就会瞬间下落, 感受自由落体的感觉, 很刺激, 我其他过山车都玩了, 但最后还是没有玩垂直过山车, 我给我朋友拎包包, 她去玩, 玩完垂直过山车之后, 她跟我说, 好在玩之前旁边那个人提醒她, 安全带那个绳子不是很紧, 让她跟工作人员说下调节下, 吓得我朋友赶紧让工作人员把安全带弄紧些, 不然玩过山车的时候可能会不舒服甚至会有危险, 提醒一下, 通常工作人员检查安全带的时候之后拔一下看看安全带扣上了没, 所以自己玩之前最好要留意一下自己是否觉得安全带太松了, 太松的话自己调一下或者让工作人员帮下忙, 傍晚的时候, 快闭园了, 我跟朋友走去出口的途中, 有个好心的工作人员, 驾驶着电瓶车问我们去哪, 然后顺便载了我们一程, 很感激, 总体来说, 玩得挺开心的, 工作人员也都挺热情的"
48,好友,ONGIONG,澳门,2017年2月6日,长隆,"所以机动游戏都好好玩, 但人太多, 野食好贵, 储物唔方便, 园区收, 点但, 点半要攞番啲野, 园区收太早, 冇灯, 冇车接驳, 冇地方避雨"
49,好友,Explore27916113189,232,2016年12月9日,挺不错的,"适合年轻人, 可以一帮朋友一起来, 也需要胆大的才好玩, 胆小的真心没什么玩, 景区物价比较贵, 也不允许带食物进去, 机动游戏很多, 人少的时候来得及玩完"
50,好友,ZHONGZHENTAO,广东省深圳市,2016年12月3日,好玩好玩,"好玩是很好玩, 就是人真的是太多了, 超级喜欢大摆锤, 飞起来的感觉好爽, 荡来荡去的, 十环也是好刺激啊, 但是人很多, 摩托过山车, 啾的一声, 就像发射出去一样, 蛮多好好玩的"
51,好友,523331621,广东省广州市,2016年11月28日,周末游,"长隆玩得挺多, 进去之后拿一个导览图, 按照自己喜好一个一个选择玩, 必玩的有世界顶级的三个过山车, 垂直, 十环, 摩托过山车, 超级大摆锤, 型滑板, 家庭过山车, 激流勇进, 海盗漂流, 碰碰车, 等等"
52,好友,1436952458,广东省广州市,2016年11月16日,人太多,"在长隆欢乐世界玩的万圣节夜场, 人超级多, 越到晚上人越多, 最后走在路上跟逛集市似的, 花了一百多买了张门口, 只玩了一次过山车, 人超级多, 队伍拐来拐去排了将近两个小时, 然后去了一次鬼屋, 也排了快半个小时, 鬼屋里面一点都不吓人, 反倒是鬼被我吓了一跳, 哈哈"
53,好友,Explore32246782886,广东省广州市,2016年9月27日,玩的很开心,"很棒的游乐场, 付了门票里面的游乐设施自由玩, 不过里面食物很贵而且不能带很多食物, 这是一个缺点, 不过在里面玩的看开些, 游乐场从来最适合爱惊险刺激的人, 垂直过上车更是, 代表作, 就在门口就好第一个玩, 真的很吓人, 怕你犹豫之后就不敢玩了, 里面其他的游乐设施也很有意思下午还有游行和舞台剧是不容错过的, 是一次难玩的游玩经历"
54,好友,Blackmamma,上海市,2016年9月26日,过山车一族的最佳选择,"园区里面有很多过山车, 垂直过山车体验, 米高空坠落的刺激, 十环过山车不停的翻转倒立, 摩托过山车体验飙车感觉, 还有, 型板, 倒立抛下, 极速体验失重离心, 超"
55,好友,oyoyoy77,广东省广州市,2016年9月19日,过山车好刺激,"远近闻名的乐园, 有大摆锤, 过山车等项目, 垂直过山车超刺激, 真的垂直, 第一次上去那时候吓到尖叫, 不过真的好玩, 玩了很多很多次, 推荐, 还有摩托过山车也推荐, 速度非常快, 座椅特别, 很新奇, 最不推荐十环过山车, 座椅设计有问题, 坐完一轮头被椅子两侧敲得非常痛"
56,好友,Voyage54482779128,广东省广州市,2016年8月6日,灰常棒,"推荐垂直过山车, 不过排队时间有点长, 你可以购买优先通道, 热门游乐设施都可用, 里面不可自带食物, 可带水, 还差五个字"
57,好友,Getaway10310972765,广东省广州市,2016年8月4日,刺激之旅,"很早以前去的了, 一进去就坐了最高的过山车, 紧接着各种过山车, 太刺激了, 晚上有表演, 时间不合适, 没有看到, 人很多, 有些热门的设施就要排队, 有个水上过山车, 排了很久, 但是很好玩所以还是值得的, 地铁通到番禺, 很方便, 值得一游"
58,好友,Pioneer26249081975,珠海市,2016年7月6日,有点无聊,"去的时候人很多, 排个队都要排上老半天, 里面的机动游戏挺不错, 就是东西很贵, 一个雪糕, 块诶, 有一个游乐项目好像叫什么神庙的, 特效做得很不错, 至于过山车什么的我没敢玩"
59,好友,Bboy_Along,南昌市,2016年6月14日,好玩,"印象最深刻的是摩托过山车, 垂直过山车和十环过山车, 可惜跳楼机不让玩, 大摆锤也挺刺激的, 下次把水上乐园也去试试"
60,好友,877947222,广东省深圳市,2016年5月13日,刺激,"我们选择在劳动节假期的最后一天造访广州长隆欢乐世界, 幸好人没有想象的多, 只有大型刺激的项目, 十环过山车, 大摆锤, 等需要排半个钟到一个钟, 满分, 项目满分, 饮食一般"
61,好友,huanghill,中国,2016年5月7日,"刺激, 爽","和朋友一起过来, 人很多, 有些项目要排好久的队, 这样好浪费时间啊, 不过我还是登上了十环过山车, 这次还是值了, 一开始还想着以什么姿势来惊叫, 怎么知道风的阻力太大, 以致我头都抬不起来, 哭死, 唯一的后遗症就是我下地的时候脚飘飘的, 这酸爽, 不过好像只有我有这种感觉, 朋友都不会, 来玩一定要做好防晒工作, 穿双平底鞋, 带把伞, 这样你在排队的时候会舒服点"
62,好友,kenyellow,977,2016年3月22日,刺激,"十环过山车, 垂直过山车, 大摆锤, 哪个是长隆最刺激的项目, 都不是, 长隆最刺激的项目肯定是排队, 建议尽量不要在节假日去, 太多人了, 一天下来可以玩不了几个项目, 平心而论, 长隆欢乐世界的机动游戏算是很不错的, 个人认为比迪士尼的强"
63,好友,Jet55910092190,广东省广州市,2016年2月23日,刺激寻觅者的爱好圣地,"从汉溪长隆地铁站步行过去大概, 分钟左右, 交通非常方便, 园区大, 人流量也多, 大概因为节假日原因, 每玩一个项目大概都需要, 分钟的排队时间, 随处都可以听见尖叫声, 除了大量的机动游戏, 还有, 电影, 十分精彩, 园区的食品价格是外面的, 倍, 重点是还不许带食物入内"
64,好友,DayTrip56502043996,广东省中山市,2016年2月15日,机动游戏,"我们那天去的比较早, 人不是很多, 没有怎么排队, 我们第一个玩的就是那个垂直过山车, 真的是好刺激, 下来腿都有点软软的, 后面那个, 型滑板和那个大摆锤都不敢再玩, 只玩了那些没有那么刺激的项目, 到后来人越来越多, 几乎都是在排队, 差不多是排大半个小时玩两分钟, 很好玩明年再过来"
65,好友,JankoWong,广东省广州市,2016年1月23日,广州的主题乐园,"长隆集团拥有欢乐世界, 大马戏, 野生动物世界等, 欢乐世界以机动游戏为主, 一定要玩垂直过山车, 但是一到周末会比较多人, 建议早点去, 与香港海洋公园相比还是有一定差距"
66,好友,Tour17931858295,广东省广州市,2015年11月14日,"挺好玩的, 大人和小孩都可以去","以前和朋友去, 次过, 也在那做过一段时间兼职, 小朋友比较适合到哈比王国玩, 如果小朋友想坐过山车的话, 可以选择坐飞马家庭过山车, 想玩刺激点的朋友, 可以选择去尖叫地带和彩虹湾, 玩八大之最中的垂直过山车, 十环过山车和摩托过山车, 一定要挑非节假日, 不然会很多人, 非节假去玩的话, 人比较, 少多数不用排队, 我个人觉得里面卖的吃都挺贵的, 一条热狗大概, 元左右"
67,好友,phyllislin2015,广东省佛山市,2015年11月6日,"超好玩, 大赞","激动游戏特别多, 而且都比较新, 跟来自远方的朋友玩的不亦乐乎, 除了人多一点以外也就没什么好抱怨的了, 对了, 最好自己带些吃的进去, 不然里面吃的消费还是蛮高的"
68,好友,mmeko,广东省广州市,2015年10月28日,欢乐世界,"是长隆集团的一个园子, 跟动物园水上世界是在一起的, 各个园子都有接驳车, 里面都是玩电动项目, 跟男就在里面拍过, 有很多项目还是很刺激"
69,好友,sabrinaroth616,广东省广州市,2015年9月16日,爽,"这里的机动游戏可以说是很多地方都无法比拟的, 来广州一定要来这里玩一次机动游戏, 所有烦恼烟飞云散, 而且这里还有好多好多的其他可以玩, 什么水上乐园, 动物园, 好多"
70,好友,iihao,广东省广州市,2015年9月7日,新奇好玩,"欢乐世界有很多机动游戏, 新奇刺激, 节假日太多人, 里面的餐饮很贵, 可以自己带点干粮进去, 十环过山车, 垂直过山车和大摆锤是必玩项目, 真的很刺激, 激流勇进溅起的水花超级大, 好玩, 还有, 电影, 很好玩, 可以去体验, 还有一些现场表演都很不错的, 至少可以玩足一整天"
71,好友,kamonl,广东省佛山市,2015年7月16日,"好玩, 刺激, 爽歪歪","长隆欢乐世界在番禺区, 从欢乐世界正门的地铁口步行过去大概, 分钟左右, 交通非常方便, 这里相对深圳欢乐谷, 长隆欢乐谷的设施还算不错的, 园区都是超大的, 不过人数太多了, 玩一个大型的机动项目基本都要, 分钟, 里面的十环过山车很爽歪歪哦, 就是园区不准带食物, 园区的食物, 水是外面的, 倍, 总体来说还是不错了"
72,好友,258908705Nancy,4,2015年4月20日,相对来说比较刺激,"那里的刺激项目基本都玩过了, 提醒各位最好不要玩, 型滑板, 我可以坐几次十环几次大摆锤, 几次垂直, 但我坐一次, 型滑板就感觉不舒服"
73,好友,Nomad06242904497,广东省广州市,2015年1月21日,好好玩的地方,"周末的时候和朋友一起去玩的, 还好人不是很多, 玩的项目也还是蛮多的, 上午一直玩到下午才出来, 票价, 多, 感觉还是值得去的"
