,昵称,时间,评论
15,魔女三号babykikilee,2019-11-22,"长隆大马戏就系长隆欢乐世界的正门隔离, 可以坐长隆的免费接驳巴士直达, 动物园晚上系, 点关门, 如果需要从动物园坐免费的接驳巴士就必须系南门出, 因为正门出的话系无车噶, 由于欢乐世界同大马戏都系同一个车站, 所以等车去的人都特别多, 等咗几部车都系坐满的, 后离专门离咗一部空车先可以上倒, 大马戏入面的座位都系先到先得噶, 如果想坐较好的位置一定要早, 去霸位喔, 入面的场地分开几个区域, 区系比较靠近中间的大舞台, 中间的位置系, 区, 可以比多, 蚊坐, 而且中间区有一个小场地, 大马戏开始之前会有一个小丑搞气氛, 玩吓一, 小游戏, 其实坐的位置坐中间通道会比较好, 因为中场休息换舞台道具的时候, 佢会有, 现场互动表演, 比如系动物巡游同小丑表演等等, 最好的就系坐靠边边的位置, 分分钟可以会比拉上舞台表演喔, 现场就有一位观众比拉上舞台表演跳水喔, 跳水之后会有一只大公仔赠送, 总体的表演都系以杂技为主, 间唔中会加插一, 动物的表演, 例如, 杂技人员会系马上表演, 或者系黑熊踩单车, 马骝表演等等, 但动物的表演唔多, 最失望的系无老虎同狮子的表演, 都无想象中的老虎跳火圈, 比较精彩的有杂技人员的空中表演同摩托车表演, 总体精彩的杂技表演真系多不胜数, 难以形容, 总的离讲都唔错, 几震撼"
16,噼里啪啦,2020-01-20,"看了马戏吃了宵夜, 艾玛小姐这两天跟着墩子哥哥一起, 可是连着创纪录了, 你们开心就好, 我们怎么着都行, 性价比, 不错, 虽然单看比较贵但是来了就觉得还可以接受"
17,帅小伙,2020-01-08,"一个半小时的大马戏, 内容很丰富, 从暖场的演唱开始可谓是高潮迭起, 小朋友的眼睛一直盯着舞台, 国内国外的各个马戏团的表演都很精彩, 票价也很美丽"
18,冰之炙点,2020-01-27,"大马戏有几十个小项目吧, 包括小丑表演, 魔术, 观众互动, 空中表演等等, 期间动物的戏份不大, 最多占百分之二十, 大多数都是演员的杂技秀, 但是非常好看, 比较精彩有单车炫技, 空中可以完成好几个翻滚再稳稳的落地, 还有空中杂技, 在几乎没有保护措施的情况下, 演员的, 拼, 让人动容"
19,Cynthia妈,2020-01-24,"值得去看, 过几年会带宝贝再去看看大马戏, 早点去坐中间位置一些比较好, 人虽然多但值得排队看, 孩子们看着也超级开心, 中场还有小惊喜"
20,ynwa 利物浦,2019-12-24,"对于带, 岁以下小孩子的家庭, 大马戏和野生动物世界是比较好的选择, 水上乐园和欢乐世界, 还是等孩子大一点来比较好, 早点预定大马戏门票, 订的家庭票一等座, 非常不错, 离舞台距离正好, 精彩尽收眼底, 非常震撼, 途中有个桑巴舞串场表演, 满屏的大长腿和福利, 目不转睛看了很久, 被媳妇叫停了"
21,fl****and,2020-02-11,"真是太棒了, 这个大马戏竟然有真的狮子上台表演, 还有世界各地的马戏表演, 真是太激动了, 过年时间去的, 人很多, 当然票价很贵, 要是便宜点就好了"
22,丹东艾希,2020-03-24,"这里来过两次了, 不愧为国际大马戏, 一场视觉与听觉的盛宴, 整个过程让参与者在兴奋与紧张刺激的状态中, 演出的水平也令人赞不绝口"
23,子水,2020-02-10,"很卖力很精彩的表演, 动物出场不少, 有点意思"
24,惠新西街南口,2019-12-02,"老阿姨进去呆了一会儿, 心脏真是受不了, 但确实还挺精彩的, 一直比较排斥动物表演, 总觉得束缚了动物的天性有一点残忍, 眼看老虎狮子被驯化成猫, 总觉得人类做错了什么, 不过既然来了长隆, 还是顺路打卡了一番, 要提早去占座儿, 否则位置有点尴尬"
25,oO花生米Oo,2019-11-05,"入住熊猫酒店订的大马戏, 在酒店购票后才发现网上买更优惠, 反正酒店特定区域只要凭房卡就能入座, 区域划分如图一, 熊猫酒店在绿, 长隆酒店在兰, 马戏票是没有座位号的, 酒店专享区域的座位先到先得, 坐满为止, 去得晚就只能坐灰色区域了, 马戏, 开演, 就能入场, 还是建议早些去占座, 熊猫和长隆酒店的专属区域观演体验特别好, 因为有一部分演出是在绿, 兰, 和前面紫色, 区域之间的白色过道上的, 所以千万别坐第一排啊, 我买了一大一小两张票, 七百多, 付钱的时候手也抖了, 好贵啊, 但是看完以后真心觉得值, 太值了, 演员们的表演扣人心弦精彩绝伦, 灯光, 舞美, 音效美轮美奂, 惊喜, 震撼, 感动, 堆砌再多的形容词也无法表达观演的心情, 全场演出就只剩下内心哇哇哇地惊叹, 比珠海长隆的马戏好看太多了, 要不是第二天要返程, 我真想再看一遍"
26,320****577,2020-04-17,"位置飞车好, 服务也很好, 早餐也很不错, 酒店非常大, 吃早餐换可以看到动物, 孩子们非常喜欢, 住这里去长隆首选, 推介大家住这里"
27,_WeCh****49238,2020-02-01,"高铁下车后打车去的长隆大马戏, 行李可以寄存, 演出座位先到先得, 去的比较晚座位就很偏观看效果不好, 整体感觉没有珠海剧院的龙秀好看"
28,M11****649,2020-01-16,"看完动物园, 晚上, 点半来打卡大马戏, 马戏表演分成几个部分, 有动物表演杂技也有人表演空中飞人, 酷炫飞车, 摩天轮跳绳, 各有各的精彩, 还有孩子最喜欢的小丑, 是一场精彩绝伦的表演"
29,gc****j,2020-01-15,"购票时算了一下价格, 一家三口买双人马戏套票和小童票价格汇划算一些, 比起欢乐园, 动物园的人就多了很多, 幸好订了长隆自己的酒店, 住店客人可以免费享受快捷通道, 这样小火车, 缆车就无需排队了, 马戏还是很棒的, 节目精彩, 全程紧凑, 有一个跳水的节目, 参与的观众被一起拉下了跳台"
30,dlu808,2020-01-08,"全家一起看场马戏, 从来没有过的体验, 儿时的记忆不太多, 但肯定不是现在精心设计过后的超强效果, 灯光舞台和高超的技艺, 再加上不时互动的场面, 让整个剧场一次次进入狂欢"
31,阳光总在风雨后,2019-12-14,"不得不说, 携程旅行网上的功能太强大了, 无意中浏览网站就看见长隆国际大马戏表演的视频, 刚好老公有去广州出差的机会住宿解决了, 在携程旅行网上买了票, 一定要错开高峰期买票便宜一百元一张的门票, 周末的门票都是要四百多, 我买的是周五的票三百多, 早点入场找个靠前的位置"
32,158****6388,2019-12-03,"野生动物园最大特点, 动物种类多, 数量多, 人与动物可以亲密接触, 有空中缆车与小火车不同视觉体验, 马戏表演, 必须打卡的表演, 游玩了一天虽疲惫, 但马戏表演可以让人忘掉疲惫, 演员及动物们出场与观众的互动, 惊险刺激"
33,_M13****9017,2019-12-30,"表演非常好看, 灯光, 舞美, 音效设计的都很棒, 演出也很精彩, 物有所值, 大部分是人演, 中间穿插有点动物, 总之比较值得一看"
34,M26****3250,2019-12-18,"非常值得一去的地方, 表演非常的精彩, 演员阵容强大, 可以容纳几千人观看, 普通席要提前一个半小时到才能抢到好位置, 贵宾席和住在酒店的朋友可以凑着时间过来就可以了"
35,rabbit妈妈,2020-01-13,"长隆之行不容错过, 很精彩, 现场超级震撼, 全球演出人数和动物最多的表演, 除了, 座位, 为了小朋友近距离观演我另外加了一百多一个人购买的, 座位, 都无需对号入座, 所以尽量早点去排队"
36,上上高,2020-04-17,"表演确实很好, 但是这个排队的过程有点累, 除非你买, 的票, 座位是固定的, 在前排, 普通票都要自己去抢, 要跑得快"
37,203****031,2020-01-17,"美轮美奂的演出, 精彩不断的表演, 不虚此行, 遛娃必选内容, 点赞, 一等座位优势尽显, 可惜是, 位置已经售尽, 个人现场感觉如果选择, 一定要选择第二排第二排靠前位置更可以占尽视觉和互动双优势"
38,_zx403****271928,2020-01-15,"这个马戏表演不错, 我们已经来这几次睇这个表演, 气氛很好, 又搞笑, 演员很好, 就系我们食完饭来, 比较迟, 坐太偏了"
39,our足迹,2020-01-03,"气氛非常好, 互动性强, 未开场以及舞台准备阶段都会有在观众席的互动演出, 动物表演很少, 就是出来跑一圈即可特技杂技唯美表演非常值得看, 孩子很开心, 大人也心情愉悦强烈推荐一等座对号入座靠近舞台"
40,M26****3250,2019-12-18,"到工作一定要去长隆看大马戏, 非常精彩非常刺激非常好看非常热闹, 必须要提前一个半小时前到达去管位置, 因为是早到早座的, 好位置能够看到的角度就不一样"
41,D19****196,2020-04-08,"好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好"
42,D19****196,2020-04-08,"好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好, 好"
43,BOB1983,2020-03-28,"值得多次观看, 现场气氛很好, 对动物保护做得也很好, 期待早日开园"
44,Vivi,2019-11-04,"很好很滿意, 大馬戲非常的精彩, 真的相當的震撼, 攜程購票體驗非常好, 可提前取消票, 如果未能出行都不怕票浪費, 下次還會再次選擇的"
45,Situliuxu,2020-01-03,"每次去都是不一样的感觉, 前一段时间和对象一起去的, 虽然吵了一架, 但是看完后居然给好了, 所以一切的争吵, 都可以用开心或者是娱乐来化解, 但是节目真的非常的精彩, 很好看, 大家都可以去看看"
46,康康斐伱莫属,2019-12-14,"景区很好, 风景也很漂亮, 门票价格能接受, 也没有二次消费或者强制消费的情况, 景区电瓶车非常方便, 我和我女朋友一致认为, 本次旅行比较值得, 对了, 当地的美食也很不错, 值得推荐"
47,哈哈梅西,2020-04-16,"大马戏真的很精彩, 物有所值, 希望大家都去看一看, 真的很不错"
48,han****024,2020-01-15,"人气很高, 满场, 有条件还是买一等座, 如果是二等座, 最好选过道的第一排, 可以互动, 一定要早进场占座啊"
49,_WeCh****508182,2019-12-03,"简直超级无敌爆精彩呀, 惊喜不断, 开头略刺激, 后面好多种动物出场, 超级可爱, 萌萌的略带喜感, 烟花, 水, 光影, 动感音乐, 是去广州最大的期待了, 去广州一定要看这个, 尤其带孩子的家庭"
50,138****6977,2020-01-18,"演员们都很棒, 空中飞人, 跳水等节目都很赞, 非常值得观赏, 如果订普通座位一定要提前一小时去才能坐到还可以的位置, 每位加, 元可以换一等座, 加, 元可以换, 座"
51,黑白糖果树,2020-03-17,"这个地方非常不错, 非常适合带着家人一起悠闲的在这边度过美好的时光, 这里有着不同特色的人文底蕴和美妙的风景, 有时约上三五好友, 静静的享受在一起度过的时光, 推荐推荐, 非常不错"
52,健康美丽的芳芳,2020-01-21,"放假带着孩子出来玩, 选择了大孩子小孩子都非常喜欢的长隆国际马戏大剧院, 看了一场非常精彩的马戏表演, 全场无尿点, 真的超级的有趣好看"
53,186****6969,2019-11-19,"大马戏真的很好看, 精彩绝伦, 大多是人类表演, 值得鼓励没有动物表演, 但是小动物们有参与, 喜欢这样的表演, 孩子一开始有点怕但是后来就嗨起来, 融入到其中, 灯光效果不错, 棒棒哒"
54,Vivi,2019-11-04,"大馬戲相當的精彩相當的震撼, 真的太好看了, 現場的效果非常的棒, 網上購票還可以提前取消, 下次還會再次選擇的, 小孩都很喜歡看"
55,kentyangor,2020-04-24,"招牌项目了, 每一个来长隆欢乐世界的人必看的"
56,258****432,2020-04-03,"长隆大马戏绝对是一种震撼, 央视经常有播出"
57,饼干的妈咪,2020-01-18,"广州长隆和珠海长隆的马戏, 龙秀, 比起来, 个人更喜欢珠海长隆的龙秀, 舞美灯光以及编排更好, 我们去的时候在马戏里面的餐厅用餐, 人均超过, 元就可以免费升级一张一等座, 我们当时有两个大人就免费升级了一等座, 简直幸福来的太突然, 又节约了去"
58,203****031,2020-01-17,"现场工作人员都是非常客气有礼貌的, 这让我感觉到了与现场表演人员的微笑是合璧的, 相对北方地区好很多, 尤其对于遛娃的父母这种温柔和态度是至关重要的, 一家四口很开心的参与了这场视觉盛宴, 收获很多, 对于座位的选择二次再来一定要选择, 二排靠前, 个人感觉可以获得更多的互动和视觉效果"
59,_WeCh****91654,2020-01-09,"很精彩, 让人惊叹的演出, 演员和观众的互动也很好, 小动物们的出场也很萌, 一定要坐在离通道近的位置, 因为所有串场呢演出和互动都在中间的通道里, 就是第一层和第二层看台中间的通道, 还会邀请观众上台参加表演哦, 昨天有一个小帅哥被小丑请上去跳水, 一脸的生无可恋, 最后硬生生被小丑抱着跳下去了, 小伙伴们要是不想跳的, 可千万不要上台去"
60,631****068,2019-12-22,"马戏表演很精彩, 从长隆野生动物世界北门出来坐免费的摆渡车, 先坐, 号线到南门站下, 再倒, 号线到大马戏剧院下就到了, 灯光和特效配合, 给观众带来一个个难忘的精彩瞬间, 惊喜连连, 开场和中间换场的时候都穿插这着小丑表演和舞蹈表演, 现场气氛很棒, 之前看攻略说剧场不对号, 要提前去占位子, 其实中间和紧挨着中间的两侧的座位, 都被围起来了, 现场加, 元可以升级到, 座位, 中间的座位要加, 早去占座可选的范围也不多, 要不就选择最后面中间的位置, 要不就选择最边上两侧的前排座位, 长隆酒店有专门的预留座位区域, 演出结束后也有摆渡车可以把观众送到地铁站"
61,此时为此,2019-12-15,"总体不错的, 值得一看, 票价会随时变动, 临近买涨价了, 提前订, 一直加价格, 但是最外面页面是不显示的, 不要被骗了哦, 节目是补错的哦"
62,M39****151,2019-11-21,"玩了一天下来, 很累, 六点就坐在大马戏院里占了个前排座, 昏昏欲睡, 马戏开始后立马精神了, 现场的灯光视觉效果, 音响和演员的表演都很赞, 但是我认为动物的表演太少, 就是把狮子老虎拉上台展示一下, 火烈鸟, 鹦鹉, 孔雀, 马等动物游行一下, 没有表演类的, 说是大马戏, 其实就是人的杂技表演"
63,138****3427,2019-11-20,"带孩子和家里人一起来长隆度假, 酒店套餐买了长隆国际大马戏, 来看大马戏的人还真是好多啊, 我们五点半来场内就好多人了, 我们坐的酒店专用座位, 但是好位置也都被占了, 看来还是来晚了呢, 大马戏表演真是精彩绝伦, 很喜欢很赞哦"
64,_WeCh****941958,2019-11-06,"先说经历, 供借鉴, 在欢乐世界玩的时候临时起意想去看马戏, 上午在携程订票, 一等座, 小贵, 下午, 点出欢乐世界北门, 步行, 分钟内到马戏取票处取票, 票上有区号排号座号, 在, 区, 排, 座, 在紫色区域, 位置很好, 剧院整体看, 舞台正中位置是, 区, 绝佳, 但纵向占位并不太多, 两侧就是一等座区, 观赏效果也很好, 区之下是, 区, 两者隔一个平台, 两个节目之间有些表演及动物串场都在这个平台上穿行, 区的人需后转才能看, 这是, 区更优之处, 另一优势, 的起点与舞台平齐, 台阶式上升, 此区的观众被上台的较多, 说说表演, 一, 各国演员年轻人居多, 女演员超漂亮, 男演员健壮阳光, 黑人小伙儿更甚, 微笑自信, 很养眼, 服装漂亮出彩, 二, 整体技艺水平较好, 当然不能和春晚的水准相比, 扣掉的一分, 是缘于最后一个掉水节目, 强制邀请了一位观众, 当然主因是此观众性格很温和, 活动过程中, 突然, 把观众从空中表演台推入水中, 自己的衣服全湿了, 当然身体的安全绝对能保证, 事后给了浴巾护送往后台, 也许有别的补偿吧, 但做为观者, 感觉受到了伤害, 请自行体会, 本来很好的观赏体验, 直降, 总结, 一, 尽量早规划, 至少提前一天购票, 能省点钱, 二, 院内约七千座, 非高峰期, 也可以买普通座, 早点进去占座, 实在不理想可现场加钱升级, 三, 买了一等座更加不用着急, 取票时随机分座, 整个紫色区效果都可以, 到点儿进就行, 四, 如果不想到台上互动, 请坚定坚决拒绝, 以上仅代表个人的意见, 若有不周或冒犯, 尽请见谅, 祝愉快"
65,288****627,2020-04-14,好玩的一个地方是一个休闲度假的好去处
66,阿曼加小可爱,2020-01-13,"现场超棒, 人也很多, 很有气氛, 演员和观众的互动也很强"
67,汪继卿,2020-04-03,"适合带孩子去看, 表演很不错, 精彩"
68,大眼睛,2019-11-27,"这一次还是没让人失望, 大马戏看过几次了, 精彩绝伦, 孩子超级喜欢小动物环节, 萌萌的小动物们, 逗的孩子们开怀大笑, 大人们被惊险刺激的马戏表演吸引着, 太棒了"
69,_WeCh****82791,2020-01-24,"歪果仁真会玩儿, 表演真卖力气, 安排完美无瑕, 动静结合充满活力, 棒棒哒, 应该增加演唱环节就更好了, 小丑儿的串联可圈可点, 特别好看, 还会再来"
70,288****337,2019-12-09,"网上购票非常便捷, 取票也很方便, 已经提前指定好座位, 很方便啊, 表演也很精彩, 互动很好, 时间过得很快可以推荐继续去玩玩难看看"
71,刘大宝曦曦,2019-12-25,"亲子乐园, 动物园棒棒哒, 马戏表演超赞, 特别推荐这家主题乐园"
72,_WeCh****508182,2019-12-03,"去广州一定要看这个, 最期待的就是这个马戏了, 带孩子尤其要去看看, 光影声音效果做的特别好, 杂技也很厉害, 动物们出场好可爱的样子, 真的很棒"
73,M53****209,2020-03-21,非常棒的体验
74,_WeCh****372809,2020-01-06,"非常好, 值得一看, 演员都很专业, 很精彩, 空中飞人出现了一次失误, 还好有惊无险, 希望所以杂技演员健康平安"
75,139****8040,2020-03-28,"大马戏融入了中西方文化, 节目中穿插了很多互动节目, 把气氛带入高潮, 非常精彩, 孩子非常开心"
76,放松心情玩,2019-12-22,"长隆大马戏团大剧院真的让我很震撼, 从来没见过如此美妙的马戏表, 流连忘返, 下次还会介绍朋友一起去, 七八月份应该是最好的季节真的很棒"
77,M54****545,2020-01-19,"大马戏非常地精彩, 可以用震撼人心来形容, 演员们的演出非常的卖力, 小丑们非常搞笑, 听听观众的欢呼呐喊声就知道演出有多们的精彩刺激"
78,_WeCh****508182,2019-12-03,"真的超级好看, 无敌精彩, 马戏算全国第一把, 还想再看一遍呀, 惊喜很多, 动物们超级可爱, 萌萌哒的感觉, 河马, 长颈鹿, 鸵鸟, 火烈鸟"
79,E08****88,2020-01-23,"的确震撼啊, 表演很热烈, 让人觉得不虚此行, 宝贝看的特别开心, 老少皆宜, 动物出场是最特别的, 过年期间年味十足哦, 看的人特别开心"
80,天空需要仰望,2020-01-16,"很值得带孩子去看的马戏, 非常精彩, 演员们很敬业, 虽然天气很热温度高, 但是表演很卖力, 宝宝还意外得到了一个毛绒玩具, 超级棒"
81,300****564,2020-02-04,"为了坐通道前排, 去得早, 等了兩个多小时, 节目还是可以, 看完还可以去坐交通车送到地铁, 一定要坐中间通道, 会有巡场, 是在正面, 但是通道在位子后面, 巡场时还要转过来看, 不方便啊, 所以带娃首选通道第一排, 偏一点都沒关系"
82,cn_wx,2020-01-21,"网上订票晚上, 场, 订票取票方便, 直接在人工窗口取票, 入场时安检排队人很多, 工作人员服务态度挺好, 有问题可以随时问他们, 国际大马戏, 感觉更像是杂技表演, 但是动作惊险, 还是引来阵阵欢呼声, 整体好评"
83,cn_wx,2020-01-21,"网上订票晚上, 场, 订票取票方便, 直接在人工窗口取票, 入场时安检排队人很多, 工作人员服务态度挺好, 有问题可以随时问他们, 国际大马戏, 感觉更像是杂技表演, 但是动作惊险, 还是引来阵阵欢呼声, 整体好评"
84,gc****j,2020-01-15,"带着娃一家三口来长隆, 玩得很开心, 欢乐园景区不大, 但设计合理, 虽然是寒假期间, 但平日景区内人也不是很多, 无需快速卡排队也就几分钟, 工作人员很多, 而且都很主动热情, 园内吃的品种不对, 但口味和价格都还是很不错的"
85,夏日么么茶rg,2020-01-12,"马戏演出真的很精彩, 外国美女又高又大又苗条, 看得我直流口水, 小动物们很可爱, 今天带着孩子去看马戏, 孩子也是第一次见到这么多种类的动物, 开心极了, 在此建议各位还是买一等座的票要好, 而且要赶在中午, 点半开始排座位的时候去换票, 我们所坐的位置正好是大游行的走廊旁边第一排, 觉得真的是赚到了, 马戏的演出各个环节都编排的很井井有条"
86,_WeCh****203030,2020-01-07,"价钱比较优惠, 但是取票对我来说有点难, 那个码一直按错, 排队的人也挺多的, 那天还有一些人为了取票而吵架, 呵呵, 总体不错吧, 前几年有去看, 这次没有那次精彩了, 很多部分的表演节目也都没有了"
87,118****937,2019-11-07,"大马戏很精彩, 但是小宝宝来说声音有点吵, 大宝, 岁, 看着看着开始捂耳朵, 最后半小时干脆看不下去了, 联系宝宝太小还是不看的好"
88,he123小肥羊,2019-12-19,"动物多, 环境优美可以座小火车和高空览车"
89,_CFT01****3800680,2020-03-30,"表演很好看, 孩子很喜欢, 坐在后面一排的人在后面不停咳嗽, 现在想想好可怕"
90,M27****9611,2020-04-18,"玩的很高兴, 一家人难得一块出游, 在春节假期很愉快, 下次有时间再来玩"
91,M27****9611,2020-04-18,"玩的很高兴, 一家人难得一块出游, 在春节假期很愉快, 下次有时间再来玩"
92,M26****3250,2020-03-25,"非常好看的大马戏, 非常适合全家老少一起看, 演员阵容强大, 也非常刺激"
93,M84****13,2020-01-23,"孩子太小, 不适合游玩, 早早就得排队入场定座位, 动物方面表演少, 节目也少, 里面的东西挺贵, 卖的纪念品也很贵, 估计以后要坐酒店专区才能有更好的视觉效果"
94,M84****13,2020-01-23,"孩子太小, 不适合游玩, 早早就得排队入场定座位, 动物方面表演少, 节目也少, 里面的东西挺贵, 卖的纪念品也很贵, 估计以后要坐酒店专区才能有更好的视觉效果"
95,向天上那朵芸,2020-03-25,"很有意思的马戏团, 很适合家人带上小孩子一起游玩, 很有意思的马戏团, 很适合家人带上小孩子一起游玩, 很有意思的马戏团, 很适合家人带上小孩子一起游玩"
96,向天上那朵芸,2020-03-25,"很有意思的马戏团, 很适合家人带上小孩子一起游玩, 很有意思的马戏团, 很适合家人带上小孩子一起游玩, 很有意思的马戏团, 很适合家人带上小孩子一起游玩"
97,_WeCh****372809,2020-01-06,"非常好, 孩子本来没什么兴趣, 结果看到非常开心, 大人也真正看了一场小时候在电视里才能看到的马戏"
98,118****467,2019-12-26,"照片拍不出现场的震撼, 演员们跟打了鸡血一样活力满满, 卖力演出, 整个表演无缝衔接, 每一分钟都是惊喜, 演员和观众的互动非常好, 阳光式的笑容很招牌, 来长隆一定要看大马戏, 不然会错过最好的"
99,M27****1414,2020-03-01,"不错不错, 震撼, 如果有机会, 我还是想去, 毕竟, 那是一个回忆"
100,206****151,2020-01-05,"广州长隆的大马戏必须去, 超级赞, 震撼, 唯美, 演员也非常专业, 下次去会考虑升级贵宾位置, 观看效果会更佳, 小朋友全程安静的看完, 并且积极互动"
101,布谷莺,2019-12-30,"超赞大马戏, 刷新以前你对马戏表演的所有认知, 原来马戏可以是这样的, 超一流, 国际化, 一年看了三场, 每次都惊喜无比, 节目编排也太厉害了"
102,huangly,2020-03-26,"第一次去的时候不懂, 花了大价钱买的贵宾席, 的确是在前面, 但是游行的时候就一点好处没有了, 后面去就有经验了, 挑在中间离道路近的地方, 去过几次了, 节目这么些年都没有更新的"
103,玥亮,2020-02-17,"带孩子来看的, 比较受益, 动物很棒, 挺不错的"
