,昵称,时间,评论
18,Alice,2019-11-03,"长隆水上乐园, 里面真的太大了, 个人建议外地游客可以在园区内酒店, 虽然贵点, 但玩起来方便, 有好多地方出示酒店卡可以走快速通道的"
19,风筝爱旅行,2019-11-30,"广州长隆, 上海深圳北京欢乐谷, 香港迪斯尼都玩遍了没有怕的, 但是这个翼龙过山车让我飙泪了, 来不及喊出声, 座椅是像让人像蝙蝠抓着你的背一样悬挂附向下, 下落是加速的板的自由落体, 捂脸, 自由落体已经很可怕了, 还加速一把冲进一个黑洞里, 怕到灵魂出窍, 捂脸, 捂脸"
20,288****703,2020-01-03,"长隆圣诞月, 几大景区, 低于, 的儿童都是免费的, 这是圣诞老人送给小朋友最好的礼物哦, 欢乐世界游乐设施很多, 进入景区拿好地图, 看好表演时间, 真的很精彩哦"
21,雨疏风骤闲庭看,2020-03-31,"特别好玩的地方, 真的值得一去"
22,Alice,2020-04-23,长隆欢乐世界景色优美风景迷人
23,帅小伙,2020-01-08,"欢乐世界是广州长隆门票价格最便宜的了, 游乐项目很多, 小朋友玩的, 惊险刺激的都有, 还有表演和巡游, 巡游很水, 玩的项目很多, 就是主题弱了一点"
24,288****703,2020-01-02,"十环过山车真的非常刺激哦, 不过身高不够的小孩子却不能玩哦, 整体来说长隆欢乐世界的性价比还是很高的, 多个项目可以玩, 最近淡季吧, 玩的人并不多"
25,288****703,2020-01-01,"圣诞节的长隆, 夜晚是特别的热闹, 去的时候正好平安夜, 人很多, 主持人在台上与台下互动特别嗨, 白天游玩的人倒是不多, 不会像迪士尼那么排队哦"
26,288****703,2020-01-04,"长隆度假区整个都是一片, 的海洋, 特别欢乐, 特别放松, 特别刺激, 无论是大小朋友都可以找到自己的乐趣, 欢乐世界的魔术表演非常棒"
27,jixiang2014,2019-11-09,"长隆欢乐世界, 充满着活力与激情, 过于刺激的项目心脏承受不了, 还是坐而观之, 与众同乐, 有些项目比较刺激, 有些是适合年龄段比较的小朋友"
28,鲁之癫,2019-12-01,"欢乐世界应该好好去逛逛, 代孩子去最好住熊猫酒店, 孩子比较喜欢, 还有门票一起, 也是比较划算, 很多玩的吃的, 去过几次, 感觉不错"
29,可爱的可达鸭,2019-12-26,"广州长隆欢乐世界这里还是非常大的一个游乐场, 非常的好玩呢, 来这里玩的人还是很多的正好碰到了万圣节的主题啊来这里玩还是很合适的"
30,-马sir-,2020-04-10,"太刺激了, 我本来就有一点恐高, 结果这里更让人感动害怕, 真的真的很刺激, 如果想追求刺激的朋友呢还是很适合去玩的, 但是比较适合成年人去玩, 小孩子的话还是比较危险的"
31,卢湾申花魂,2019-12-25,"广州长隆欢乐世界这里也是一个很大的主题乐园了, 来这里玩还是很不错的选择呢, 这里的游乐设施非常的多带小朋友来这里玩挺不错的"
32,SFC申花魂,2019-12-22,"广州的长隆欢乐世界也是个很好玩的地方啊, 来这里真的是很有意思呢, 地方非常的大里面有很多很多的游乐设施大人小孩都可以过来玩"
33,Hebewentan,2020-01-29,"真的很好玩, 有机会还会再去, 型过山车真的很棒, 不会很可怕, 第一排必须坐, 大家记得自备雨衣雨鞋, 这样才有机会玩玩水上游戏, 真的很好玩"
34,_WeCh****536452,2020-01-23,"赶到了年前来玩, 动物园人很多, 如果可以尽量早点去排队, 我们九点半左右, 进门排队有一个小时, 进入南门之后做了小火车, 结束后做了缆车, 饭食挺贵的, 大米套餐是, 一份, 吃的感觉一般, 买的套票, 第二天去了欢乐世界, 很嗨, 型滑板和过山车简直不要太刺激, 吓死了, 小盆友也玩得很开心"
35,王阿肥,2020-01-22,"啊啊啊啊啊啊啊啊啊来广州一定要来长隆玩, 去的时候第一个就去玩了垂直过山车, 哎呀, 简直太刺激太好玩了, 还有好多好多必玩的, 大摆锤飞上天和太阳肩并肩哈哈哈哈哈哈哈哈哈, 玩了整整一天, 超超超开心的"
36,杜笃独渡,2020-01-10,"去长隆公园几次了, 这次是我姐家小孩儿来我梧州玩儿, 所以带他去长隆欢乐世界玩儿了一天, 虽然遇到下雨的天气, 但是从小孩儿的表情上可以看得出, 他玩儿得很开心, 这次来舅舅这边是值得的, 以后还要多带他来这边, 玩儿没的说, 景色也好, 价格也很优惠, 好评哦"
37,一只小戆度,2019-12-26,"广州南郊的这个长隆欢乐世界是一个一年四季都可以来玩的地方啊, 这次是夏天来的可以带上水世界一起玩哦, 东西很多可以玩很久呢"
38,Gio莫雷诺,2019-12-26,"广州长隆欢乐世界还是第一次来玩呢, 这里地方还是很大的, 里面的项目感觉很多都不是那么刺激带小朋友来玩还是很合适的非常好玩"
39,Csong7i,2019-12-14,"情人节带女朋友过来玩玩, 挺不错的, 赶上了圣诞节的活动, 就是里面东西又多又贵哈哈, 人又多, 主要过来拍照风景好, 人又热闹, 就是排队玩游戏太久了"
40,你总是这样,2019-12-11,"急流勇进, 碰碰车, 旋转飞椅, 型滑板, 大摆锤, 自由落体, 垂直过山车, 摩托过山车, 十环过山车, 通通玩了一遍, 好刺激, 好好玩"
41,M22****9035,2019-12-10,"一直想要去长隆坐过山车但是不敢, 这次被拖上去也是厉害了, 连刷, 个过山车, 垂直过山车看过跑男的同学应该都有印象, 卡叽卡叽的一点点往上爬, 让人紧张感备升, 到最高点下降前停顿的, 秒简直就是, 分钟吓的半死, 分半的时间有点腿软"
42,Tina,2019-11-21,"来广州旅游, 无论带娃与否, 我都推荐你来广州长隆的三大景点玩玩, 长隆野生动物园, 长隆欢乐世界, 长隆国际大马戏团打个卡, 长隆野生动物园, 是亚洲最大的野生动物园, 动物种类齐全, 各种娱乐设施也完善, 欢乐世界, 大人孩子都爱的乐园, 长隆国际大马戏也是非常精彩的"
43,M28****203,2019-11-14,"很棒很棒, 一直以来就想去体验过山车, 那天去玩得真的很嗨, 从早上, 点玩到下午六点, 完了十几个项目, 把所有想玩的都玩了个遍, 晚上还碰到那里搞万圣节, 路上到处都是鬼, 好怕, 很开心的一段旅程, 因为我们下一站的旅行要去成都看熊猫, 所以就没去野生动物园, 来广州, 一定要去长隆欢乐世界"
44,_WeCh****129070,2019-11-10,"十一月初去的, 水世界已经关了, 只玩欢乐世界, 不是周末, 但是遇上学生秋游, 秋游这个事情在鸟类乐园里也遇见了, 所以当天体验很差, 因为鸟乐园太小了, 人太多, 学生还吵, 欢乐世界比较大, 孩子多点也没那么恐怖, 并且他们三点半之前都集合回家了, 于是我把垂直过山车, 十环过山车, 摩托过山车等等都玩了, 排队人很少, 等不超过三车就能玩上, 完全不需要快速腕带, 首先我是带孩子去的, 宝宝五岁, 能玩的项目非常多, 也都不需要排太久, 很快就能玩上, 里面还有一个市内淘气堡是叫宝贝乐园吧, 把孩子往那一放, 朋友看着, 我就出发体验各种过山车了, 但是, 之前在珠海坐了一个鹦鹉过山车, 好几年没玩这东西, 感觉挺爽, 到了广州, 第一个过山车就是垂直过山车, 我一个妇女一点不害怕, 全程睁眼没喊, 当然很多人感觉刺激, 可是我真心不推荐大老远为它而来, 十环过山车没有这个高, 就是带着你转圈圈, 也一般, 摩托过山车更不刺激, 就是姿势特别些, 骑摩托嘛, 值得推荐的其实是玩的人不多的火箭过山车, 不是多吓人, 而是有趣味, 我坐第一排, 挺爽, 速度超级快, 站排时就会看见别人在你眼前刷一下消失了, 一会刷一下倒回来, 又刷一下消失了, 都看不清脸, 可逗了, 型滑板也不出奇, 哪里都有, 还有个类似跳楼机的, 升得很高看风景不错, 但是下降就一下就完了, 挺失望, 小宝贝玩的有一个儿童驾校, 上午去都没人, 可能都排过山车去了, 宝宝挺喜欢, 自己开车, 还有红绿灯, 出来还给一个儿童驾照, 块钱可以购买, 穿雨衣玩的一个黄色圆船那个没意思, 雨衣还贵, 不用玩了, 四, 电影还行, 没有珠海海洋王国的好看, 其次是野生动物园的, 再次是欢乐世界的, 星际决战也一般, 森林神庙类似鬼屋, 不用玩, 不吓人, 十环过山车边上的欢乐干线千万别玩, 总体来说乐园不那么漂亮也不大, 广告做的好而已, 门票不便宜, 如果行程紧凑还是以野生动物园为主吧, 之前以为长隆会北京欢乐谷和大连发现王国好, 现在看来并没有, 欢乐世界可以带吃的, 珠海海洋世界和长隆野生动物园不可以带, 但检查不严格, 还是挺体谅游客的, 带点孩子零食挺必要的其实, 园区里的餐厅一般套餐, 左右吧, 价位我觉得还可以, 景区里这样能接受, 我一女士带一五岁女孩一个套餐完全够用了, 芬达可乐八元十元左右, 矿泉水六元八元左右吧, 企鹅酒店里面一厅可乐, 这么比乐园里不贵, 所有商店商品统一价, 入住企鹅酒店时有, 折优惠券"
45,M37****8784,2019-12-18,"非节假日去玩跟朋友一起去玩的人不多, 从上午十点玩到下午四点好玩的就差不多全部玩了一遍, 其中最为刺激的就是垂直过山车, 从最高点垂直冲下, 无法用语言表达, 只能一个字, 爽, 我就玩了两次, 没人都是直接玩的"
46,_WeCh****800077,2019-12-25,"很好玩, 和家人一起, 不过呢人好多, 如果有机会的话我想我还回走, 最喜欢的是里面的大摆锤, 嘿嘿, 还有那些过山车"
47,10****511,2020-04-08,"亲子乐园, 乐趣多多, 流连忘返, 下次再来"
48,M21****013,2020-03-29,"很好玩, 刺激, 适合追求, 趣味, 高, 能够释放心中的不愉快"
49,彼岸花0814,2020-01-20,"长隆万圣节每年必去, 一年比一年办的好, 无论园区装饰, 还是工作人员装扮, 现场气氛都要比深圳欢乐谷好太多"
50,M41****639,2020-02-15,"好玩, 非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常好玩"
51,_CFT0****4541,2020-04-06,"还可以的吧, 去的时候人不是很多, 基本上每个项目都玩了一遍, 还是很好的, 里面项目众多, 适合青少年去玩, 有一些自费饮食还是稍微贵了一些"
52,_CFT0****4541,2020-04-06,"还可以的吧, 去的时候人不是很多, 基本上每个项目都玩了一遍, 还是很好的, 里面项目众多, 适合青少年去玩, 有一些自费饮食还是稍微贵了一些"
53,M14****208,2020-02-08,"很惊喜的旅程, 小朋友很满意, 期待这一次的去旅行, 在心中久不磨灭, 期待下一次与携程的相遇, 也都是满满的幸福回忆, 加油啊"
54,洁洁宝彤,2020-04-10,"孩子们喜欢去的地方, 园子很大, 游乐设施很的, 值得去"
55,温晓彦,2020-02-01,"带走我们家两个宝贝来玩, 玩了一整天, 好多奇特的动物, 看到好多宝贝们没有见过的动物物种, 增加了他们的一些知识, 玩的也很开心, 一家人开开心心度过了在野生动物园美好的一天"
56,M60****871,2020-01-20,"孩子玩儿的很开心, 没有额外的收费项目, 景区卫生情况很好, 各卫生间也是干净整洁的, 给我们带来了很好的游乐体验, 服务人员也是有求必应, 态度非常好, 特技剧场的表演非常震撼"
57,fengwang1975,2020-04-14,"很好玩的地方, 非常适合亲子游, 孩子都喜欢的"
58,kentyangor,2020-04-24,"趣味性真的是无与伦比的, 也是周边的最好玩的"
59,虹口小赤佬,2019-12-26,"广州长隆欢乐世界是广州很好玩的一个地方啊, 来这里玩的人真的是很多的, 很多项目发跟小孩都能玩周边还有动物园和水世界都可以玩"
60,littebee,2020-02-06,"很划算, 但是要早点去, 毕竟很多项目都有, 人左右在排队, 等候时间, 分钟左右, 里面有很多小吃餐车及一些饭店, 但我没有品尝, 为节约时间多玩项目, 自己带了牛奶面包, 我们是, 点进去的, 一直玩到当天营业结束才离开, 玩得非常嗨, 我比较喜欢刺激的项目, 所以里面的过山车项目都体验了一遍, 强烈推荐垂直过山车, 奔跑吧兄弟邓超王迅, 但是比较遗憾, 没有蹦极"
61,kkmama,2019-12-08,"月, 米以下儿童免票入场, 儿子身高, 米, 完成了人生首次飞越, 飞马过山车, 难度系数非常适合儿童, 激流勇进也不错, 就是搞的满脸湿透, 比较适合夏天玩, 雨衣, 元, 带鞋套, 记得不要玩过就扔, 后面还有几个需要雨衣的项目呢, 大摆锤, 垂直过山车, 十环过山车看着都很酷, 就是不敢玩, 听别人尖叫也挺过瘾的, 跳楼机在维修, 暂时玩不了"
62,M59****940,2020-03-28,一定很划算的感觉给自己比梓潼县好爽哦
63,靓妈,2019-12-31,"欢乐世界不仅给孩子们带来欢乐, 而且让大人们玩的开心, 有三种过山车可以挑战, 还有, 型滑板和大摆锤, 跳楼机, 儿童有挑战手册, 逐一打卡, 能换勋章, 让孩子特有成就感"
64,寿戈,2019-11-05,"在携程网订, 号的万圣节优惠门票, 从汉溪长隆地铁站到景区门口刚到, 点很准时, 周末人山人海, 每个项目排队火爆, 玩的就是心跳尖叫刺激, 夜幕更是心惊胆颤尖叫连连"
65,258****432,2020-03-29,长隆欢乐世界孩子和家长的欢乐世界
66,M20****654,2020-04-15,"机动游戏项目很多, 有些比较刺激"
67,133****5004,2020-04-04,"对附近的人来说, 年卡性价比奇高哈"
68,E26****52,2020-03-28,"长隆动物园的配套景区, 挺好玩的"
69,_WeCh****639266,2019-12-29,"一年比一年好, 服务升级, 可以带吃的食物和水进去了, 真心不错, 明年还会再来, 每年都会来, 哈哈哈"
70,M10****15,2019-11-21,"很好, 取票过程很顺利, 全程玩得很开心, 很好, 取票过程很顺利, 全程玩得很开心, 很好, 取票过程很顺利, 全程玩得很开心, 很好, 取票过程很顺利, 全程玩得很开心"
71,hu****98,2020-04-26,"项目挺多的, 身高要求比北方低"
72,M48****547,2020-04-25,"挺好玩的, 可以花一天时间去看看"
73,喵喵小女孩,2020-04-25,"挺不错的, 喜欢冒险的就去吧"
74,M29****0308,2020-04-18,大家都期待你的发言呢这里值得去
75,寿戈,2019-11-05,"长隆欢乐世界万圣节活动本周末止, 晚上活动才是重头戏, 鬼角色相当丰富吓人刺激尖叫, 周末人流及大, 每个项目人员暴棚, 上了贼船身不由你, 开心吧, 年青真好"
76,_WeCh****672420,2019-10-31,"辛亏买了全天的票, 不然买夜场的票, 简直就是去看人头的, 全天人不是很多, 夜场就比较多, 排队能把人排到怀疑人生, 奉劝各位一句如果时间够的话最好买全天的票"
77,js106,2020-04-06,"女儿最爱, 隔段时间就来打卡, 乐园设施完善, 工作人员热情, 项目刺激"
78,爱自己爱,2019-11-02,"不同年龄段的孩子都可以找到有趣的节目, 光是过山, 车, 都是好几种, 让你做个过瘾, 还有不同时间段的节目可以看, 还有游园活动, 景色也不错"
79,阳光总在风雨后,2019-11-01,"广州长隆马戏表演很精彩, 一辈子一定要去看的项目, 除, 席位不能坐, 其它的都是随便坐, 早点入场可以找个好位置, 里面吃的东西有点贵, 可以带食品进去"
80,小白哥哥莉,2020-01-31,"好好玩啊, 天气超级棒, 花了, 块钱做的脸, 怎么样啊哈哈哈哈哈哈哈"
81,_WeCh****240224,2020-01-09,"欢乐世界, 项目特别多, 很好玩, 现在淡季不需要排队很久, 大人孩子都玩的很开心, 性价比极高, 在里面可以玩一整天, 如果假期时间长不是很赶, 建议两天哦"
82,288****703,2019-11-01,"万圣节特别活动, 气氛很好, 各个方面, 连饮料都是血浆哦, 特别逼真, 里面的饮料很好喝, 南瓜杯, 一杯, 续杯只要, 块钱哦, 还是很划算的, 里面的表演很精彩, 不过小孩子有点害怕, 说这是鬼的长隆"
83,失业青年,2019-12-08,"期待很久的长隆欢乐世界终于有机会抽时间去玩, 整体给我的感觉很不错, 就是时间比较仓促, 很多项目都还没有足够的时间去玩, 只能期待下一次的到来"
84,M53****209,2020-03-21,非常棒棒的体验
85,M32****0517,2019-11-16,"孩子四岁, 好多都不能玩, 有些不好玩了, 希望多增加一些小朋友的项目, 让孩子们增加一些体验, 这是留住长客和回头客的有效方法, 期待以后更好玩"
86,M37****2207,2020-02-15,"长隆欢乐世界坐落在广州番禺迎宾路, 占坤向积, 受亩, 游乐设施近, 项, 引进多个全球领先的设备, 垂直过山车, 十环过山车等惊险刺激"
87,杏叶防风,2020-01-21,"开心忘记烦恼的地方, 我们全家唯一能一起玩的只有激流勇进, 孩子胆子大, 玩了大摆锤, 看着就刺激, 大人小孩都有能玩的, 开心快乐的玩了一天"
88,M29****4694,2020-01-24,"欢乐世界里游玩项目很刺激, 看了剧场表演, 魔术, 舞蹈等深受孩子喜欢, 小丑和孩子们的互动, 扔气球进筐还有礼物送, 参加了基点的七个小活动, 拿到了一枚篮球勋章, 总之玩得非常开心"
89,_WeCh****240224,2020-01-01,"欢乐世界好玩的真的特别多, 做地铁也是很方便的呢, 身高不是很高的小朋友也有很多可以玩的, 身高超过, 以上的小朋友大部分都可以玩哦"
90,_WeCh****858997,2019-11-29,"好玩嘿嘿嘿, 周五人不多, 玩了好多好多项目, 过山车都好好玩嘻嘻, 不过很可惜的是, 项目都是晚上, 点就关了, 好可惜, 还想再玩几次的"
91,M52****028,2020-01-31,"小朋友能玩的太少了, 还要等好久, 不适合小朋友来, 之前就听说是这样, 但是特技表演挺好看"
92,_cs08****3301,2020-01-30,"非常好玩, 孩子, 米, 能玩项目很多, 特技表演太精彩了, 印象深刻, 儿童过山车也很刺激, 就是关门时间太早了, 没有烟花表演是遗憾"
93,放松心情玩,2019-12-22,"长隆欢乐世界真的让我很震撼, 从来没见过如此美妙的游乐场, 流连忘返, 下次还会介绍朋友一起去, 七八月份应该是最好的季节真的很棒"
94,张先生,2020-02-08,"老婆带孩子去玩的, 距离我们住的地方很近, 大马戏和长隆野生动物园都在附近, 地铁站是汉溪长隆, 下了地铁有免费的巴士, 她们俩玩了一天, 刺激的项目没玩, 其他的也都体验了一下, 摩托过山车挺好玩, 完了, 来遍, 特技表演挺好的"
95,139****4021,2020-01-29,"欢乐世界总的来讲还是不错的, 项目比较多, 选择面广, 当时去之前以为会像迪斯尼那样人多, 所以就想买个快速手环可以多玩几个项目, 可是去了之后没多少人, 根本用不到手环, 有点浪费了, 大型的项目早上都不用排队, 刺激的垂直过山车很刺激, 十环过山车也好玩的, 推荐去体验一下"
96,gc****j,2020-01-15,"带着娃一家三口来长隆, 玩得很开心, 欢乐园景区不大, 但设计合理, 虽然是寒假期间, 但平日景区内人也不是很多, 无需快速卡排队也就几分钟, 工作人员很多, 而且都很主动热情, 园内吃的品种不对, 但口味和价格都还是很不错的"
97,gc****j,2020-01-15,"带着娃一家三口来长隆, 玩得很开心, 欢乐园景区不大, 但设计合理, 虽然是寒假期间, 但平日景区内人也不是很多, 无需快速卡排队也就几分钟, 工作人员很多, 而且都很主动热情, 园内吃的品种不对, 但口味和价格都还是很不错的"
98,gaoxiansheng07,2019-12-29,"两天方便游玩了长隆欢乐世界, 长隆野生动物园, 届逢周末, 长隆欢乐世界的人不多, 大部分项目排队不超过, 发展, 长隆野生动物园, 幼儿园小朋友太多, 有点拥堵, 但是长隆熊猫酒店的客人, 可以享受空中缆车的便捷通道哦"
99,张先生,2020-02-08,"我们住在南国奥园小区, 距离长隆不到两公里, 老婆和孩子打车去的, 早上, 点半开始入园, 那天是农历, 还没有放假, 恰好人不多, 喜欢的项目玩了好多遍, 刺激的项目她们俩也不敢玩, 总体还是很好的, 表演也不错啊"
100,雪梨ee,2020-02-19,"不错的很快, 确实是不错的, 挺好, 物有所值, 建议大家都可以购买, 虽然说现在去的人也不多, 但是能不排队就不排队吧, 进去的话可以去电子机器购买"
101,拉默齐亚,2020-01-20,"我去的那天不是周末, 人算不多, 但有些热门项目比如垂直过山车还是要排, 分钟的队伍, 建议游玩时间为, 天, 园里吃的东西口味一般, 价格都懂, 玩起来还是很刺激的, 大部分项目都有拍照, 自取, 元一张"
102,迷你樱花,2020-02-13,"景色, 带孩子去玩, 认识了许多动物, 超好, 趣味, 性价比"
103,_WeCh****318638,2019-11-18,"这次是情侣一起去的, 建议大家早点去, 我才玩了半天没玩完全部, 垂直过山车特别刺激"
104,天使的漏洞,2019-10-30,"特意选在平时去的, 由于带小朋友去的, 惊险刺激的过山车都没玩, 不过看着都挺恐怖, 不敢, 陪儿子做了飞马过山车, 也非常刺激, 亲子游的好地方, 一下小朋友也有很多娱乐项目可以玩, 赞"
105,时光五号,2020-01-15,"人太好多, 挺热闹, 挺刺激"
106,M56****457,2020-04-07,"万圣节期间去的, 人多, 但是好玩, 很热闹, 基本鬼屋都玩完了"
107,_CFT01****8807061,2019-11-06,"这是我玩的最开心的一次行程, 正好赶上万圣节活动, 一票两园, 而且游乐项目白天晚上各有不同, 真的非常开心"
108,M46****155,2020-02-01,"六一儿童节去的, 买的成人票免费带儿童一位, 天气还可以, 里面的游玩项目很多, 游人没有大节日那么多, 排队人不多可以玩很多项目, 还可以看完各大全剧场, 来广州玩记得来长隆, 确实不错体验"
109,M46****155,2020-02-01,"六一儿童节去的, 买的成人票免费带儿童一位, 天气还可以, 里面的游玩项目很多, 游人没有大节日那么多, 排队人不多可以玩很多项目, 还可以看完各大全剧场, 来广州玩记得来长隆, 确实不错体验"
110,_WeCh****84248,2020-01-08,"很棒的一次体验, 买的是情侣全天票, 所有大大小小的鬼屋过山车通通玩了过遍, 正好是万圣节, 刺激好玩"
111,_WeCh****390309,2019-10-30,"娱乐设施满意很好, 服务人员态度好, 节假日需要排队尤其是下午和晚上要排队很久"
112,程嚒嚒哒,2019-11-07,"这里这就是太好玩了, 小朋友年龄小也有很多玩的, 各种小剧场的表演也很精彩, 孩子们看了高兴的不得了, 回来还想再去第二次, 真是太棒了"
113,_WeCh****258082,2020-03-02,"不错, 每次去广州都都订这家酒店, 环境高大上, 服务员态度也是很好的, 很难得的服务品质, 希望做的越来越好, 长隆也很好玩, 哈哈"
114,青年style,2020-03-23,"很好玩, 刺激, 以后有机会还是会来的, 不要节假日去的话人少玩的项目多"
115,七月份的前奏,2019-12-19,"淡季去的, 体验不错, 都是学生团队, 不用排长队, 基本上都要玩遍了, 下次再去马戏团, 动物园"
116,_WeCh****19487,2019-11-26,"全是过山车, 比较适合爱冒险的人, 哈哈, 我做了一个就怕死了"
117,135****9553,2020-03-29,"挺好呀, 孩子喜欢, 好好玩"
118,清迈华宇,2020-04-14,"整整玩了一天, 特刺激"
119,_YX1****729,2020-02-23,"很多惊险刺激好玩的游戏项目, 惊心动魄的感觉, 需要胆识和勇气去挑战, 克服恐惧的心理"
120,洪都拉斯小胖,2019-11-20,"很好玩的, 在线上购票又便宜又方便, 省去了排队的麻烦, 去的时候是夏天, 很热很热, 但是人也挺多的, 玩了几个都是热门的项目, 挺好"
121,雪梨ee,2020-02-19,"挺好的, 物超所值, 我和男朋友都非常满意, 而且可以买双人票, 还有确实是非常不错了, 也可以买学生票的"
122,我和爸爸都爱美男子,2020-01-04,"很好玩, 排队时间不长, 有很多刺激的也有很多儿童可以玩的地方, 孩子竟然最喜欢淘气堡, 在里面玩了两个小时, 没玩够, 问我啥时候还来广州, 我说你就是想来淘气堡呀, 他说对呀, 我真的要晕掉, 咱们三个人机票快八千了, 就为了来玩淘气堡, 小孩子没概念, 只要好玩就可以了"
123,M60****021,2019-11-26,"还可以, 很方便, 就是平时很多人, 要排队排队, 建议不要周末去办理, 因为超级多人, 年卡可以随便玩, 有特殊日期不能进, 要注意一下, 反正如果常去的话, 去, 次基本回本, 剩下的血赚, 组团搞起"
124,你的陶同学,2019-11-10,"非常好, 去的那天人不多, 学生占了一半, 每个项目排队在十分钟左右, 玩了过山车, 海盗船, 漂流, 还有一个垂直下来的, 特别刺激, 就是里面的互动工作人员有点少, 表演的工作人员非常卖力认真, 就是闭园有点早, 六点就闭园了, 其他的都不错"
125,尹小Fei,2019-11-10,"几个过山车做的很爽, 水上项目没啥意思, 快速通行证有点死板, 有些项目不玩也不能把机会转让给想玩两遍的项目, 园区设计的很好, 边走边拍照边玩, 一天下来还是很惬意的"
126,203****330,2019-11-16,"一点都不拥挤, 所有大型项目一次都玩到了, 穿插观看了几场表演演出, 刺激与休闲并行, 印象最深刻的是位于景区南门的惊爆危机岛, 打不死的科学博士超狠火辣反派对刚, 有一种现场观看好莱坞大片的现场拍摄的感觉"
127,158****9967,2019-11-04,"值得一去, 正好赶上万圣节, 有好看的, 好玩的, 好吃的, 不论大人孩子都玩的很开心"
128,max****yue,2019-11-06,"经常在网上看到长隆的介绍, 终于来了, 真的很好玩, 公园很大, 游乐项目也很多, 玩了一整天还是意犹未尽, 周末人不少, 排队时间略长"
