,昵称,时间,评论
13,打电话的猫咪,2020-03-01,"一家四口, 携程买票, 刚开始还是觉得票价小贵, 换票时遇到小麻烦, 工作人员耐心解决, 园区服务贴心, 人性化, 婴儿车, 寄存都很方便, 免费巴士, 缆车可以循环乘坐, 多次游览, 园区景色优美, 各种各样的鲜花是我最喜欢的, 动物表演都很精彩, 近距离观看, 赶脚超级棒, 餐厅也是不错的哦, 吃饱吃好没问题, 一整天游玩还是不错的, 非常充实的一天, 可以美美的做个好梦, 我在长隆的美好一天还是值得追忆的"
14,LHCY,2020-02-06,"长隆野生动物世界隶属全国首批国家级, 旅游景区, 长隆旅游度假区, 地处广州番禺, 被誉为, 中国最具国际水准的野生动物园, 是全世界动物种群最多, 最大的野生动物主题公园, 公园以大规模野生动物种群放养和自驾车观赏为特色, 集动, 植物的保护, 研究, 旅游观赏, 科普教育为一体, 拥有华南地区亚热带雨林大面积原始生态, 拥有, 只澳洲国宝考拉, 只中国国宝大熊猫, 马来西亚国宝黄猩猩, 泰国国宝亚洲象, 洪都拉斯国宝食蚁兽等世界各国国宝在内的, 余种, 余只珍奇动物, 拥有全国首创的自驾车观赏动物模式, 长隆野生动物世界园区占地, 余亩, 分为自驾车游览区和步行游览区两大部分, 自驾车游览区位于园区西半部, 以野生动物的大规模放养为主要特色, 步行游览区位于园区东半部, 以世界各地的珍稀野生动物为主要特色, 各大区域均位于步行游览区中"
15,晓寒居,2020-03-25,"非常适合带孩子游玩, 动物种类繁多, 科普的好去处, 还有儿童游乐场, 尤其, 电影剧场, 逼真感很棒, 孩子特别喜欢, 散养区的小火车, 空中索道, 可以从不同角度欣赏观看这座大型儿童主题乐园"
16,热爱生活0618,2020-02-01,"广州长隆野生动物园是动物世界的百科全书, 是野生动物, 珍稀动物的, 家, 也是国内目前为止最大的动物园还有些这里的地铁非常的方便交通还是很优越的, 而且里面真的很漂亮, 还是大开眼界"
17,Alice,2020-02-02,"长隆野生动物世界, 一次非常完美的亲子游, 给孩子留下了美好的回忆, 这里有众多种类的动物, 你可以和这些野生动物近距离的接触, 非常的棒"
18,玩遍全中国啊,2020-04-12,"野生动物种类很多, 而且还有很多稀有的动物, 还是很值得去游玩的, 看了大熊猫, 长颈鹿, 犀牛, 老虎, 猴子, 斑马, 河马, 狮子, 太多了"
19,也是无声,2020-03-31,"要说好不好呢, 简单一句话就是, 如果长住广州的话, 我愿意给全家都办年卡, 有时间就去转转, 没什么瑕疵, 是国内难得的去了还想去的动物园"
20,腥红月影,2020-01-24,"长隆野生动物世界, 交通攻略, 坐地铁到汉溪长隆站下, 再搭乘景区免费观光车可到达, 建议到北门下车, 亮点特色, 长隆有大量的珍稀动物和多国国宝, 园内分为乘车区和步行区, 使游客能产生, 保护野生动物, 普及环境教育, 的意识, 必看动物有白虎, 大熊猫, 考拉, 马来貘, 金毛羚牛, 环尾狐猴, 山魈, 大鼻猴, 这些都是在一般动物园里难得一见的动物, 日游推荐路线, 动物园北门, 天鹅湖广场, 乘车游览区, 侏罗纪森林, 雨林仙踪, 金蛇秘境, 长颈鹿投喂台, 考拉馆, 长隆大熊猫中心, 大象园, 马园, 儿童天地, 非洲森林, 非洲部落, 花果山, 百虎山, 动物幼儿园, 北门出口"
21,帅小伙,2020-01-08,"可以说是国内最好的野生动物园了, 动物们都很精神, 大人和小朋友都看得过瘾, 适当的穿插了一些游乐设施和表演, 让一天的行程不乏味, 建议游览一天, 下午坐小火车就不用排很长的队了, 当然价格包括餐费也不便宜, 跟迪士尼一个价位"
22,魔女三号babykikilee,2019-11-23,"长隆野生动物世界广州大型的动物园, 交通的话只需坐地铁三号线去到汉溪长隆站, 出站后坐长隆的免费接驳巴士可以直接到达香江野生动物时间的南门, 需要注意的系唔可以自带食品入动物园, 水就可以带, 因为佢怕你用自己的食物乱喂动物, 门口会有安检人员检查包包, 唔可以带入去的东西可以免费寄存系门口, 买了套票可以去, 香江野生动物世界, 长隆国际大马戏, 早上游玩动物园, 晚上看大马戏, 门口都有, 贴心的服务的, 例如可以租借, 推车同轮椅, 都系, 蚊的租金, 可以租离比小朋友坐, 就唔需要抱住咁辛苦啦, 从南门入去首先就系非洲部落, 门口都地图拿同表演节目的时间表, 可以根据你自己想睇咩表演同咩动物自我安排行的路线, 入面的都系开放式的动物园, 建造出接近深林咁的环境比动物栖息, 所以有, 动物只可以远远的眺望, 比如火烈鸟就需要隔岛相望, 睇蜘蛛猴就需要系一棵棵树上细细的寻找它们的身影, 最搞笑的仲系可以捕抓倒犀牛大便的情境, 仲有可爱的考拉, 国宝大熊猫, 老虎, 马, 长颈鹿等等的动物, 而且仲可以同佢哋近距离接触, 马, 长颈鹿, 马骝都可以买饲料喂佢哋吃, 另外动物园仲加插咗一个新的侏罗纪森林园区, 入面都系仿照恐龙制造模型, 然后播放音效同烟幕, 制造出逼真的画面, 另外动物园仲提供动物表演节目, 分别有, 个, 非洲部落, 南美王国, 大象表演, 白虎表演, 由于时间的关系睇唔倒白虎表演, 其他的, 个表演都睇晒, 最好睇的就系非洲部落的表演, 好搞笑, 南美王国主要就系马骝的表演, 以西游记为主题, 大象表演就一堆大象表演佢哋的拿手好戏, 总体觉得都几值得游玩的地方"
23,玥亮,2020-02-23,"这里很适合带着孩子来玩儿, 性价比很高, 动物们都很自在的生活着, 景色也不错, 园内有很多餐厅和饮品店, 也有缆车, 还有自驾区, 也可以步行"
24,M31****4562,2020-02-05,"如果你去过长隆野生动物世界的熊猫乐园站, 就一定会被那里的大熊猫所吸引, 俏皮憨萌非常的可能可爱, 这一站也是我们用时最多的地方"
25,君颜异梦,2020-04-19,"长隆欢乐世界对于我这种喜欢刺激的人来说是必须打卡的地方, 过山车, 跳楼机这些都是必玩项目, 非常有意思, 就是人非常多尤其是节假日的时候, 都是要排队, 不过欢乐世界就是要人多才好玩, 才会放飞自我, 就是里面的物价就有点小贵"
26,皮梅,2020-04-01,
27,M43****368,2020-03-10,"长隆野生动物世界是长隆系列里最好玩性价比最高的, 其次我觉得是珠海的长隆海洋王国, 这俩必去, 然后是水上乐园, 最后是欢乐世界了, 坐野生动物园的那种小车车, 忘记它叫啥了, 可以近距离接触飞翔的鸟儿和各种动物"
28,_WeCh****49238,2020-02-01,"天, 长隆野生动物世界, 园区有南北两个门都可以进出, 分为东边步行区, 西边小火车浏览区, 中间动物观赏区三个部分, 早, 点我和娃南门进园拿了导览图, 看完火烈鸟后先从东边走起, 正好赶上, 的茶壶小火车第一趟, 然后去对面排队看, 影院, 点第一场, 最后溜达到北门排队等园区特色小火车, 重点项目, 小火车可以带你从北到南穿行五大洲, 大原始区域, 近距离观看老虎狮子袋鼠大象, 等猛兽动物, 最后再回到北门, 差不多半小时左右, 途中不能停车拍照投喂动物, 小火车下来后可以在天鹅湖美食广场吃些快餐, 接下来就是全程步行浏览中间部分, 这里也是动物最为集中体力消耗最大的地方, 青龙山, 熊猫馆, 考拉馆, 蟒蛇, 喂长颈鹿等都在这里, 参观完熊猫和考拉就离南门不远了, 最后在南门的熊猫乐园站乘坐最后一班, 晚, 点, 的空中缆车, 从高空俯瞰整个野生动物园, 一圈下来半小时, 途经天鹅湖站, 非洲草原站, 最后回到熊猫乐园站, 一天走下来, 园区里的, 大亮点都全方位无死角看到体验到了, 我和娃除了中午吃饭稍作休息, 其他时间马不停蹄一直在走, 五点四十游园结束, 走了, 万多步感觉还是很累的, 如果家有小朋友或者步伐缓慢的就不建议走东边路线或者快速通过, 除了, 还可以, 其他的都一般, 可以节省体力重点参观中间部分"
29,_WeCh****347119,2020-04-20,"很愉快的经历, 之前在酒店住了十天, 这次带着老妈和儿子一起, 还有肚子里的小儿子, 景点很多, 可以玩一天, 我们还租了宝宝椅, 方便多了"
30,株洲彬哥,2020-02-10,"不愧是亚洲第一品种最齐全的野生动物世界, 第一步从国际大马戏广场坐的出租车到北门坐着小火车时而和动物近距离接触, 非常刺激, 第二部乘坐空中看车眺望下面每个园的珍惜动物, 一家人都觉得没有白来"
31,300****319,2020-02-04,"广州长隆野生动物园国家级, 旅游景区, 被誉为中国最具国际水准的野生动物园, 也是动物种类最多的野生动物主题公园, 个人建议最好自己驾车游览非要方便"
32,M03****95,2020-04-22,"第二次来了, 孩子很喜欢这里, 动物很多, 园区整洁, 游玩体验很好"
33,_WeCh****426624,2020-02-26,"长隆野生动物园非常适合孩子们玩, 规模很大, 比哈尔滨的还要高级一些, 配套设施非常齐全, 酒店和餐厅服务水平很高, 每天游客如织, 世界各地会聚于此"
34,咖啡渣,2019-11-07,"广州长隆野生动物园里有很多动物, 景区特别大, 动物是关在笼子里的, 基本是尽量模拟出动物生活的环境, 然后动物在那个区域里相对自由地活动, 当然猛兽还是用透明玻璃隔离开了, 一些温驯的动物就是开放的环境, 长隆野生动物园里有四场演出, 值得看的是国际大马戏"
35,专职左边锋,2020-02-17,"记忆最深的是森林剧场, 小狒狒, 小猴子, 小鸟自行表演, 没有人指挥, 其中一个小狒狒还送了一个礼物给我崽, 很开心, 喂长颈鹿就有点太贵了"
36,风筝爱旅行,2020-02-10,"据说这里曾经拍过爸爸去哪儿, 非常多动物呀, 真的是看得眼花缭乱, 小朋友非常喜欢小动物, 这是亲近大自然非常棒的机会, 以后还要来"
37,费拉多萨春申君,2020-02-05,"已经来过两次了, 现在来广州就两事儿, 一是吃, 二是逛长隆, 其实都不用多说了, 你想到的长隆有, 你想不到的长隆还有, 带娃必玩, 就是太热, 不过服务一流, 善待动物, 热爱生命"
38,_WeCh****812444,2020-03-06,"是国内知名的动物园, 可以坐缆车游览, 也可以坐小火车, 动物种类丰富, 最著名的就是老虎, 特别是白虎, 有喂食和跳水表演, 还可以投喂长颈鹿和大象, 孩子玩的很开心"
39,CASH19870309,2020-01-31,"有条件就买年卡吧, 真的很适合小朋友去玩, 只要周末有时间就会去, 比其他的公园好太多了, 全程可以推婴儿车, 设计得特别好, 还有小朋友玩的过山车"
40,_WeCh****408795,2020-01-25,"两日联票, 第一天, 考拉保育员, 点大象传奇, 点神奇森林, 点丛林奇遇大巡游, 点的非洲发现, 晚上, 点大马戏, 第二天, 萌兽小小保育员, 喂天鹅, 看猴子, 点的, 影院, 南美探秘, 缆车去北门, 小火车, 缆车巡场一周, 晚上的夜光大巡游, 错过了大熊猫和喂长颈鹿, 错过了所有的儿童游乐设施"
41,M38****9642,2020-01-18,"感觉挺好玩的, 主要小孩子喜欢, 很大, 可以坐缆车坐小火车, 买了景区门票都是免费坐的, 还有里面很多小孩子玩的娱乐场也是免费, 不存在每个景点都要收费的, 唯一不足的大家去的时候要先把肚子填饱或者买点面包和水, 不然里面的快餐特别贵, 块钱一份, 分量多点还能接受, 毕竟是景区, 但是分量也很少, 一份面也要, 块钱, 总体感觉还是挺满意的, 还有停车费, 块钱, 也还能接受"
42,D39****374,2020-01-15,"一定住长隆旗下酒店, 走快捷通道时那种感觉太爽了, 景区服务人员态度很好, 卫生间很多但一点味道没有, 我是, 就进园的, 先做小火车, 做完回来正好赶上空中缆车开放, 一点不耽误时间, 下午三点半出来, 全都逛过来了"
43,M16****159,2020-01-14,"带孩子到广州, 长隆野生动物世界是一个必须去的地方, 可以近距离接触动物, 坐缆车和小火车, 还可以花, 元钱买一枝树叶喂长颈鹿, 要小心长颈鹿喷你的口水哟, 还可以看, 电影, 小孩子和大人都喜欢, 喜欢动物的小朋友可以选择, 天, 晚, 动物园的票可以去无数次, 一般喜欢的住一晚两天完全够, 晚上看大马戏非常不错, 长隆酒店没有熊猫酒店的设施新, 熊猫酒店在节假日提前预定, 但是长隆酒店的设施也很人性化, 给儿童准备好了洗漱用品等等, 从长隆坐地铁也很方便, 我们住在越秀区的美豪, 号线珠江新城转, 号线的一站路, 出口步行, 分钟就到了"
44,_WeCh****204990,2020-01-14,"这个季节的北京天寒地冻, 但是广州空气湿润, 气候宜人, 特别适合玩耍, 我们就在广州呆, 天, 行程比较紧张, 最后一天来的长隆动物园, 真的觉得挺开心的, 可以比较近距离观看小动物, 我们进园先坐了小火车, 本来还在为没有自驾车而懊恼, 没想到坐小火车也可以近距离看各种动物, 还会有鹿或鸵鸟朝我们的小火车走过来, 就觉得很好玩, 里面有个小鸟园, 我忘了叫什么了, 里面的鸟就在我们头顶飞, 还可以喂长颈鹿和鹈鹕, 总体感觉很值"
45,Helen-Hu10086,2019-12-29,"买了两日多次门票, 去了两天, 每天都早出晚归, 大人小孩都玩得很欢乐, 小火车, 缆车原来是, 才开始, 本来我们把车停南门准备缆车到北门坐小火车, 最后只能小跑去北门坐小火车, 不到十点到小火车那排队, 排了二十分钟左右, 还可以接受, 小火车右边景致比左边好多了, 全程大半个小时, 有条件还是自驾进去, 可以更加近距离, 景观更好接触小动物, 自驾也是北门进去, 缆车, 不畏高的可以选择地面是玻璃的缆车, 景致非常好, 我坐了两次环线, 第一次跟住酒店的朋友一起, 快捷通道, 第二次周六那天, 中午吃完饭两点左右, 人很少, 等我们做完一圈回来好多人, 剩下的时间慢慢逛园内, 还刷了两次, 电影, 半点一场, 胆小的小孩可能不太合适, 有东西, 摸, 脚, 屁股, 还喷水, 有一次见到有个小孩吓哭了, 五岁左右的小孩, 最后家长抱出去了, 我们家一个九岁多一个两岁多, 超级喜欢, 长隆做得很不足的地方是, 进门地图没有标示表演时间, 我们第一次去没有经验, 去到一个地方遇到就看一下表演, 估计没有刷完表演"
46,酿初酒,2019-12-07,"当时没去前看了下攻略, 看到很多人说该从北门玩起, 但到达后, 发现北门是自驾游的旅客进入, 而非自驾游的旅客都是在南门进入的, 交通, 地铁三号线, 汉溪长隆, 或, 口出站, 游玩路线, 狨猴, 熊森林这个范围都看看, 接着走到熊猫乐园站, 乘坐缆车前往天鹅湖站, 导览图有一个空中熊猫, 需要坐缆车观看的, 可以选择环园游, 我选择的路线是到达天鹅湖站, 经过南美探秘的表演台, 还能从空中看到天鹅湖, 到达终点换乘小火车, 小火车可以穿行五大洲, 大原始区域, 坐在小火车行驶的右边观看为佳, 小火车终点是绕回起始点, 小火车下来有一间天鹅美食, 是室外的餐厅, 如果有兴趣看动物幼儿园的, 可以顺着天鹅美食的道路走下去, 就可以看到, 幼儿园的出口是侏罗纪森林, 侏罗纪森林是禁止逆行的, 内里除了恐龙, 还有金蛇和其他动物观看, 出口在白虎, 侏罗纪森林这一路走来都有几间餐厅, 侏罗纪森林出来, 是白虎, 每逢整点, 半点都会有一场白虎表演, 白虎跳水, 爬树, 左侧上去可以看到其他品种的老虎及白虎宝宝, 观看完白虎就到达长颈鹿, 可以到指定地方买长颈鹿食物喂食, 接下来是考拉, 看考拉双胞胎, 亚洲象和熊猫乐园是对着的, 先看亚洲象再去熊猫乐园看三胞胎, 如果要看, 影院或者想近距离看看天鹅, 长臂猿等动物, 也可以继续向北门的方向走, 我们看完, 已经到达关园时间了, 总体算是把整个野生动物世界都逛遍了, 国庆节人多, 缆车, 小火车都需要排队, 在紧凑的时间上, 还是有一些地方没逛到的, 节假日去的话, 建议大家早上十点到达游玩"
47,M57****178,2019-12-02,"不虚此行, 门票非常值, 动物都挺近距离观看的, 经常有讲解可以听, 一开始对科普大讲堂没什么兴趣, 可是去看了之后发现真的超有趣, 最喜欢南美探秘, 一开始对小火车和缆车很感兴趣, 但整体下来发现还不如步行观看, 个人建议先步行后乘小火车或者缆车"
48,zhangfeifei,2019-11-02,"广州长隆野生动物园分为自驾车游览区和步行游览区两大部分, 长隆野生动物世界大多数动物都形成庞大的种群, 斑马, 熊猫, 角马, 长颈鹿, 梅花鹿, 亚洲黑熊, 猕猴, 亚洲象, 非洲狮, 老虎等动物都形成了数十只乃至数百只的大种群"
49,弘然一笑,2020-04-14,"长隆很好玩, 一定让孩子们去玩, 太好了"
50,午夜心情-,2020-04-12,"长隆野生动物园, 建设的非常好, 规模也很大, 野生动物园去过不少, 确实长隆野生动物园最全最细致, 提前做好攻略, 人超级多, 安排好时间看表演, 一定要提前排队"
51,富乐顿市张辽,2019-12-05,"广州长隆野生动物世界上目前去过的最好的动物园, 每个动物都有足够的活动空间, 自由度相对较高, 在非洲野牛, 野马, 鸵鸟, 长颈鹿等动物混养区, 地方非常大, 开车进去与动物们近距离接触, 很有感觉"
52,_cs08****3301,2020-01-30,"一定要提前做下攻略, 一天时间, 没有坐上小火车还是很遗憾的, 在熊猫馆呆了很久, 觉得这里的熊猫要比成都熊猫乐园的活跃, 其中有一只很顽皮爬到了, 米的树上, 先朋友观察了爬上爬下全过程, 太逗啦"
53,_M13****6487,2020-01-19,"一天不够玩, 走的脚疼, 第一次见考拉, 还成群的, 一定要住长隆旗下酒店, 可以走快速通道, 不用排队, 喂长颈鹿可以半价, 园区里餐饮还可以打折, 还是值的, 但是酒店一定要提早订, 后面贵的离谱"
54,_WeCh****331211,2019-12-29,"广西省北海市涠洲岛, 鳄鱼山值得一看就的火山岩形成的岛山风景特别的美, 山下的特色潜水更是值得体验, 五彩滩最美最干净的海滩, 上午看潮汐, 下午退潮后赶海, 大人小孩都特别喜欢, 稀值得一去"
55,幻心凌,2020-04-03,"很好, 和闺蜜一起玩的很开心, 见到了很多可爱的小动物们, 唯一的不足可能就是不能近距离接触吧, 感觉只是单纯看看挺没意思的, 多点互动就好了"
56,zshougen,2020-02-06,"很值得带小朋友去看看, 坐缆车, 小火车看动物不错的体验"
57,288****703,2019-11-01,"经常看到广告语, 幸福快乐在长隆, 确实哦, 动物世界有可爱的大熊猫, 有老虎狮子和长颈鹿, 园区分为步行区和自驾区, 自驾区可以坐着小火车看哦, 小火车上有导游讲解, 近距离看动物很过瘾"
58,M36****5116,2020-02-02,"带孩子来玩的, 看到了很多野生动物, 孩子玩得很开心, 推荐小火车一定要坐, 尽管排了很长时间的队, 但还是很值得的, 熊猫餐厅的饭最好吃"
59,M36****5116,2020-02-02,"很值得一去的野生动物园, 景观设施一级棒, 带宝宝去一定要带或租个婴儿车, 会方便很多, 玩累了还可以让宝宝睡一会儿, 孩子玩得很开心"
60,臭鱼,2020-02-01,"很方便, 在园区门口的自助机上可以直接打印门票, 很好找的, 机器也很多, 也有工作人员会帮助你, 再说说动物园吧, 小朋友玩得很开心"
61,臭鱼,2020-02-01,"很方便, 在园区门口的自助机上可以直接打印门票, 很好找的, 机器也很多, 也有工作人员会帮助你, 再说说动物园吧, 小朋友玩得很开心"
62,138****7105,2019-12-27,"长隆动物园我应该有十年没踏足了这次去多了很多新项目缆车和自驾区也是很好的体验, 门票还可以携带一名, 米的小孩真的很人性化, 多出来的门票我们抵扣自架区车子的费用了"
63,303805540,2020-04-11,"可以开车进去, 非常方便, 这个野生动物园确实很大, 暑假期间大部分需要排队, 建议多人去, 分工排队, 玩的项目会多好几个, 哈哈"
64,哈哈哈有意思呀,2020-03-30,"长隆野生动物园是中国最大的野生动物园之一, 其中白老虎是中国一绝, 特别是刚出生的小老虎小狮子, 活泼顽皮, 深受孩子们的喜爱"
65,M24****4355,2019-11-04,"值得去, 孩子非常喜欢, 从北门进的, 坐了, 次缆车, 从北门可以坐单线缆车到天鹅湖下再做小火车, 体验近距离观看动物, 坐完小火车就可以步行参观啦, 个人感觉侏罗纪世界很不错, 只是孩子小有些害怕, 还可以喂长颈鹿, 只是太坑啦一根树枝要, 元, 在园区吃饭也很贵一份儿童套餐, 元, 成人套餐就更贵啦"
66,320****144,2019-11-30,"长隆野生动物世界的面积很大, 内容也很丰富, 我们花了一整天的时间才算基本逛完, 整体感觉很好, 干净, 有序, 有不少动物都是可以近距离观看的, 比如长颈鹿, 吃饭和休息的地方很多, 卫生间也足够, 游客体验感很好"
67,_YX1****507,2020-04-07,"小孩非常喜欢, 以后还耍去"
68,139****0660,2020-01-24,"长隆野生动物世界, 非常大, 有空中缆车和小火车两种园内交通工具, 可以先做空中缆车, 看看园区内的大概状况, 返程的时候, 再做小火车, 去猛兽区溜达一圈"
69,Wayson-Wong,2020-01-08,"长隆野生动物世界的前身是番禺香江野生动物园, 位于广州市番禺区内, 虽然没有地铁站直接到, 但游客依然很多, 这里不但动物种类繁多, 还有各种主题的游乐园, 是男女老少, 一家大小都适宜游玩的地方"
70,SKY-天空之城,2020-04-16,"非常好玩, 小孩开心"
71,歪蚊子,2020-01-31,"赶在最近疫情关园前, 总算带宝来到了长隆, 总体还是很棒的, 看到了很多动物, 增添了许多知识, 特别是考拉, 熊猫, 白虎和食蚁兽, 让人印象深刻"
72,歪蚊子,2020-01-31,"赶在最近疫情关园前, 总算带宝来到了长隆, 总体还是很棒的, 看到了很多动物, 增添了许多知识, 特别是考拉, 熊猫, 白虎和食蚁兽, 让人印象深刻"
73,你找不到我,2019-12-21,"长隆野生动物囩可以值得一去, 在广州来长隆玩最少可以玩两天, 一个游乐场, 一个动物囩, 如果夏天来的话水上乐园都可以去, 这样三天一定少不了"
74,鲁之癫,2019-12-01,"野生动物园值得一去, 尤其是待孩子去看看, 里面的动物种类比较多, 最好自驾进去, 这样方便, 也可以做景区的车进去, 但我看他们车不怎么停"
75,都很好喝,2020-04-09,"非常好玩的一个地方, 带孩子们来非常合适, 孩子们非常喜欢, 很多好玩的项目都是很好的, 玩的很开心"
76,SFC申花魂,2019-11-26,"长隆野生动物园在广州的番禺区这里, 离市中心还是挺远的花两天时间来这里的长隆游乐园和动物园玩一玩也是很不错的选择很适合带小朋友度假"
77,可爱的可达鸭,2019-11-24,"长隆野生动物园这里也是广州现在很出名的亲子景点了啊, 带着小朋友来这里看看小动物还是很不错的选择, 虽然门票不便宜但是里面还是挺大的"
78,BOB1983,2020-03-28,"分, 如果一定要挑点刺, 设计上能像新加坡动物园那样可以跟动物的距离再近一点就完美了"
79,M25****5023,2020-04-03,"方便, 总体还是不错的, 值得带小孩来看看, 还是挺大, 购票方便, 就是尽量避开节假日, 因为需要排很长的队, 动物还是挺多的, 园区内标识清楚, 有吃饭德地方, 公共卫生间挺多的"
80,fl****and,2020-02-11,"太棒了, 里面有很多从没见过的珍奇动物, 印象最深的是漂亮的大鹦鹉, 还有第一次见到白虎, 小朋友还亲自喂了长颈鹿, 再次见到了考拉"
81,mouchun,2020-02-10,"非常方便, 值得来玩, 尤其是小火车讲解非常不错, 不足之处就是景区里吃饭的地方不是很多, 吃的也很简单, 选择不多希望可以丰富一点"
82,M29****3940,2020-01-03,"我们入住熊猫酒店, 值得, 酒店服务非常满意, 还有免费水果送, 去野生动物园还有免费车可以去, 在动物园是酒店住客有快速通道, 方便"
83,M25****7698,2019-12-01,"非常亲子的一个地方, 建议玩两天, 一天自驾, 一天在公园内坐游览车, 步行, 在这里可以见到各种动物并和小动物们亲密接触, 投喂食物"
84,威海文哥,2020-01-14,"地方够大, 一天玩不完, 动物种类多, 人也多, 从进门开始排队, 索道小火车等玩的的需要买绿色通道手环, 不然人太多了, 排队伤不起"
85,139****7080,2020-03-31,"很喜欢, 不管自己去玩还是带小朋友去都很好, 建议如果带小朋友去要体验一次园里的小动物课程, 有专门的工作人员介绍讲解, 近距离观察小动物, 对小朋友来说是一次很好的体验"
86,朋老大,2020-03-14,"环境好, 工作人员也比较热情, 动物很多, 每天不同的时间段有不同的动物表演, 这个要掌握好节奏, 否则看不到, 去猛兽区最好开私家车, 可以停下近距离观看, 坐小火车就有点走马观花, 最喜欢的就是高空观览车, 绕园一周, 俯瞰全景, 唯一不足的就是餐饮和记念品有点贵"
87,M33****3807,2020-01-28,"这是父母和儿子的优惠票, 长隆野生动物园确实非常值得去探索的, 动物种类多, 数量多, 特别是模拟野生动物生存环境, 让人每到一处感受都不一样, 还有科普活动和节目, 挺开眼界的, 缆车和小火车免费乘坐, 可以全方位, 多角度体会动物生活, 很赞"
88,M35****090,2020-01-28,"玩的太开心了, 很多可爱的动物, 火烈鸟, 蜘蛛猴, 老虎, 狮子, 熊猫, 河马, 斑马等, 我们一进门是先去坐的半程缆车, 然后坐的小伙车, 最后转完了有坐了一个全程缆车, 玩的很爽, 当时也很累, 院内全靠两条腿, 一天两万多步才能走下来, 我和儿子玩了一天"
