,昵称,时间,评论
16,m29****2279,2020-04-15,"基本环境都不错, 值得推荐, 不过卫生方面还得改进一下吧, 适合情侣一起出游的游乐园, 携程订票方便快捷, 大家赶紧行动吧哈"
17,爱达荷州艾希,2019-11-24,"是广州最著名的水上乐园, 拥有无数的最先进的游乐设施设备, 以及最新的超大的游乐空间, 顶尖的配套设施, 吸引了大量外来游客来次体验游玩"
18,_WeCh****00889,2020-04-17,"开心开心, 晚上特别嗨, 下次还想再来, 园区里还有生啤哦, 价格也不贵, 总之还挺满意"
19,acewoju,2020-04-06,"长隆非常好玩, 特别适合夏天的时候去玩, 很刺激凉爽"
20,风筝爱旅行,2019-11-30,"小朋友说他会游泳了, 还问工作人员他游得好不好, 擦汗, 想要玩水, 就必须要来这里哦, 很多的项目, 可以玩一天, 绝对超值, 超级推荐噢"
21,M31****4562,2019-12-02,"长隆水上乐园位于广洲省, 公园面积好大, 最少要有, 天的时间, 才能基本上玩全, 公园内有酒店, 建议住在里面, 免得车马劳顿很费时间"
22,300****319,2019-12-02,"广州长隆水上乐园, 去之前一定要做好功课, 最好轻装上阵, 虽然有保管箱但也不是很方便, 里面有商店, 手机套, 水上用品都有小贵点"
23,走遍我的世界,2020-03-09,"很棒的哟, 下次还会再去的, 超级棒, 超多靓女看, 最好不要穿鞋进去, 太麻烦, 日后再去玩, 玩个尽兴, 准备夏天了, 爽, 舒服, 给力"
24,富乐顿市张辽,2019-12-03,"住在广州, 小朋友每年夏天都要去, 就是不腻, 小朋友小时候只能在大门附近的儿童区玩, 大人只能陪着, 大一点了可以跟着大人往里走, 大人的项目进口处, 有些设置了小朋友可以玩的小泳池, 很方便, 成年人玩的项目里, 刺激程度可以高到高空坠落"
25,kentyangor,2020-04-24,这里能够把不同年龄层的人都吸引的
26,288****074,2020-04-17,"一般吧, 设施不太多, 价格也不占优势"
27,sansan123,2019-11-12,"长隆的水上乐园我可是年年都去的, 每年都能玩到疯, 而且都晒得黑黑的, 希望明年可以再请多一些大明星来, 可以什么四大天王的, 没办法, 身边的朋友不认识小鲜肉, 哈哈"
28,umi2,2019-11-15,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈还好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
29,小伏特,2020-04-17,"水的世界, 孩子很喜欢, 玩得不亦乐乎, 乐园很大, 遇到暑假忍也很多, 总体感觉不错, 有机会还会去"
30,威尔史的那个密斯,2020-04-25,"价格略高, 因为设施不算多, 这个价位略微高, 人多排队, 还有自助的部分, 整体来说还算可以吧"
31,威尔史的那个密斯,2020-04-25,"整体设施还是不错, 服务人员和安全员也都十分尽职尽责, 唯一不足就是园区面积略小"
32,蓝色世界,2020-03-11,"很好玩很开心很刺激, 就是时间太仓促, 我们只玩了半天, 下次要玩一定得慢慢的一天才不虚此行, 也才不浪费这么贵的门票, 哈哈"
33,185****6020,2020-04-10,"经常来长隆, 每个园区都去过了, 小孩小玩疯了, 非常好, 希望经常出优惠活动"
34,ustcapei,2020-02-11,"项目很多很好, 适合在长隆住一晚, 夏天玩儿水上乐园很赞, 建议戴上隐形"
35,玥亮,2020-02-28,"园区很大, 玩儿一天没有问题, 排队时间比较长"
36,我心亦冉v,2020-04-26,"很好玩, 不虚此行, 以后有需要再来这里买票"
37,_WeCh****46968,2019-05-08,"来的时候知道天气不好, 但没关系, 我过来就是学习考察的, 毕竟是最好的水上乐园, 园区的项目看起来很好玩儿, 天太冷, 所以我干脆没换衣服下水, 上了个厕所, 毒蚊子太厉害了, 好几只咬死我了, 建议来游玩的随身带瓶花露水啥的, 然后拖鞋, 可以在园区里买, 三十一双, 也可以自己买, 景区里的食物和水, 售价算正常吧, 现在是淡季, 还没什么东西吃, 有自助点餐机, 觉得还是挺方便的, 雪碧和可乐, 一杯, 肉串口味还可以"
38,_YX1****729,2020-02-28,"很多刺动神经的水上游戏, 让人心跳加速, 又让人喜欢, 玩一次还不够, 非常超值的"
39,秋梦寒,2020-04-24,带孩子们一起去非常开心的互动
40,M14****749,2020-03-23,"做特价的时候去玩的, 门票价格很实惠, 很多设施都可以玩, 总的来说还是超级的不错的, 买的大喇叭超级的刺激, 感觉人都要飞出去了, 哈哈, 回来都是精疲力尽的了"
41,Janny,2019-12-06,"很好玩, 玩一天都觉得不够, 错开周末, 很多项目排队并不会太久, 推荐, 吃的东西单一, 而且不便宜, 又不可以带东西入园, 总体来说孩纸玩得很开心, 而且很尽兴"
42,_YX1****729,2020-02-18,"很多惊险刺激的水上游戏, 夏季去玩是最好的了, 有一种心惊肉跳的感觉"
43,_WeCh****21367,2019-11-29,"非常适合亲子游, 主题是水世界, 里面食物和水饮料非常贵, 建议自带"
44,快活风1982,2020-04-05,"携程买票很方便, 不错"
45,288****376,2020-01-30,"非常值得带孩子一去, 主题酒店也是棒棒哒"
46,_WeCh****993063,2020-04-20,"好玩, 下次继续游玩"
47,M44****362,2020-04-09,"很不错, 性价比高"
48,M44****362,2020-04-09,"很不错, 性价比高"
49,浠浠啊,2020-03-16,"超级好玩, 暑假去的, 就是里面吃的有点贵"
50,_WeCh****31109,2020-04-12,非常好
51,_WeCh****447487,2020-04-14,感觉还挺好玩的
52,M25****9291,2020-04-11,水上乐园很嗨
53,138****5777,2020-04-06,不错的旅行之一
54,M24****8496,2020-03-24,"整体感觉还是不错的, 景区的风景好, 园区的服务人员态度也挺好, 携程上购买的价格真的很实惠会, 一家人玩的很开心, 下次一定会再来"
55,shatu,2020-04-25,很好很满意
56,秋梦寒,2020-04-24,开心的一家人
57,_WeCh****88749,2020-04-18,"很好, 非常好"
58,_WeCh****88749,2020-04-18,"很好, 非常好"
59,M31****8790,2020-04-05,适合情侣出游
60,_WeCh****04546,2020-04-04,"很好, 非常好"
61,_WeCh****04546,2020-04-04,"很好, 非常大"
62,M31****574,2020-04-01,很不错很不错
63,M14****891,2019-11-21,"自己一个人去的, 音乐节, 有表演, 人造浪, 超多人, 一起泼水, 很有意思, 项目的话人比较多, 需要排队比较长时间, 最高的那个水上项目很刺激, 上去的时候腿软, 不过下来很快, 一下就到了"
64,闲礼,2020-04-26,携程买票快
65,Sword_Hack,2020-04-08,可以很开心
66,乐爸wjsh,2019-12-31,"整体来说很不错, 孩子们玩得很开心, 就是有些项目需要排队排太久, 时间有些浪费, 不过挺开心的"
67,涅槃511,2020-02-21,"不错的地方, 不过只开夏天, 如果四季都开就好了"
68,雪儿6235,2020-01-30,"非常适合小孩子, 这里就是小孩子的天堂乐园"
69,Vivi,2019-11-04,"那天正好碰到下暴雨, 很多設施都停止了, 沒有玩的很盡興, 下次還有時間的話一定會再來一次, 設施很刺激, 小孩很喜歡, 就是人太多了, 排隊有點久"
70,年少不懂的爱,2020-02-01,"跟朋友去的, 好玩极了, 刺激, 非常高兴"
71,M26****1641,2019-12-22,"好玩, 儿子就喜欢这种地步"
72,robert6368,2020-03-20,"好玩, 精彩刺激, 流连忘返"
73,暗夜king,2020-02-25,"很有意思, 非常好玩, 值得大家去体验"
74,M30****6134,2020-02-07,"真的很好玩的地方, 很值得去, 赞"
75,M28****6106,2020-02-03,"马上天气暖和啦, 又可以玩啦"
76,乐爸wjsh,2019-12-31,"整体来说很不错, 孩子们玩得很开心, 就是有些项目需要排队排太久, 时间有些浪费, 不过挺开心的"
77,_WeCh****996122,2019-12-13,"还不错, 小朋友就喜欢玩水, 沙滩上海浪拍打着挺有味的, 另外租了个泳圈, 然后我们去玩大人玩的项目, 他就自己一个人在玩水, 享受海浪, 哈哈"
78,Dorothy,2019-11-03,"超级嗨那天晚上玩的特别开心我们一直玩到了晚上十点多才回去, 超级累, 腰都疼死了, 排队两小时玩了一个游戏设施天就黑了, 想玩就要, 多出钱, 玩了几个鬼屋, 还行不错的体验"
79,董校长,2019-12-31,"广州的长隆比较好玩, 离市区也不算太远, 记得坐地铁能到, 珠海那个比较远, 在横琴要打车才行所以建议大家先去广州的, 再去珠海对比一下"
80,M35****0863,2019-11-21,"好玩, 还可以免费化妆, 不错价格也便宜"
81,Zoe._Zhong,2019-11-09,"个人觉得还是很好, 第一次去的话觉得无与伦比, 壮观极了, 去的次数多了, 就普通了, 但是整体确实很不错, 玩乐的项目挺多的, 所以推荐"
82,M35****8356,2020-03-25,"很好玩, 但是里面收费很高, 而且我们去那天还下雨了, 建议吃饱再过去玩, 里面吃饭很贵"
83,186****2145,2019-12-24,"这天下大雨, 以为人应该很少, 可冒雨到景点后却发现暴满, 且很多是成年人, 老中青都有, 着实被现在大众的游玩热情给震撼一把, 也从侧面说明, 中国现在的生活水平确实提高很多, 景点的确实好玩, 就是人多排队时间长"
84,忧夏之梦,2019-12-18,"还可以, 优惠的时候去, 挺划算的, 就是女生去一定要做好防晒, 防晒衣, 防晒霜都带好, 免得晒伤, 国庆去的, 本以为不会晒太过, 低估了, 所以想去玩还是建议不要在太热的时候去, 查好天气, 节假日早点去, 人少, 可以把刺激项目先玩了, 避免排队等太久"
85,许多钱哈哈哈哈,2019-11-11,非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错
86,乐饮流霞,2020-02-23,"挺好的, 购买使用都非常方便, 携程还是很靠谱的, 另外, 我居然一直忘了来点评"
87,_M13****0815,2020-03-25,"很好, 小朋友玩的很开心, 希望要去的朋友们别在人多时去, 等太久了每个项目"
88,_WeCh****652979,2020-02-09,"很适合游玩, 一直喜欢, 每年都一定会去一次的, 希望优惠活动再多点哦"
89,M27****7422,2019-12-10,"好玩, 有很多免费区域可玩"
90,to****914,2020-01-30,"很方便, 很经典的玩法"
91,骑着宝马逛洛阳,2020-02-04,孩子们玩的很嗨很开心
92,_yt2****272,2020-02-01,"不错的乐园, 玩的很开心, 工作人员也很热情, 明年暑假再去, 赞"
93,_WeCh****83270,2019-12-11,"从深圳出发去长隆玩, 不管是广州的还是珠海的, 都建议你可以跟团走, 因为团票里面包括了长隆的门票, 而且费用比你买门票加车票划算很多很多, 很舒服的地方是这种团是没有导游的, 就是纯玩"
94,M29****1595,2020-03-24,"非常好玩, 玩几天都不够, 哈哈哈"
95,M10****282,2020-03-02,"下车走太远, 水上项目按身高体重, 小孩能玩的项目不多"
96,135****4006,2020-01-12,"买票很方便, 不用现场排队买票了, 提前买好, 到那就能用, 而且价格还便宜, 很不错, 携程网不错, 服务也好, 对比其他地方, 价格也合适"
97,M35****152,2019-12-28,"挺好的一次旅行, 适合全家亲子游, 孩子对海洋生物特别好奇, 回来后不停的问我问题, 问的我都尴尬了, 答不上来呀, 又去查资料解答"
98,159****9999,2019-12-03,"第, 次来长隆了, 从我家孩子, 岁开始, 每年都去一次, 宝贝今年, 岁了, 每年都会带她去的, 每次去长隆, 大人孩子都能玩尽兴, 美美的"
99,玥灵姐姐,2019-11-24,"不错哦, 可惜我上次去的有点迟了, 而且那天风很大, 晚上冻死我了, 但是水上乐园还是值得一去的, 真的很不错哦, 买联票比较划算哦"
100,135****6869,2020-03-26,"一年一次常规去处, 但是人却是一年比一年多"
101,lulu0613,2020-01-08,"小朋友玩得很高兴, 除了贵, 没毛病, 哈哈哈"
102,_WeCh****996122,2019-12-13,"挺好玩的, 就是我们自己起晚了, 去的太晚了, 没玩好多的项目, 还有部分我崽身高不够, 不允许玩, 然后就陪着他玩小朋友玩的项目"
103,_WeCh****20736,2020-02-15,"好玩, 长隆的景点还是可以的"
104,M30****1163,2020-03-22,"非常不错, 主要是方便, 省了好多麻烦"
105,M34****7083,2019-12-20,"暑假去的, 忘记评论了, 挺好的, 都挺好玩的, 被朋友拉着玩了很多不敢玩的项目"
106,_gf406****049833,2019-12-17,"方便快捷的电子票, 园区内的东西三个字真心贵, 是外面的, 至, 倍价格, 租借储物柜, 元一次, 租用橡皮艇要, 元一次, 节假日进园停车难, 要走很远的一段路程"
107,M12****599,2020-03-25,满意
108,小2秋,2019-11-17,"超级好玩, 就是人太多了"
109,m16****234,2019-11-01,"国庆去的, 没有想象的多人, 而且直接扫码进园, 非常方便, 里面的设施很多, 小孩和大人都能玩得尽兴, 不过注意防晒等大瓶的不能带进园区, 如果要用, 记得提前"
110,m16****234,2019-11-01,"国庆去的, 没有想象的多人, 而且直接扫码进园, 非常方便, 里面的设施很多, 小孩和大人都能玩得尽兴, 不过注意防晒等大瓶的不能带进园区, 如果要用, 记得提前"
111,288****622,2020-03-19,"地铁直达, 交通方便, 很好玩"
112,乐饮流霞,2020-02-23,"可以的, 购买使用都很方便"
113,M28****145,2020-03-13,"人多, 不知道有, 通道"
114,M17****280,2020-02-23,"不错, 挺好玩的"
115,M17****280,2020-02-23,"挺好玩的, 不错"
116,M17****280,2020-02-23,"不错, 挺好玩的"
117,_WeCh****814632,2020-02-05,"不错, 挺好玩的"
118,Tiffany璇,2020-02-05,去哪里都习惯到携程订票的
119,Tiffany璇,2020-02-05,去哪里都习惯到携程订票的
120,M23****6195,2019-12-30,"不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多"
121,M23****6195,2019-12-30,"不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多"
122,M23****6195,2019-12-30,"不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多"
123,M23****6195,2019-12-30,"不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多不错不错不错不错孩子好喜欢, 里面的新奇玩意那么多"
124,288****179,2020-02-25,"超好玩, 极力推荐去长隆"
125,yaoyuanaihua,2019-12-17,"宝宝非常喜欢玩, 很多游戏都适合, 岁以上的宝宝, 还要再去玩一次"
126,M17****819,2020-02-25,"很不错, 就是人多了点"
127,_WeCh****814632,2020-02-05,"不错, 好玩"
128,M46****165,2019-11-08,"好玩, 和几个闺蜜去玩过几次, 挺好玩的, 都是从下午玩到人下班"
129,M33****6828,2020-03-01,很好
130,m33****7226,2020-02-13,"很划算, 景点很好玩"
131,liuli****1980,2020-03-13,夏季游玩好去处
132,M59****809,2020-01-16,"这次主要是带孩子去玩水, 孩子玩的很开心, 就是突然一场雨提早结束了行程, 有的项目没来得及玩, 下次要去一定要看好天气预报, 争取一次玩个痛快"
133,138****3511,2020-03-23,很棒
134,186****3685,2020-03-14,非常好很方便
135,203****808,2020-03-13,非常棒的亲子游
136,M29****6126,2020-03-05,有些项目很刺激
137,_WeCh****10745,2020-02-14,又是快乐的一周
138,M58****556,2020-02-05,"可以, 还不错"
139,牧之原市黄庭坚,2020-01-16,"非常满意哦, 比现场便宜不用排队很方便, 假期家人一起去的很开心哦, 一直在用携程服务挺好的, 希望你们可以再细化一下其他的团购服务"
140,牛牛家的小孩,2019-11-05,"刺激好玩, 性价比还算可以, 建议连玩两天才能都玩玩些项目"
141,138****3511,2020-03-23,很棒
142,叫我大人i,2020-03-18,棒棒棒赞赞赞
143,_WeCh****15514,2020-02-29,好好好好好好
144,M29****3715,2020-02-23,很好可以可以
145,M19****067,2020-01-12,"非常适合一家人一起去的地方, 每个人都有自己喜欢的景点"
146,联利听党的话跟党走,2020-03-10,孩子的乐园
147,_WeCh****738139,2020-02-09,不错好玩啊
148,gdlinximing,2020-02-09,好好好好好
149,M31****870,2020-02-05,哈哈哈哈哈
150,_WeCh****792243,2020-02-04,非常的方便
151,漓江边的凤尾竹,2019-11-17,"暑假去的, 太阳太大, 我们选择了下午, 点以后再进园"
152,m31****0240,2019-11-09,
153,M17****891,2020-02-07,不错不错
154,288****462,2019-12-25,"夏天去的, 很好玩, 票价物有所值, 项目很多, 如果下次去就住里面的酒店了, 整体用户体验不错, 携程出票速度非常快, 比外面还便宜赞一个"
155,雨后梨花,2019-11-18,"长隆水上乐园最核心的娱乐项目, 孩子大人都能玩"
156,牧之原市黄庭坚,2020-01-17,"非常满意的, 假期和家人一起很开心, 小孩也玩的很开心, 只是夏天有点晒要注意防晒哦, 小心晒伤, 超级晒, 玩的项目挺多的, 适合亲子玩"
157,300****673,2020-01-14,"很好玩的地方, 小朋友很喜歡, 值得一家大小去遊玩玩一天都不想走, 結果還租了酒店住下來了, 第二天繼續去游泳, 答應小孩下一次會再來"
158,sweetll,2020-01-07,很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好
159,鯟鯟,2019-12-28,"很好玩的地方, 大人小孩玩的多很多, 过去的时候刚好赶上音乐节, 特别是小孩子玩的嗨得很, 只是里面吃的东西有点小贵, 不过也能接受"
160,_ZFB20****0983824,2019-11-02,"游玩体验还是不错的, 值得大家去玩值得大家去玩, 整体感觉很好的, 就是人有点多, 要排队很拥挤, 其他消费有点高, 不过也是可以接受的"
161,April-fyshldy,2020-01-14,"总体来说长隆之行很圆满, 小朋友在水上乐园玩得不亦乐乎, 都不想走, 就是很多活动都有限制, 以后有机会等他长大了还可以再来一次"
162,M31****0367,2020-01-10,"太好玩卡, 有很多项目, 刺激啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊, 里面很大, 晚上还有水上电音节, 大家在里面狂欢, 还有很多表演看"
163,M28****8280,2020-01-02,"好像有动物园和水上公园两种, 真想去看看哦"
164,320****091,2019-12-03,"长隆还是很不错的, 可惜很多项目, 米, 以下的儿童都不能玩, 部分项目也没有开放, 赶上一些节日有相关的主题活动, 这一点还是可以的"
165,刚刚好51,2019-11-21,"非常好玩儿的地方, 孩子非常一晃这里, 以为不好呢, 结果非常好的, 明天下午再和孩子玩儿一趟就准备回去了, 这个地方以后应该常来"
166,M22****3307,2020-01-21,非常棒
167,M22****1123,2019-12-17,"玩的太开心了, 大人小孩都适合来这里玩玩玩"
168,小黑Well,2019-12-14,"门票只用很方便, 门口就有自助取票机, 提前预定价格也便宜点, 如果是暑期周末过去, 建议要买快速通道腕带, 不然排队真的有点久"
169,刺头Cc,2019-11-20,"孩子超级喜欢的一个地方, 两三天都玩不完"
170,M34****0225,2019-12-11,"很好玩, 虽然没玩多少个项目, 但是去解压真的不错, 去的时候是快要到万圣节的时候, 人挺多的, 不过真的很刺激, 哈哈哈哈哈哈哈"
171,BFHYD,2019-11-22,"水上项目不错, 超刺激, 适合情侣年轻人"
172,robert6368,2019-12-12,"痛快地玩, 激情澎湃"
173,kentyangor,2019-11-20,"这是大人小孩都能玩的地方, 非常有乐趣"
174,slugger,2019-11-19,长隆水上乐园是炎炎夏日大人小孩的首选
175,M12****182,2019-11-16,"太好玩了, 夏天必玩的地方, 小姐姐漂亮"
176,叫我斌斌,2019-12-26,"水上乐园真的是非常的好, 我好喜欢"
177,虚度光阴,2019-12-02,"如果几次, 这地方值得玩, 很不错呢"
178,彬彬小姐k,2020-01-19,"好玩, 刺激, 值得, 有机会再来"
179,金哥,2020-01-13,水上乐园夏天最受欢迎的排长队
180,ershao,2019-12-23,"还挺满意的, 小孩子都玩得不愿意走, 就是吃的东西可选性不算多, 都是烧烤, 干锅, 洋快餐为主, 多吃无益的东西"
181,周游列国,2019-09-12,"长隆水上乐园景观以亚热带的植物和花卉为主, 是国内十分出名的水上乐园, 长隆度假区除了一座水上乐园, 还包括长隆欢乐世界, 长隆野生动物世界, 长隆国际大马戏三个园区, 丰富多彩的主题区域让游客有多重的选择与体验, 这里有近百项玩水设施和每天近十场水上主题表演, 带孩子来的可以考虑去, 宝贝水城, 小喇叭, 眼镜蛇, 等景点, 而, 高速滑道, 超级大喇叭, 超级大滑板, 急驰竞赛, 等项目则是为喜欢刺激的朋友准备"
182,M33****4996,2020-01-15,"每年都去, 喜欢挑战"
183,忧夏之梦,2019-12-18,"满意, 玩的比较开心, 就是国庆人多, 还好去的早, 比较刺激的项目都玩了, 就是回来的早, 没有看到电音节"
184,潜泥ha,2019-11-24,"游玩的设施还是很多的, 还有水上音乐节, 景点内的食品价格有点高但还可以接受, 可惜国庆假期人有点多"
185,M52****859,2020-01-14,"还行, 下雨天"
186,_WeCh****709822,2020-01-06,"很满意, 如果可以带吃的进去就好了, 晚上去的, 刚好遇见下雨, 要不可以玩得更尽兴, 还是整天去的好"
187,o****ye,2019-12-11,"搞活动时买的票, 带小朋友完, 小朋友玩的很开心, 大人基本没有怎么玩, 不过小朋友开心就好了"
188,o****ye,2019-12-11,"搞活动时买的票, 带小朋友完, 小朋友玩的很开心, 大人基本没有怎么玩, 不过小朋友开心就好了"
189,M21****875,2019-12-15,"好的很, 好的很, 好的很, 好的很, 好的很好的很, 好的很, 好的很, 好的很, 好的很, 好的很"
190,288****376,2019-07-27,"太好玩了, 水上乐园, 马戏团孩子们玩的不亦悦乎, 还有, 空, 中, 缆, 车长颈鹿广场, 熊, 猫, 乐, 园, 小火车, 青龙, 山, 白虎, 山, 还有表演, 探秘花果山, 亚洲森林, 非洲发现"
191,carina骐骐,2019-07-01,"长隆水上乐园可以说是非常好玩了, 进门后随处可以拿宝宝救生衣的地方, 安全员也十分敬业, 一直盯着游乐项目, 给人很大的安全感, 我们是六月底去的, 下水还是有些冷的, 晚上有电音环节, 相当, 很多项目适合大人玩, 对儿童的身高和体重都有要求, 如果带宝宝的家庭, 一定要带沙滩巾, 晚上身上湿了很冷, 从园区走到门口寄存的地方还是有些距离的, 园区里的地面跟普通公园没有什么区别, 大多数人穿着拖鞋和赤脚, 我们穿了浮潜鞋, 很方便, 不用寄存, 而且所有项目都不要求脱鞋寄存"
192,LLjun22,2020-01-09,"非常喜欢, 很干净也方便, 地铁下来走, 分钟, 那天下小雨但是广州一点也不冷"
193,潜泥ha,2019-11-24,"游玩的设施还是很多的, 景点内的食品价格有点高但还可以接受, 可惜国庆假期人有点多"
194,毛哥,2019-11-07,"夏天好去处, 吃喝玩乐, 一家人可以在园区足足呆一天, 晚上更有, 场, 实在太棒了"
195,288****560,2019-10-30,"虽然刚开始跟携程客服闹了一点不愉快, 后面打了人工服务解决还是挺快的, 还不错啦"
196,M28****8194,2019-10-31,"帮同事定的, 广州分公司的同事, 一行四人, 刚好遇上万圣节的欢乐气氛, 这次是两个一起购买的, 可以入两园, 很不错哈哈哈哈同事说还是不错的, 挺好玩的, 下次再帮他们定"
197,139****8901,2019-12-25,"孩子大了, 可以自己在里面玩, 家长放心, 今年很人性化, 可以带水或饮料进去"
198,_WeCh****596867,2019-12-11,"和很多喜欢的人一起过山车, 非常开心的, 而且价格很, 并且服务也不错"
199,C?y?s?ta?l,2019-11-05,"非常好玩, 孩子很开心, 门票也经济实惠, 只是景区东西贵了一点, 不过正常"
200,霍城狄安娜,2020-01-21,"还不错, 买票快, 而且方便, 越来越喜欢携程, 而且可以优惠, 非常满意"
201,M14****560,2019-12-31,"玩得很好, 第二次来玩了, 带小孩过来的, 小孩玩了一整天, 非常高兴"
202,159****9999,2019-12-03,"孩子最爱的长隆水上乐园, 大人孩子都玩的嗨皮, 每年都去, 体验棒棒的"
203,徐大宝宝Wendy,2019-11-02,"很好玩, 刺激呀"
204,徐大宝宝Wendy,2019-11-02,"挺好玩的, 刺激哈哈哈哈哈"
205,黄龙溪古镇司马光,2020-01-14,"跟朋友一起去玩的, 刺激又吓人, 很多种玩的, 玩得很开心, 还想再去"
