,旅游者类型,昵称,时间,日期
22,家庭,lin****yi2,2014-08-30,"演出节目超好, 灯光舞台效果及演员阵容没的挑, 强烈推荐, 来长隆必看的节目, 大马戏不看, 来长隆白来"
23,家庭,133****3567,2014-06-05,"国际大马戏很好看, 有趣, 整个过程很开心, 有互动, 值得一去的地方"
24,家庭,艾以恩,2014-05-06,"非常不错, 游玩过最好的游乐园, 推荐大家都去喔"
25,家庭,中仲马,2014-04-18,"马戏看过的都说精彩, 但是如果遇到节假日想舒舒服服的看, 应该要早点进去霸位, 门票有点贵, 但是还是值得的"
26,夫妻,wanglengzhi,2015-06-10,"长隆的项目好玩是好玩, 就是门票贵, 动不动就是小三百, 马戏的票我是连长隆酒店一起定的, 狩猎房加双早两张马戏票, 又在酒店单独给孩子买了, 元马戏票, 这样凭酒店房卡和票可以坐靠近, 座位靠近舞台中间位置, 酒店有给住店客人预留三百个座位, 不过先到先得, 马戏园, 开门, 开始, 我们, 从酒店出发, 五分钟步行就到了, 这个季节没放暑假, 又不是周末, 我们到时, 预留座位只坐了三分之一, 尽量挑靠边和靠大通道的座位, 演员和动物经常下来, 马戏开始时整个场地坐了一半多人, 长隆这边价格浮动很大, 野生动物园, 水上乐园, 马戏, 平日票周末票价格有差距, 马戏绝对值得一看, 超精彩, 但我个人觉得三岁以下小孩可能会害怕"
27,夫妻,M13****426,2015-08-26,"表演很精彩, 非常值得一看, 建议早点去, 的场次, 我们, 到已经好位置都被坐满了, 能往前坐尽量靠前, 会仍小礼物哦, 小朋友很喜欢的布娃娃, 除了, 和一等票外, 尽量做, 和, 区靠中间表演走道, 有惊喜的礼物, 看你运气了, 另外吃的东西要放包包的话, 一定要拿个衣服包下, 否则检查出来就不能带进入了, 水的话随便带"
28,夫妻,M21****802,2015-08-22,"本是陪崽来看长隆的大马戏表演, 但节目出乎我的意料, 灯光, 音效, 布景, 服装配合超萌的动物及活力四射的演员组成了一场美轮美奂的视觉盛宴, 个座位座无虚席, 崽崽晚上给奶奶, 外婆打电话, 兴奋地说着大马戏里看到的女王, 空中飞人, 跳舞的熊, 在携程上买票还比现场优惠, 取票也方便, 但大马戏的票没有座位号的, 要早点去才有好位置"
29,夫妻,110****826,2015-02-24,"表演很精彩, 一个半小时的时间不知不觉就过来了, 现场的效果非常棒, 我们因为是节假日加场的, 所以场内并没有坐满, 之前看过攻略, 所以一进场就直奔正中间的位置, 观看效果很好, 在携程上订的票, 方便"
30,夫妻,D18****23,2015-01-04,"下午到长隆, 从酒店到剧场步行五分钟的样子, 小朋友很喜欢, 演员都很敬业华丽丽的演出服和漂亮的俄罗斯女演员很养眼"
31,夫妻,邱珠珠糖,2015-08-27,"点场的, 到时已经没有好位置了, 最佳位置都是留给长隆酒店的, 或者另加, 元, 但是坐前面的也不一定好, 有水池会喷火, 看着前面的人被烤得受不了, 尽量提早, 个多小时去占位置"
32,夫妻,_WeCh****13991,2015-03-07,"第四站长隆大马戏, 光与影力与美的完美结合, 中间穿插着动物们的憨态可掬, 童真童趣, 照片拍不够的节奏, 强力推荐来长隆的不要错过, 强, 强, 强"
33,夫妻,爱画画的小犇,2018-02-22,"真的要来早点, 好座难求, 长隆旗下的酒店给的专座位置好, 就是太少了, 一样要靠抢啊, 表演很精彩, 以杂技为主, 动物表演相比少多了, 是不是考虑野生动物园内也有表演的原因, 不让带食物进去, 可是里面卖的食物就能吃"
34,夫妻,M38****259,2017-02-07,"除了排队需要长一些时间等待, 其他的都是百分百精彩, 绝对超值, 位置, 如果是小朋友想得到毛绒玩具的话, 就坐的离中间通道近一点, 但不要挨着栏杆, 一般毛绒玩具会扔出一定距离的, 如果为了观看效果, 最好是坐在, 席位的正后方, 如果想亲近演员, 就坐在靠近舞台或者中间通道位置"
35,夫妻,M22****061,2015-08-09,"很好看, 很震撼, 只是门票着实贵, 大人, 孩子都收, 元, 我们看的是, 点的加场都座无虚席, 大马戏的演员大多是国外的, 技艺还不错, 赢得观众阵阵惊呼声, 看完出来, 点半了都有免费巴士可坐, 坐到地铁口对面, 到住的地方就较近了, 这一点很好, 不担心晚了出来, 打车怕危险"
36,夫妻,300****006,2015-08-08,"说实话, 订票时没少腹诽高门票, 还有小孩没半票, 但看了现场的表演, 确实非常精彩刺激, 高水平的表演, 值得票价, 这是我对长隆最满意的项目, 对演出者表示致敬"
37,夫妻,-南蛮子-,2015-06-20,"大马戏还是很精彩的, 住酒店有专区, 去看大马戏很方便, 位置也不错"
38,夫妻,阿悠麻麻,2015-06-12,"这个马戏还是挺值得看的, 整场表演, 个半小时, 很精彩, 点半开始建议稍微早一点过去"
39,夫妻,zhuxiaojie,2015-04-30,"大马戏是出了名的震撼啦, 而且从门票里可以看出啦, 无论多少岁都是全票的, 我们提前了两个多钟才坐到那个是普通票的最前方啊, 发呆了两个小时, 好多家长带小朋友, 我觉得要到小孩懂事了才能带去, 一分钟价值三块钱, 我看到有些家长顾孩子都没法看, 连我拍照都会错过精彩, 实在是太危险了有些节目, 吓得大家尖叫感谢陪伴我的人"
40,夫妻,帕拉图,2017-02-08,"平时, 每天晚上, 点半上演, 目前演出已经超过, 场, 特别假日, 如, 春节期间, 下午, 有加场, 普通票票价, 工作日, 元, 网购, 元, 假日, 双休日等, 元, 网购, 元, 但是, 在春节等期间, 很难从网上购买到打折的票"
41,夫妻,123-traveller,2019-08-18,"广州长隆现在广告可谓铺天盖地, 不过带孩子玩, 广州长隆的确值得去, 广州长隆在番禺, 有地铁, 尽管下了地铁要走一段, 还是可以接受的, 到长隆, 马戏是必须看的, 最好买, 票, 看的效果更好些"
42,夫妻,M26****2593,2018-02-24,"的票有什么区别, 看见的朋友麻烦回复一下, 谢谢"
43,夫妻,M25****8085,2018-02-21,"非常棒, 小朋友很喜欢, 场面很震撼, 最好在网上提前订票, 不然都买不到一等座"
44,夫妻,233****163,2017-02-03,"演出很精彩, 也很震撼, 很值得看, 网上出售的普通座位是没有座位号的, 要想靠前些需要提前很早去占座, 我们现场可加钱升级成了一等座, 除了舞台表演, 在一等座前的观众通道也会表演小节目和演员秀, 甚至可以和小丑握手, 真是太棒啦"
45,夫妻,浮年锦记,2016-12-17,"长隆国际大马戏都是国外的马戏团, 有点像小时候看的外国电影一样, 非常值得一看, 尤其是一家人亲子游, 整场大概一个半小时, 惊喜的地方很多"
46,夫妻,密果儿Fiona,2016-10-31,"每一个来广州长隆的游客, 基本都会来长隆国际大马戏观看表演, 票价不便宜, 而且小孩子也需要买票, 所以一般都是在长隆酒店的住宿套票里购买的, 相对比自己订合适, 但是如果你不住长隆酒店还是自己订票的合适, 大马戏, 点, 开演, 从长隆酒店走过去, 差不多十分钟, 不用坐车, 需要提前去占位子, 虽然是淡季, 但是也要将近提前一小时去, 酒店虽然有预留位置, 但是好一点的位子还是很快没有, 马戏表演个人觉的好像换节目了, 现在的马戏表演偏重于杂技多一点, 连摩托飞车都有, 而马戏表演少了很多, 去之前听朋友说有白虎表演什么的, 也都没有看到, 个人表示有些失望, 孩子因为看的动物不多, 也兴趣不是很高"
47,夫妻,龙潜,2016-04-03,"长隆的大马戏表演值得一看, 虽然票价比较贵, 但是马戏表演的效果还是比较过瘾的, 第一次来长隆没有看, 这次就不放过了"
48,夫妻,118****724,2015-05-31,"精彩绝伦的长隆国际大马戏, 二十国演员和上百种动物同台演出, 绝对值得一看"
49,夫妻,宁静sea,2015-04-15,"非常震撼的表演, 晚上, 点半, 点, 多为外国演员, 敬业, 专业, 环节很紧凑, 表演很精彩, 不知不觉一个半小时就看完了, 意犹未尽, 要早去占座哦, 住长隆酒店的客人在, 区"
50,夫妻,138****3344,2014-09-19,"太精彩了, 钱虽然贵, 但绝对值得, 一开始音乐舞蹈起的时候, 激动啊, 节目一个比一个精彩, 看的手心都出汗"
51,夫妻,M11****240,2014-09-02,"在国内的话的确象这样高质量的马戏表演实属不多, 电视上看与现场观看效果也天然之别, 此番全家真的被震憾到了, 极力推荐有机会去的朋友一定勿错过, 除票价稍高及景区门口稍小不大气外"
52,夫妻,知知,2014-08-28,"非常棒的大马戏, 去长隆, 必须看哈, 票价虽高, 但一个半小时的表演, 让你惊喜不断, 我们选择的是晚场, 担心孩子会睡着, 结果, 实在太精彩了, 孩子看看尖叫连连, 拍了很多照片, 对了, 这个拍照必须用单反哦, 照片还未整理好, 弄好了再上图哦, 这里给几张手机拍的"
53,夫妻,hello_vivian,2014-08-15,"非常精彩, 值得一看, 只可惜住宿长隆酒店价格很贵, 马戏票加上住宿费用的话性价比就不高了, 所以通常还会玩玩欢乐世界野生动物园什么的, 不过暑假人多, 很多人的素质不高, 公共场所抽烟喧闹插队乱扔垃圾, 让人心情大打折扣"
54,夫妻,高狗狗,2016-08-24,"长隆国际马戏大剧院拥有世界最大的森林实景式舞台布置, 新版舞台模式突破了传统舞台的极限, 同时拥有敞开式舞台, 镜框式舞台, 马圈式舞台, 推拉式舞台, 旋转式舞台, 实景式的森林, 小山, 溪流, 小船, 动物与众多森林精灵交相辉映, 绝对会让你有一种耳目一新的奇妙体验, 多名中外演职人员, 包括俄罗斯, 美国, 哥伦比亚, 哈萨克斯坦, 泰国, 肯尼亚, 乌克兰等国, 堪称联合国马戏嘉年华, 多只训练有素的动物在一场马戏演出中同台演出, 如此豪华阵容也只有在这里可以欣赏到, 长隆国际马戏大剧院位于国家级, 景区, 长隆旅游度假区内, 隶属广州长隆集团, 大剧院拥有全球最大的专业马戏表演场, 能够接待, 名观众同时观看演出, 点评, 非常精彩的表演, 非常震撼, 表演内容以杂技为主, 演员们很敬业, 让人情不自禁地为他们鼓掌, 一开始就有一个人从顶下直落入水中, 又有火焰又有水花, 尤其赞的是, 在节目间隙也不会冷场, 会有小丑啊, 舞蹈演员啊来和观众互动, 光影和舞台效果配合极好, 确是一场视觉盛宴, 来广州必去的一个地方, 每次朋友到广州来我都要带他们去看一场大马戏, 这比去欢乐世界和水上乐园要更具代表性和趣味性, 就是价格太高了, 要, 元一张门票, 这可比香港迪士尼在门票还要贵, 但既然来广州玩, 就不要在意那几十块钱, 不要给自己留下遗憾, 非常棒的大马戏, 去长隆, 必须看哈, 票价虽高, 但一个半小时的表演, 让你惊喜不断, 我们选择的是晚场, 担心孩子会睡着, 结果, 实在太精彩了, 孩子看看尖叫连连, 拍了很多照片, 对了, 这个拍照必须用单反哦, 照片还未整理好, 弄好了再上图哦, 这里给几张手机拍的, 很不错的, 提前了差不多两小时去排队, 发现最好的位置都是要另外话交一百或两百的, 其他位置不早去, 只能坐在很偏的位置了, 根本看不了, 话说长隆的服务很的很好, 工作人员都很热情, 就是物价太高, 动物园主食要, 欢乐世界就低, 元左右, 大马戏非常精彩, 已经第二次观看大马戏了, 这次是为了带小孩和老人去观看, 节目非常紧凑, 惊险, 因为这次带老人去所以特意选了白天场买了, 坐位, 携程价格很给力, 坐, 一位, 非常满意, 从动物园出来坐免费大巴到达, 安检还是不允许带食物饮料, 但是查得不严, 就是开包用棍捣一捣, 点开始进园, 不到, 点半靠近中间的普通座位区已经占满, 我们也尽量靠中间坐下, 然后派两人去园区的餐厅买吃的, 可打包, 现在是人均, 元可换取一等座, 一份盖饭或面就, 元, 我们买的热狗, 意面之类"
55,夫妻,M42****527,2016-08-12,"我们玩的下午, 整的, 节目非常精彩, 爆米花太贵"
56,夫妻,M40****791,2016-07-20,"国际大马戏值得一看, 国际演出团队, 多动物园参与演出, 舞台场景很震撼, 灯光很美, 就是门票价格太贵, 小朋友不断鼓掌, 喜欢"
57,夫妻,E12****20,2015-09-08,"超级推荐, 第一次看这么好的马戏, 去过一次哈尔滨太阳岛的马戏, 根本没法和长隆的比较, 值得再次观看"
58,夫妻,中正,2015-08-14,"携程网定的套票, 很实惠, 但没买到儿童票, 入场耽误时间, 建议大家加价买靠前一点的靠近环形通道的座位, 可以与演员互动, 运气好有礼物嘀, 感觉广州的马戏明显比珠海的好, 节目精彩有气氛, 设计合理, 那个转动的四环节目尤其精彩, 其次就是通道演员巡游, 很有异域风情的, 飞人表演也很不错的, 整体评价很好, 去长隆必玩项目"
59,夫妻,moneylove84,2015-08-11,"帮同事订的, 她说还蛮值得看的, 不过价格有点贵, 能优惠点就差不多"
60,夫妻,简单8868,2015-08-04,"节目很好看, 有很多惊险的节目, 看的我手心飙汗, 就是节目时间太短, 演员的阵容不够大, 场面比较小, 居然没有魔术, 性价比不高"
61,夫妻,简单8868,2015-08-02,"很惊险, 节目很紧凑, 演员很漂亮, 遗憾就是, 舞台没有我希望的那么大, 看的是下午, 点的, 可能天黑后效果更好"
62,夫妻,握鼠标的手,2015-06-10,"长隆之行最值得观赏的, 现场超级震撼, 由于预定了长隆酒店, 所以有预留的酒店专区, 观看效果很好, 还会和演员互动, 孩子超级兴奋"
63,夫妻,M16****875,2015-04-02,"超赞的表演, 物有所值, 一定要给五星的赞才对得起它"
64,夫妻,233****209,2015-03-12,"看马戏是我们去广州的重头戏, 真的是很震撼, 不是三言两语可以表达的, 节目编排, 灯光音响都很不错, 我们就在里面吃的饭, 但还是占位晚了, 中间的位置没坐到, 因看了攻略, 说是一定要坐靠过道的位置, 确实是, 因中途有多次动物和歌舞在过道进行, 这个马戏主要是杂技, 关于动物的表演不多, 动物以摆设为主"
65,夫妻,Elyon诺诺,2015-02-28,"表演简直太精彩了, 看得很入神都没有时间照相, 春节加场是下午两点看的, 马戏棚有点点漏光所以稍微影响了表演效果, 不过完全没有影响演员们的精彩表演, 有机会下次还想去, 加, 元坐在一等座的话会更好的与演员们互动, 下次会考虑坐在一等座"
66,夫妻,wa****hao,2015-02-09,"大马戏挺值得看的, 节目精彩刺激, 就是人太多, 要提前很久去才能坐到好位置, 离长隆酒店很近, 走走, 分钟, 周围卫生间有点少, 场外的氛围和国外的马戏城相比, 还是逊色了一点"
67,夫妻,136****9121,2015-02-09,"票价略贵, 小孩无论多大都是全票, 性价比不算高, 什么都贵, 一根荧光棒, 坐好点的位置还要额外加几百, 比起泰国幻多奇差太多, 不过国内只能这样"
68,夫妻,M15****654,2015-02-03,"表演挺精彩的, 美女演员们美得太惊艳"
69,夫妻,赛巴斯酱,2014-11-06,"隆大马戏绝对值得一去, 灯光舞美音响特技均属一流, 演员也很会调动现场气氛, 我们全家都看得非常开心, 小孩子有几次都忍不住叫了起来, 演员表演认真很是敬业, 这次在途牛订票很愉快, 换票也十分顺利"
70,夫妻,婀娜2626,2019-10-16,"非常棒的旅行, 应该经常带娃去体验体验, 马戏非常震撼, 场面非常大气, 值得年年来玩一次, 大气, 看完还想看, 宝宝们开心的不得了, 长见识"
71,夫妻,与伊戈同行,2018-10-11,"这里有全世界最大的马戏表演场, 每场马戏都很精彩, 非常推荐"
72,夫妻,小忆,2018-05-25,"交通方便, 坐地铁到目的地, 有免费大巴接送, 表演非常精彩, 全程无尿点, 大家不时哈哈大笑, 不断的鼓掌喝彩, 很喜欢这种氛围, 适合男女老少, 家人朋友一起看的表演, 非常值得一看"
73,夫妻,_M13****4440,2018-02-26,"看过满洲里套娃广场的马戏表演后, 觉得长隆的马戏也就那么回事儿, 新东西不多"
74,夫妻,118****258,2018-02-01,"寒假带小朋友来玩, 太开心了, 大人与孩子一起开心, 马戏很好看, 音效很好, 很振憾"
75,夫妻,220****343,2017-01-09,"非常精彩, 值得推荐, 有飞人飞车表演还有狮子驯马等表演, 中间还有小丑和观众穿插表演很逗乐, 小朋友大朋友都很开心, 就是没有儿童优惠票"
76,独自旅游,佳佳,2015-08-17,"第二次来到长隆国际马戏大剧院, 每次的表演都让我觉得非常震撼, 因为门票上是没有座位号的, 只是靠你自己早去到然后排队进去找位置, 我每次都是跟着团队进去的, 每次都是坐在比较靠后的位置, 所以坐在那里最好不是很清楚, 表演分为几部分, 动物表演, 花车巡游, 杂技, 整台节目都是以杂技串联起来的, 演员们的表演真的很精彩, 整个舞台的灯光, 布景都是超棒的, 虽然门票是有点小贵, 但是绝对是值得购买观看的"
77,独自旅游,yaoyuandexin,2014-09-07,"来广州必去的一个地方, 每次朋友到广州来我都要带他们去看一场大马戏, 这比去欢乐世界和水上乐园要更具代表性和趣味性, 就是价格太高了, 要, 元一张门票, 这可比香港迪士尼在门票还要贵, 但既然来广州玩, 就不要在意那几十块钱, 不要给自己留下遗憾"
78,独自旅游,cd****ei,2015-02-23,"长隆国际马戏大剧院座位基本是座无虚席, 除了敬业的外国演员, 还有狮子什么的, 整场表演觉得特别震撼和刺激, 是一场视觉盛宴, 这里的演员来自于全球各地, 各种肤色, 各种面孔, 都能以饱满的热情投入到各个高难度的项目中, 带给我们以美轮美奂, 精彩绝伦的视觉体验, 简直太棒了, 表演剧目除了几个经典会一直保留以外, 基本都会定期更新"
79,独自旅游,乐享游山玩水,2019-02-27,"长隆国际大马戏剧院在广州市番禺长隆旅游度假区内, 值得一看, 强烈推荐, 演出非常棒, 精彩, 国际水准, 节目紧凑, 惊险刺激, 舞美浪漫炫目, 演员身怀绝技, 景区, 普通座门票, 元, 演出, 分钟, 地铁, 汉溪长隆站, 换免费巴士到景区, 前些年去, 景区管理还不到位, 演出结束, 路边都是拉客的黑车"
80,独自旅游,清清水一,2015-07-07,"来广州必去的一个地方, 每次朋友到广州来我都要带他们去看一场大马戏, 这比去欢乐世界和水上乐园要更具代表性和趣味性, 就是价格太高了, 要, 元一张门票, 这可比香港迪士尼在门票还要贵, 但既然来广州玩, 就不要在意那几十块钱, 不要给自己留下遗憾"
81,独自旅游,米宝儿,2015-03-12,"到广州第一站先看了大马戏, 点出头到, 占了不错的位置, 除了, 加, 和, 的座, 旁边的两个区域个人觉得是最佳的, 整场看下来, 灯光效果很好, 真的有仙境的感觉, 不足的是动物的表演"
82,独自旅游,_gf2****8436,2017-09-02,"进风景区的路不好走, 乡村道路, 指示牌也不完整, 差点走错路, 垂钓区没钓到鱼都要, 元, 人, 不划算, 景区不大, 开个车, 分钟就从南门走到北门了, 一点都不好玩不止不好玩保安也是变态这不行那不行一点都没有人情味还有就是连本地人都不通融居然也要买票反正就是不好玩不开心"
83,独自旅游,288****175,2016-05-03,"长隆马戏是全国最好看的马戏了, 表演分几部分, 动物表演, 花车巡游, 杂技, 不是节假日去, 人不多, 携程购票, 景区前自动取票, 提前一个小时到, 取票无需排队, 票面上无指定座位, 按票价指定区域, 具体位置先到先占, 早到有好处, 想要座好位置可以现场用, 元每位的现金升级, 住长隆酒店的有专座, 而且是最正最前排, 也是现场互动最多的区域, 会被小丑们拉去一起互动活动"
84,独自旅游,138****7885,2015-10-12,"环境不错, 停车场够大, 周边交通方便, 就是节目变化不够频繁"
85,独自旅游,火??泥HN1-2,2015-09-03,"完美的视觉盛宴, 不管是老人还是孩子都很喜欢"
86,独自旅游,205****053,2015-08-21,"超好看, 下次去一定要住长隆酒店玩两天爽爽, 听说珠海的更好玩, 也很期待喔"
87,独自旅游,jenny王,2015-07-29,"大马戏的表演是出名的震撼, 表演非常的精彩, 效果非常的好, 看着看着时间就过了, 真的很过瘾"
88,独自旅游,M20****387,2015-07-25,"马戏团表演很精彩, 很值得一看, 刚开始卖票的时候觉得门票很贵, 到现场的时候就觉得物超所值了"
89,独自旅游,阿卢,2015-07-19,"音效, 场面都一级棒, 位置很多, 早去, 可以抢到离舞台近的地方, 二十国演员和上百种动物同台演出, 绝对值得一看"
90,独自旅游,_rr1****163,2015-06-24,"票价, 值得这个价格, 很不错的地方了"
91,独自旅游,E20****397,2015-06-23,"虽然我们去的那天有雨, 但基本没受影响, 晚上雨就停了, 马戏表演很精彩, 宝宝很喜欢, 还有照顾孩子和老人的隔音房"
92,独自旅游,amy旅者在路上,2015-06-04,"这里有非常顶尖的马戏表演, 表演时间很长, 很好看, 非常的精彩, 一定要注意观看的时间场次"
93,独自旅游,jenny王,2015-05-10,"大马戏的表演是出名的震撼, 表演非常的精彩, 效果非常的好, 看着看着时间就过了, 真的很过瘾"
94,独自旅游,海洋主义,2015-05-10,"现场很震撼, 声光电结合的很不错, 演员大多是外籍的, 表演得很敬业, 就是门票实在是贵了些"
95,独自旅游,my00,2015-04-16,"好看, 广州长隆国际马戏大剧院, 相当不错的表演, 仿佛进到童话世界, 小时候童话故事的梦"
96,独自旅游,童找找,2015-04-16,"很精彩, 特别是后面几个节目, 一定要坐前面哦, 身临其境, 有短驳车接送, 长隆酒店走过去, 分钟"
97,独自旅游,zxcic,2015-04-07,"提前两天预定了, 张广州长隆国际马戏大剧院套票, 白虎餐厅自助餐, 大马戏, 化了, 元, 结果到了取票地点必须在自助取票机上取票, 第一次弄, 也没有人指导, 手机短信翻了半天找不到订票号, 酒店说不能人工给票, 叫来服务员帮忙看短信, 打电话, 语音接听老半天, 折腾了近一个小时才搞定, 结果, 多元的自助餐只剩下, 分钟不到, 只能匆匆填了肚子赶紧看马戏, 还没地儿开发票, 真是哭笑不得"
98,独自旅游,E10****34,2015-03-21,"现场看这些杂技和马戏表扬还是很震撼的, 灯光效果也不错, 值得推荐"
99,独自旅游,浪里个浪狼,2015-01-31,"节目不错, 设施, 整体感觉还行, 挺热闹的, 当天人气不足, 整个场地坐不满三分之一, 感觉有点对不住台上演员的卖力演出呀"
100,独自旅游,JimmyLuMR,2015-01-29,"表演总体还行, 个小时的表演, 人和动物的互动都十分的和谐, 也有不少的惊险表演"
101,独自旅游,you****yu,2015-01-27,"马戏还是挺好看的, 各种表演非常刺激, 花样也很多, 看得出来是大制作, 就是票价太贵了, 比一场电影贵五六倍的价格"
102,独自旅游,清风明月9888,2015-01-10,"真不错, 现场与电视有本质的区别, 不虚此行"
103,独自旅游,189****2846,2014-12-13,"非常值得一去的地方, 相当的精彩, 让人看完处于激动之中, 太精彩太漂亮了, 一定要去看看"
104,独自旅游,_cft01****7317194,2014-12-10,"这大马戏真不愧是国际大马戏, 超赞的, 非常非常的精彩, 是我看过最精彩的马戏, 推荐看看"
105,独自旅游,游游MVP,2014-12-07,"非常精彩, 不愧是国际表演, 孩子看得非常开心跟兴奋, 灯光到位表演到位, 会推荐朋友们来观看, 小朋友也要门票哦, 不管多大都要, 这样就有点不划算"
106,独自旅游,千渡,2014-11-29,"和朋友专门过来看到这里的演出, 是非常好的, 灯光, 效果是非常好的, 音响效果也是不错, 门票不是很贵"
107,独自旅游,_cs33****3071,2014-11-23,"从国外进口高科技焰火, 可以随音乐不断变幻造型, 小孩子有几次都忍不住叫了起来, 演员表演认真很是敬业"
108,独自旅游,cd****ei,2014-11-07,"非常精彩的表演, 非常震撼, 表演内容以杂技为主, 演员们很敬业, 让人情不自禁地为他们鼓掌, 一开始就有一个人从顶下直落入水中, 又有火焰又有水花, 尤其赞的是, 在节目间隙也不会冷场, 会有小丑啊, 舞蹈演员啊来和观众互动, 光影和舞台效果配合极好, 确是一场视觉盛宴"
109,独自旅游,m981119,2014-10-15,"马戏真的很好看精彩, 人演的杂技较多, 动物表演的马戏较少, 一定要早点去, 占个好位置"
110,独自旅游,_时光不老,2014-09-21,"这里的动物表演很精彩, 票价自然也不便宜, 但是感觉还是值得的, 因为舞台美轮美奂, 灯光效果配合的相得益彰, 动物们的表演非常精彩, 让人看得目不暇接, 值得一看"
111,独自旅游,曦雪,2014-09-14,"果然名不虚传, 非常值得一看, 舞台灯光, 演员表演都让大家眼前一亮, 后面的节目危险性就大多了, 刺激多了"
112,独自旅游,_yt1****866,2014-08-31,"非常棒的马戏表演, 动物种类非常多, 主要是特技演员高超的高空科技和现场道具的配合非常值得观看"
113,独自旅游,维亚达纳张,2014-08-27,"广州长隆的国际马戏大剧院的马戏表演非常太精彩, 每个节目衔接很好表演也精彩, 每个节目也都很惊险刺激, 表演者很敬业, 舞台设计和灯光很漂亮"
114,独自旅游,爱长肉的小姐姐,2014-08-24,"值得一看, 节目惊险并有趣味性, 大人小孩都可以看"
115,独自旅游,159****2000,2014-08-24,"场景很唯美, 表演惊险, 刺激, 震撼, 就是去的时候下大雨, 所有人在外面淋湿透工作人员一点不人性化, 也不开始检票先进去"
116,独自旅游,shandan,2014-08-12,"不愧是国际大马戏, 演出很精彩, 气氛很热烈, 虽然门票高点, 但值得一看"
117,独自旅游,_gf406****130051,2014-08-11,"零几年的时候就看过一次, 非常震撼, 国外演员表现力强, 很有观赏性, 去的人一定早点儿啊, 去的晚只能坐到很偏的位置, 会影响整体观看效果的"
