,旅游者类型,昵称,时间,评论
23,夫妻,M23****899,2015/8/28,"挺好玩的公园, 孩子喂黑天鹅好久, 水禽表演很有趣"
24,夫妻,203****738,2015/8/28,"儿子是个鳄鱼迷, 对各种鳄鱼超级感兴趣, 暑假里, 我们来到了广州的鳄鱼公园, 可把儿子激动坏了, 认识了很多以前不没听过的鳄鱼名字, 涨了很大的知识, 真好"
25,夫妻,M10****391,2015/8/28,"鳄鱼公园不是很大, 里面有泰国人的鳄鱼表演, 离长隆酒店比较远, 但有免费的大巴"
26,夫妻,逍遥,2015/8/22,"鳄剧场不错, 就是离长隆远, 大约要, 分钟路程"
27,夫妻,_CFT01****3141298,2015/8/17,"带两个小朋友去的, 玩得很开心, 公园不大, 但是节目很多, 很适合宝宝玩, 因为不用走很多路, 还可以跟小动物亲密接触, 很好, 有个很多鸟的表演很美, 大赞"
28,夫妻,Janelololo,2015/8/17,"带小朋友去的, 摸到鳄鱼宝宝了, 还喂了鸽子, 互动很强, 值得去, 就是太热了"
29,夫妻,夏染,2015/8/15,"在暑期去鳄鱼公园难得的人少, 表演时间紧凑, 动物可爱, 一天游玩很轻松不累, 表演很有趣, 值得一看"
30,夫妻,M22****314,2015/8/15,"可爱的鳄鱼宝宝, 惊险刺激的钓鳄鱼游戏, 各种有趣动物表演, 一次难忘的旅行"
31,夫妻,加菲猫,2015/8/11,"鳄鱼园的性价比非常高, 小猪跳水最有意思, 钓鳄鱼也还不错, 大中午的看不到几只鳄, 没有图片那样争抢的场景, 总体不错"
32,夫妻,秋秋,2015/8/10,"带小朋友去的, 水禽表演相当不错, 暑期有很多节目, 从, 点岛下午, 点, 节目不断都很丰富"
33,夫妻,小小桃小尾巴,2015/8/9,"比长隆野生动物园小, 但各方面毫不逊色, 亲子性更强, 主要是两栖动物和水生动物, 参与性更多, 性价比更高, 强力推荐带孩子的旅游"
34,夫妻,_WeCh****67254,2015/8/8,"暑假带小孩去玩是个不错的选择, 一路跟着节目表观看就好, 可以看到不少动物的表演, 最后的巡演千万别错过"
35,夫妻,M12****241,2015/8/8,"值得一游, 鳄鱼表演很好看, 大师也很给力"
36,夫妻,百合晴幺幺,2015/8/4,"还可以, 路线规划不错, 不浪费时间, 半天刚好"
37,夫妻,D11****226,2015/7/31,"鄂鱼很大, 还看了些以前未曾见过的动物, 总体来说小孩很喜欢"
38,夫妻,理想,2015/7/30,"鳄鱼饭巨难吃, 鳄鱼表演还不错, 这个园区有点小"
39,夫妻,M94****00,2015/7/28,"环境不错, 很适合小孩, 值得去, 性价比高, 携程给力"
40,夫妻,lucilia,2015/7/16,"这是长隆众多景点中门票最便宜的一个, 人鳄大战是值得一看的, 海狮表演也很可爱, 你想不到海狮这么聪明哦, 花十块钱买个鸡壳钓鳄鱼有点趣味性, 也有点刺激, 值得一试, 总体性价比不错, 对了, 走的时候可以顺便买些鳄鱼肉回家吃, 味道比外面买的好些"
41,夫妻,M21****807,2015/7/8,"还是不错的一次出游, 小孩子非常高兴, 好玩的地方"
42,夫妻,黄子18,2015/7/6,"地铁长隆站有免费穿梭巴士直送广州鳄鱼公园, 公园内人比较少, 里面有的鳄鱼非常的大, 表扬很精彩, 公园内还有河马, 鸟, 蟒蛇等动物"
43,夫妻,_rr1****163,2015/6/24,"不错的主题公园, 建议大家来这里看看的了, 很不错"
44,夫妻,ROBERTWo,2015/5/22,"鳄鱼多, 表演节目一般, 鳄鱼表演是表演必看的"
45,夫妻,150****7309,2015/4/26,"挺不错, 亲子游的好去处, 小孩玩得开心"
46,夫妻,118****724,2015/3/29,"鳄鱼公园环境清静, 空气新鲜, 适合周末全家出游, 有很可爱的动物表演"
47,夫妻,sherrychen13,2015/1/30,"第一次看到鳄鱼, 好丑陋啊, 里面的种类很多, 也不只鳄鱼, 亲亲小鳄鱼很有爱哦, 儿子看的很开心"
48,夫妻,落落520,2014/12/21,"如有机会与动物亲身接触, 很刺激, 很好玩"
49,夫妻,qw****93,2014/10/31,"鳄鱼数量很多, 有些体形非常大, 有三米多, 这么大的鳄鱼还真是第一次见, 感觉挺不错的, 特别适合带小朋友来看看"
50,夫妻,288****959,2014/10/31,"带小孩过去见识下鳄鱼和其他小动物, 真的是不枉此行啊, 不单单是小孩连大人都玩的忘行了, 真的是很不错, 门票也不贵"
51,夫妻,_51****4584,2014/8/27,"可近距离观察鳄鱼, 还有鳄鱼肉卖, 园中有植物园看, 不错"
52,夫妻,我爱大米鱼,2014/8/25,"动物就在你身边, 园区较小, 但是每个主题满不错的, 喂食另外收费区域太多"
53,夫妻,233728715,2014/5/18,"广州鳄鱼公园位于番禺区大石镇石北大道, 可以坐地铁或公交过去很方便, 自己开车也很近, 不过停车要收费, 门票涨价了不了, 以前好像是, 元, 里面的鳄鱼比较多, 表演不错"
54,夫妻,JEML,2014/5/10,"广州鳄鱼公园位于番禺区大石镇石北大道, 这里真的很不错, 值得一玩, 虽说叫鳄鱼公园, 但这里观看的动物远远不只有鳄鱼, 游乐设施还算比较多的, 跟小朋友一起来玩得很开心"
55,夫妻,ra****ip,2014/5/1,"孩子幼儿园组织活动选择此地, 原以为只有鳄鱼观赏, 但实际上还有其他动物, 游乐园设施还算多, 小朋友玩得很开心"
56,夫妻,中仲马,2014/4/18,"觉得还不错, 有很多鳄鱼还有其他动物, 还有游乐园和植物园, 很适合全家老少出游, 我建议大家还是在外面先带点东西进去, 因为里面的东西太贵了"
57,独自旅游,_WeCh****81130,2014/9/2,"停车方便, 入园保安要检查包包, 不能自带食物, 除了小孩子牛奶, 检票时会给张表演时间表, 进去后, 就跟着时间表逛啦, 表演都还不错, 可以近距离接触河马, 鹅鹤鸟鳄, 大长见识, 值, 各类鹅鹤鸟鳄种类繁多, 眼花缭乱, 还有奇瓜异果, 两栖动作欣赏, 小孩子还有一片天地, 草地沙地, 有些器械, 有的还是小孩要些胆量才敢玩的, 惊, 鳄鱼多, 都迷惑着我, 以为是假的呢, 趴着不动, 里面吃的方便, 服务热情, 套餐饭, 面, 烤肠, 停车, 玩到, 差不多逛完看完, 总体来说还是挺不错的"
58,独自旅游,曾卡133,2015/11/10,"广州鳄鱼公园真的好凶猛呀, 看起来真的像假的一样, 它动的时候你才发现, 原来是真的, 呵呵, 百看不厌, 在哪看鳄鱼就看了一个钟了"
59,独自旅游,_时光不老,2014/9/21,"这里的环境很好, 是集鳄鱼观赏, 科普教育, 生态农庄, 各类动物表演的综合性主题公园, 看鳄鱼表演非常刺激, 推荐来玩"
60,独自旅游,cd****ei,2015/2/23,"鳄鱼公园以两栖为主, 园区设计路线宽敞宜人, 有树荫也有阳光, 有各种各样和小动物亲密接触亲子活动, 其实展示的大部分都是水禽, 水禽和小动物表演还是能吸引小朋友的, 最精彩的是钓鳄鱼, 其实就是喂鳄鱼"
61,独自旅游,cd****ei,2014/11/8,"鳄鱼公园是长隆主题公园的其中之一个, 门票不算贵, 路程比较麻烦, 园里不但可以看动物, 还有很多动物的表演看, 鳄鱼公园其实是长隆香江动物园的其中一个部分, 但是却分开了两个公园, 鳄鱼公园有两个节目值得一看, 一个就是狗狗表演, 一个是海狮表演, 都很精彩, 去的话就做地铁到动物园门口外等专门去鳄鱼公园的免费小巴凭票上车即可到"
62,独自旅游,E45****517,2016/10/26,"集鸟类观赏, 科普教育, 动物表演为一体的主题乐园, 这里是亚洲最大, 鸟类超过三百多种, 近万只珍稀鸟类的原生栖息地"
63,独自旅游,像我这样优秀的男人,2016/1/3,"非常适合带孩子去, 每半个小时就要表演, 趣味性不错, 尤其是鳄鱼相关的和小猪游泳, 地方稍微有点偏, 不过有班车到地铁站"
64,独自旅游,M23****194,2015/8/23,"很好玩, 各种各样的表演都很精彩值得去游玩"
65,独自旅游,适可而止ylf,2015/8/9,"可以噢, 票不贵, 也可以带小朋友在那玩上一下午, 还有别的动物"
66,独自旅游,乖乖,2015/8/2,"觉得自己比较喜欢的还是鳄作剧场的鳄鱼表演, 环境基本都比较好, 唯一就是吃的太贵"
67,独自旅游,LUCAS-S,2015/7/22,"鳄鱼公园不在度假区里, 开车还有一段距离, 比较偏僻, 游客也不多, 但是里面环境也不错, 也不算小, 公园照旧还是不让带食品, 不过我们有经验了, 把能吃的都藏在了背包下面, 上面放点儿无关紧要的, 门口安检人员大概看一下就让我们进去了"
68,独自旅游,阿卢,2015/7/19,"里面囊括了大部分爬行动物, 很适合给小孩子科普, 虽然下雨, 但不影响我们游玩, 表演十分好看"
69,独自旅游,_wb1****082,2015/7/11,"珍贵品种还蛮多的, 看着有点怕怕, 鳄鱼吃东西真快"
70,独自旅游,清清水一,2015/7/8,"带老人和孩子去玩, 第一次近距离观看到鳄鱼, 还让孩子和我们第一次见到了鳄鱼宝宝, 还让我们第一次像钓鱼那样钓鳄鱼, 真够刺激的"
71,独自旅游,灵清,2015/7/6,"进去要安检的, 鳄鱼还是比较稀奇的一种动物, 值得一看, 不过一定要注意安全"
72,独自旅游,灵清,2015/7/4,"门口有安检的, 不要带一些不该带的东西进去, 里面鳄鱼是比较多的, 注意安全"
73,独自旅游,E20****397,2015/6/23,"很好玩, 适合家庭亲子游, 节目时间紧凑, 小朋友很喜欢, 第二次去玩, 好玩的根本停不下来"
74,独自旅游,M18****032,2015/5/22,"鳄鱼公园最大的特点就是一个表演紧接着一个表演, 值得一提的是水禽表演, 从未见过的珍稀水禽在工作人员的指引下, 在你面前飞来飞去"
75,独自旅游,my00,2015/4/16,"广州鳄鱼公园, 因为赶飞机匆忙一来, 孩子喜欢的, 里面是湿地公园, 环境好, 空气好, 下次有机会还要再来好好逛下"
76,独自旅游,M17****354,2015/3/29,"一般般吧, 其实鳄鱼没什么好看的, 门票有点小贵"
77,独自旅游,JimmyLuMR,2015/1/29,"看到了熟悉却没有亲眼见到过得鳄鱼, 呵呵, 很开心, 看到他们精彩的表演, 除了鳄鱼, 还有一些其他的动物, 比如海狮和它的精彩表演, 不过这里的动物都是长相比较特别的, 连驯兽师都一样, 哈哈"
78,独自旅游,_cft01****7317194,2014/12/10,"公园活动挺好的, 表演也很好看, 特别是鳄鱼表现, 真是惊险万分, 而且还有一些户外拓展活动, 很不错的地方, 孩子玩的很开心"
79,独自旅游,游游MVP,2014/12/7,"湿地公园来的, 有水鸟和很多鳄鱼, 就是园区有点小了, 工作人员挺负责的, 会详细解说, 有鳄鱼表演跟钓鳄鱼, 这些都不错"
80,独自旅游,千渡,2014/11/29,"第一次见到真是的鳄鱼, 真心是很害怕的, 里面的表演还算是很有意思呢, 安检是非常严格的呢"
81,独自旅游,妞V给大爷笑一个,2014/10/27,"好怕怕啊, 但是有很多动物的表演很好看, 还有很多湿地的植物, 生态农庄里面也有, 最喜欢看鳄鱼了, 近距离接触鳄鱼还是很好的, 值"
82,独自旅游,携程用户,2014/10/16,"还是有很多的鳄鱼, 看到了一条超大的隔得很远看的, 有点怕, 还看到了各种动物的表演节目"
83,独自旅游,佳猫喵呜,2014/8/18,"门票不贵, 里面也很好玩, 有很多生活在湿地与水里的动物, 可以和小动物互动, 很适合拍照"
84,独自旅游,streetguest,2014/7/14,"携程上有和长隆三大主题公园一起的套票, 不知道是三大主题公园价格太高还是什么, 感觉鳄鱼公园的价格好便宜"
85,独自旅游,e85****94,2014/6/3,"位于广州番禺的鳄鱼公园远离城市的喧嚣繁华, 自然休闲别有洞天, 是都市人假日放松休闲的首选, 交通便利"
86,独自旅游,许若安,2014/5/31,"以前学校组织春游去的, 很多鳄鱼, 都是不动的在晒太阳, 有时候会有一些表演, 公园里面还有一些纪念品出售"
87,独自旅游,快乐天使888,2014/5/28,"友去看了广州鳄鱼公园后, 觉得其他鳄鱼园是浮云, 我是, 年去的, 那时候的门票才, 元, 现在已经涨了不少了, 在长隆有免费专车到鳄鱼园的, 还是有点点距离"
88,独自旅游,chad7,2014/5/8,"这里是集各种动物, 各种娱乐项目及美丽景色于一体的好玩的地方, 虽然鳄鱼不是太美丽, 但是看看那么多也是一种不错的体验"
89,独自旅游,懒_懒_懒猫,2014/4/20,"很多鳄鱼啊啊啊, 有点吓人, 不过除了鳄鱼之外还有其他动物的, 还有植物园和游乐场, 最好就是跟着表演时间表去看表演, 很精彩"
90,独自旅游,天空下着雨哈哈哈,2014/4/12,"这次短途的旅行, 感觉不错, 带上老人和小孩, 进入园区內除了鳄鱼外还有很好趴行类动物可以观赏, 虽然景区不算大, 但是安排了丰富的动物表演也是游客不可缺少的游玩项目, 园区內饮食不多, 收费适中, 游客可以自带少量饮水和食物进入"
91,独自旅游,快乐天使888,2014/5/28,"友去看了广州鳄鱼公园后, 觉得其他鳄鱼园是浮云, 我是, 年去的, 那时候的门票才, 元, 现在已经涨了不少了, 在长隆有免费专车到鳄鱼园的, 还是有点点距离"
92,独自旅游,chad7,2014/5/8,"这里是集各种动物, 各种娱乐项目及美丽景色于一体的好玩的地方, 虽然鳄鱼不是太美丽, 但是看看那么多也是一种不错的体验"
93,独自旅游,懒_懒_懒猫,2014/4/20,"很多鳄鱼啊啊啊, 有点吓人, 不过除了鳄鱼之外还有其他动物的, 还有植物园和游乐场, 最好就是跟着表演时间表去看表演, 很精彩"
94,独自旅游,天空下着雨哈哈哈,2014/4/12,"这次短途的旅行, 感觉不错, 带上老人和小孩, 进入园区內除了鳄鱼外还有很好趴行类动物可以观赏, 虽然景区不算大, 但是安排了丰富的动物表演也是游客不可缺少的游玩项目, 园区內饮食不多, 收费适中, 游客可以自带少量饮水和食物进入"
95,商务,大玩意的小玩意,2015/7/22,"面积很小, 但是确实值得一去, 这个鳄鱼公园最大的特点就是一个表演紧接着一个表演, 值得一提的是水禽表演, 从未见过的珍稀水禽在工作人员的指引下, 在你面前飞来飞去, 看到白鸟齐飞的场景, 自己也很想飞起来, 和它们一起随音乐起舞, 在小小的鳄鱼公园总是惊喜不断, 喂鹈鹕, 给大河马刷牙, 和百岁乌龟, 世界鳄鱼王, 合影, 观赏白孔雀展开美丽的外衣"
96,商务,acay,2014/7/27,"这里比野生动物园亲切些, 主动邀请游客接触小动物, 和野生动物园比较这边是与水有关的动物, 也有很多表演, 就是远了点, 交通不是很便利"
97,商务,肥米遊太空,2014/6/29,"长隆集团的一个主题公园, 鳄鱼为主, 很多东西看, 价钱也不贵"
98,商务,强强游人,2014/6/15,"小孩孑们非常喜欢也非常开心, 可以认识很多小动物交交通非常便利有观赏游玩价值"
99,好友,空空空,2015/4/3,"动物世界游览了大约, 个小时, 我们就去鳄鱼公园咯, 鳄鱼公园不仅仅只有鳄鱼看, 里面还有很多动物表演, 最最精彩的是鳄鱼表演, 很野性的表演, 非常吸引人, 还有海狮海豹的表演, 还有小猪和狗狗的演出, 小动物都是憨憨, 非常讨喜"
100,好友,M12****339,2014/10/22,"有很多水禽和水兽, 当然鳄鱼最多, 河马很萌啊, 海豹表演很, 自然环境很舒服, 很不错"
101,好友,i游走的虎,2014/7/4,"不用到泰国也能看到硕大无比的鳄鱼及精彩的表演, 很棒, 也很刺激, 这里还有很多其它爬行动物和野生动物, 值得游览"
