,旅游者类型,昵称,时间,日期
39,家庭,屁屁仔,2014-04-15,"最喜欢过山车啦, 最刺激啦啦, 很好玩的一个地方, 就是门票小贵咯"
40,家庭,e74****08,2014-04-11,"其实, 块就玩了几个就没时间, 还不如平时来玩多几样, 买了吃的进去, 里面的太贵了, 一个小鸡腿, 块, 看完巡游和烟花才走, 烟花好小气, 没有大烟花, 争分夺秒好看, 有特技, 爆破场面, 当天下雨, 不方便, 晚上灯好有意境, 拍照不错, 可惜下雨, 相机用不了"
41,家庭,心中女神,2014-04-11,"女人节, 因为半价人很多, 兑换电子票的人更多, 足足排了, 个钟时间, 还没有进去已经很累了, 不过进去之后, 能玩到自己喜欢的, 就还算值得, 只是每个游戏排队的人很多, 有些游戏十多分钟排队是需要的, 有些要半个钟排队, 长长的人龙不见头"
42,家庭,小新2,2014-04-11,"我是周一过去的, 这个时间很不错, 景点人少, 取票, 景点游玩都很快捷, 相比于我以往每个项目都要排队一两个小时的经历而言, 工作日游玩的体验实在是太棒了, 所以强烈建议不要选择节假日出游, 另外, 长隆主要是刺激类游玩项目, 对于一些胆小的女生而言, 是有点过于刺激了, 只是, 如果不玩一次长隆, 那来广州会有一点遗憾"
43,夫妻,234****136,2014-09-12,"娱乐项目多, 刺激惊险, 温馨互动, 表演娱乐, 清凉一夏, 很适合家庭出行, 大人小孩都能找到自己的娱乐项目, 建议避开周末和节假日, 除非住长隆酒店有特别通道, 不然排队是不可避免的烦恼"
44,夫妻,F-ANDY,2017-07-28,"小小朋友们的玩具没玩, 刺激的要数, 垂直过山车, 摆捶, 自由落体, 滑板, 但最最刺激的十环过山车居然整修中, 如此就应该门票降价嘛, 快, 大洋这最刺激的不得玩心儿一瞬间空了, 哈"
45,夫妻,tlwst,2015-08-23,"爸爸去哪儿, 奔跑吧兄弟, 是我和孩子每期都看的节目, 趁暑假, 奔向长隆了, 来之前百度看过很多攻略, 用惯携程了, 直接就携程订的票, 感觉订票, 取票都较去年有改变, 更实用更方便了, 喜欢"
46,夫妻,M22****972,2015-08-09,"把里面刺激的项目都玩了一遍, 第一个玩的就是垂直过山车, 吓得小心脏都不会跳了, 我去的时候是周一, 人也不少可能是因为现在放暑假吧, 玩了七八个项目, 还看了三个表演, 感觉性价比挺高的了, 唯一的缺陷就是不许带吃的进去, 里面的东西都好贵, 和妹妹吃了两个面花了一百块"
47,夫妻,阿悠麻麻,2015-06-12,"里面玩的项目倒是挺多的, 但是都适合大人或者大一点的孩子玩, 我家小孩太多, 很多都玩不来, 只能看表演了, 票价有点偏贵, 大, 小要, 元"
48,夫妻,jo****08,2014-09-18,"下午进的园区, 除了传说中的过山车, 其他觉得武汉也有, 还是野生动物园更有性价比, 不过儿童世界小朋友还是很喜欢, 一整天都玩不够的感觉, 园区的消费实在太贵了"
49,夫妻,Geiging,2015-08-17,"本来觉得门票很贵后来进去玩了以后爸爸说挺划算的里面玩的设施很多一天是玩不完的吧, 毕竟排队的人那么多垂直过山车和十环过山车太刺激了个人觉得十环更可怕不停地翻转坐完之后人都傻掉了呢大摆锤也很吓人坐着真的有天旋地转的感觉龙卷风暴太可怕了不敢坐上去摩托过山车因为玩了两个过山车有点吃不消就没有玩了, 等下一次吧, 其他都还是挺娱乐轻松的, 小丑表演很多也很好看都是外国人在表演很搞笑, 唯一让我觉得性价比不高的东西就是里面的吃的真的好贵, 一个汉堡, 一个鸡杂面要, 还一点点, 真的好暴利, 好想去举报, 还有雨衣要租的一个人, 要去玩的话还是自己买好雨衣吧真的有点贵"
50,夫妻,M58****25,2015-08-02,"环境好到处有加湿器, 游乐项目好玩, 表演演员也很热情, 建议北方人还是, 月份再去, 不会这么热, 很适合亲子游, 大型项目等待的时间也不是很长"
51,夫妻,若炎,2015-07-31,"进入游乐园首先看到的就是传说中的垂直过山车, 让人迫不及待的想坐上去体验一下惊险刺激的感觉, 型滑板更是让人耐人寻味, 十环过山车有一种穿越的感觉, 摩托过山车让你体验速度与激情, 森林和星际表演更是另一种感官上的体验, 有机会带上孩子去体验一下吧"
52,夫妻,M22****711,2015-07-28,"长隆欢乐世界很有名气, 慕名而去, 没有让我失望, 景色很好, 表演也很好, 尤其很喜欢各种游演, 游乐设施和项目都很多, 很适合全家出游"
53,夫妻,抹灭,2015-07-24,"自驾游去的, 时间紧, 就玩了一个园, 中山过去一个小时左右, 纯玩一整天, 停车费只要, 元, 停一天挺划算的, 有机会的话去住二天挺不错的, 垂直过山车不可怕"
54,夫妻,怡泽妍,2015-08-09,"天气很热, 不过欢乐世界还是挺让人难忘的, 尤其是垂直过山车, 一米左右孩子玩的那个跳跳塔, 小飞机, 都能把我儿子吓哭, 说明小小孩还是感觉有点刺激的, 电影和特技表演千万不能错过, 很值得一看, 总体来说, 欢乐世界还是留下了无数欢乐"
55,夫妻,夏至末日,2016-08-06,"第一次去长隆欢乐世界, 以前有去过深圳欢乐谷和珠海珍珠乐园, 相对于前面来说, 这次在长隆欢乐世界是玩的最尽兴的, 我带着, 个, 多岁的小朋友, 从南门进去, 一进门就看到垂直过山车, 这个项目算是欢乐世界最刺激的, 第一个就玩的这个, 第二个玩了大摆锤, 我们一直从早上, 点玩到闭园, 最有趣的是玩到下午, 点多项目都玩完了, 这个时候人也比较少了, 就又玩了两次十环过山车, 三次欢乐跳跳, 当我玩了三次欢乐跳跳后去玩大摆锤我发现我已对离心力有了免疫, 然后就是享受了两次大摆锤, 有点遗憾的就是欢乐世界没有摩天轮, 小朋友们都非常想坐摩天轮, 总的来说, 今天的欢乐是多多的"
56,夫妻,m12****030,2015-08-14,"携程真的是很方便, 我们定的广州南站的火车票, 后在携程上定的酒店, 酒店有专车去火车站接, 游玩的门票也是直接在携程订的, 暑假人比较多, 如果想每天玩一个景点尽量早点去, 欢乐世界我们是早上九点半开园就进去了, 分之一是比较刺激的一般人玩不了, 分之二的基本上一米三左右的儿童都能玩, 而且表演很多, 小丑嘉年华一天就只有一场, 一定要看, 一共有四场表演, 自己认为魔术也不错, 我们一直玩到下午七点关园出去, 基本上能玩的都玩了一遍, 两个小孩很兴奋, 如果要重复玩就有些赶, 一定要安排好看表演的时间"
57,夫妻,girl****_2001,2015-08-13,"整个园区欢乐的气氛挺浓, 适合, 米小朋友的玩乐项目也不算少, 中间会有一些卡通人物巡游, 和小朋友互动合影, 晚上, 点多会有花车巡游, 小朋友很喜欢, 消除玩了一天的疲惫, 顿时精神起来"
58,夫妻,百合公主Lily,2015-04-10,"孩子喜欢, 老人开心, 消息比迪士尼便宜, 针对长隆酒店的入住客人有优惠, 值得游玩"
59,夫妻,zero99,2015-04-04,"清明节前带孩子来的, 本以为没人, 但没想到赶上好几个学校组织春游活动, 一下进去, 多学生, 不过还有乐园比较大, 分散开还不算拥挤, 主要的游乐设施都玩到了, 基本没用排队, 但从排队是栏杆就能想象出假期高峰排队的人有多恐怖了, 据说最长的时候一个项目排, 个小时, 错峰游玩是明智的选择, 整体感觉比北京欢乐谷强点, 但票价也高, 不让带水和食品进园这点能理解, 但如果园内能提供一些平价的饮料和食物就显得更大气了"
60,夫妻,139****8677,2014-08-26,"各种组合可选购票, 实用, 一个强大的团队, 想游客所想, 做游客所需, 从携程购票, 到内容游玩, 便利, 设施人性化, 服务好, 综合指数高, 食用贵, 味道卫生做的还不错, 逛着累, 多加电瓶车好点, 玩水没擦防晒品, 皮肤伤了"
61,夫妻,288****140,2014-08-14,"园内景色很好, 很多种游戏都好玩, 又有专为小孩设的乐园, 很好, 推荐"
62,夫妻,松茂町晁错,2018-01-23,"我们是, 月下旬去的, 去的时候, 天不作美, 刮风, 有点小冷, 但是并没有影响我们的心情, 总体来说玩儿的还可以, 如果有机会, 我们还想再去一次"
63,夫妻,M22****6484,2017-12-12,"非常适合孩子玩的动物园, 特别棒, 孩子很开心, 动物很有意思, 票价一般, 总之那个人也特别好"
64,夫妻,zfr-888,2016-08-18,"这个地方是小家伙最喜欢去了地方了, 风景非常美, 儿子玩水玩得不亦乐乎, 都不想走, 但是如果夏天去的话一定要注意防晒, 紫外线强, 孩子的父亲回来是脱了一层皮"
65,夫妻,120****230,2015-08-16,"游玩项目很多, 虽然下雨了, 但还是有开放, 玩得过瘾"
66,夫妻,M22****920,2015-08-10,"蛮刺激的, 有小孩专门玩的地方, 有冒险, 玩累了还可以看表演和电影, 工作人员都很热情, 有责任心, 就是太难排队了"
67,夫妻,Kitiya,2015-03-28,"全五分是给设施的, 而且碰上狂欢节, 有花车巡演和烟花, 但是携程的欢乐世界和鳄鱼公园联票, 只比窗口便宜十块钱, 却是只有两天内有效, 窗口的贵十块钱, 一个月内有效, 去的时候碰上下雨, 鳄鱼公园的票加的几十块钱就这么浪费了"
68,夫妻,家里有矿,2014-09-28,"那时刚好对星期一, 有个情侣票的活动, 就跟我老婆孩子进去了, 因为要看小孩的缘故, 很多设施没有玩, 我本人只玩了十环过山车, 海盗漂流, 很遗憾没有玩垂直过山车, 里面设施相对齐全, 个人觉得值得一去的地方, 国庆节有打算在去, 体验一把垂直过山车, 如果在有蹦极什么的就好啦"
69,夫妻,天空下着雨哈哈哈,2014-04-12,"特地请了两天假期和亲爱的闺蜜来这儿游玩, 超级兴奋的说第一天是去的是野生动物园, 里面景观超级大而多, 见识了很多可爱的动物, 看了大象剧场后感觉爱上了大象, 大大只但一点都不笨拙啊哈哈, 很精彩, 第二天是去了欢乐世界, 从前天到现在感觉还有点点心有余悸的赶脚, 里面的游戏项目超级刺激, 我们一进去就玩了垂直过山车, 那当时的感慨简直就不知如果准确形容了, 心都感觉要吓的掉出来了, 那个超级大摆锤, 型滑板, 十环过山车, 都很刺激, 个人认为这四个刺激指数为百分百的都被我们尝试了, 很佩服自己啊, 整个游乐场都随时随地能听见尖叫声, 压力太大的想要寻找刺激的来这儿就对了, 哈哈, 然后特地赶到周末的时间来欢乐世界, 因为晚上会有很精彩的烟花看, 很震撼很漂亮, 拍了好多照片, 来这里值得, 最主要的是里面的工作人员服务态度一级棒, 很好, 还会再来的"
70,夫妻,风雪,2019-08-28,"一般, 不过有长隆的几个园区算最好的一个了"
71,夫妻,与伊戈同行,2018-10-11,"很有趣, 可以和朋友家人一起来玩, 非常不错, 但是节假日人会有点多"
72,夫妻,186****1788,2018-09-14,"孩子们去过后, 还要再去的游乐场, 游乐场项目虽然不是很多, 但高峰时, 去的话, 应该是完不全的, 我们选择孩子开学的第一天去的, 人超级少, 几乎所有项目都能晚上两三遍, 不需此行, 动物园很大, 里面动物也不少, 环境很好, 适合带孩子游园的好地方, 还有缆车可坐, 纵观全景, 这次去的广州园, 下次会带孩子去一下珠海园, 据说里面的内容不一样, 很期待"
73,夫妻,小忆,2018-05-25,"适合大人小孩玩乐的场所, 长隆真的是所有游乐场设施最齐全的, 摩托过山车, 型滑板都挺刺激, 然后思维影院也还不错, 把捉妖记浓缩了一下, 弄点特效让你身临其境, 热闹的街游基本上什么都没错过, 最后一点就是吃饭太贵了, 不过在景点估计也就那样, 总体来说非常值得一游"
74,夫妻,卡铂,2017-02-17,"春节尽量避免过去, 人实在太多了, 不过整体而言, 长隆还是相当不错的"
75,夫妻,bradytang,2016-06-13,"我们的儿子当时一米左右, 需要购票, 我说那好吧, 买个家庭票, 工作人员说, 我们现在正搞活动, 你和你老公可以先买个情侣票, 再单买个儿童票, 加起来也比买家庭票便宜一点, 进门, 找到一堆小孩玩的东西, 可是都挺简单, 成本应该不会太高, 付那么高的门票好象很不值"
76,夫妻,小学生姐姐,2016-04-21,"很多人排队, 亲子情侣可以去去, 三个过山车, 很过瘾, 排完这几个都要半天啦"
77,夫妻,小猪,2016-01-11,"全家一起去玩, 公园很大, 环境好, 节目多, 有得看, 有得玩, 有得吃, 玩了一天, 很开心"
78,夫妻,320****486,2015-11-19,"里面玩乐项目还是蛮刺激的, 尤其是, 型滑板, 十环过山车, 垂直过山车和摩托过山车, 值得一游"
79,夫妻,E04****63,2015-09-05,"不错, 一进门就看见了垂直过山车, 很惊险, 相对于胆小的就, 吧, 去坐远一点的飞马家庭过山车, 关于食物, 园内贵死人, 建议自带, 保安即使看见了也"
80,夫妻,邱珠珠糖,2015-08-27,"游玩项目很多, 也有适合小学生的项目, 大力水手, 海盗漂流, 看似恐怖, 但坐过后感觉还可以, 还想坐第二次, 就是里面的餐厅都超级贵, 都要六七十, 一瓶水, 元"
81,夫妻,泉泉227676,2015-08-26,"安全性能比较高, 每次开动前都每个人检查好, 而且各年龄都有适合游玩的项目"
82,夫妻,梦么么,2015-08-26,"非常不错的一次出行, 有发泄情绪的尖叫的过山车, 大摆锤, 也又让人眼前一亮的科幻世界, 感觉流连忘返, 下次还会再去的"
83,夫妻,非洲欧皇,2015-08-25,"携程订便宜就不说了, 太好玩了, 就十环, 垂直, 型这些就值了"
84,夫妻,随风而去,2015-08-24,"家庭, 人游, 团购入门票便宜, 性价比高, 游乐设施多, 刺激好玩"
85,夫妻,sinmer,2015-08-23,"好玩, 玩到不愿意走了, 好多玩的, 机动游戏挺刺激的"
86,夫妻,小猪猪,2015-08-22,"够刺激好玩, 上网团购便宜好多好快方便, 去到直接微信取票不用排队, 一个字, 赞"
87,夫妻,320****263,2015-08-22,"非常的刺激, 特別是过山车, 勇敢者的游戏, 只有身临其境才能感受到"
88,夫妻,Issac,2015-08-22,"买票方便, 价格比现场买票便宜, 十环过山车不错"
89,夫妻,男人海洋,2015-08-22,"性价比很高, 几个剧场的节目很不错, 值得游玩的地方, 大人小孩的游玩节目比较多"
90,夫妻,M23****831,2015-08-22,"从游乐设施来说, 有很好的选择性, 小孩大人都玩得尽兴, 赞一个, 让我感觉超值的是特效剧场和星际决战, 惊险刺激, 叹为观止, 身如其境, 另外, 取票方便, 行李托管, 免费开水, 再赞一个, 就是暑假期间人多, 等候的时间有些长, 还好排队的后期有板凳可以休息一下, 这个一定要赞"
91,夫妻,162****998,2015-08-21,"很好玩很刺激的游乐场所, 适合大小盆友, 小盆友玩得不愿离开, 可惜暑假期间太多人, 每个项目都排很久才能玩"
92,夫妻,有趣的灵魂000,2015-08-20,"有很多很刺激的项目, 也有小孩玩的, 还有看演出, 因为当时是暑假太多人, 玩一个项目要排队一个钟, 所以一天也玩不完, 实在太累了"
93,独自旅游,纽约Gossip,2016-06-17,"去长隆欢乐世界很方便, 地铁三号线到达, 汉溪长隆, 站, 出了地铁口后走个五到十分钟就可以到达南门了, 买票进入园区, 工作日来游乐园的好处就是人少, 大约早上, 点多到园区内, 人还很好, 一进南门就可以看到大摆锤和垂直过山车, 虽然自诩很胆大, 但第一项就坐太刺激也怕自己受不了, 于是到附近的小型过山车那里去热了一下身, 然后就去坐超级大摆锤啦, 值得注意的是, 根据我的观察, 大摆锤不同的位置刺激度是不一样的, 有的位置在荡到最高角度的时候一直是面朝下, 有的位置一直是面朝上, 所以建议大摆锤要多坐几次, 然后去坐垂直过山车, 爬升到好高才会下落, 下落的时候失重感还是很强烈的然后去坐, 型滑板, 这个我甚至觉得比垂直过山车还恐怖, 第一是转速非常快, 第二是上升到最高点的时候你甚至可以看到滑板快要滑出去了, 再去坐期待已久的十环过山车, 转圈转得头晕, 按惊险度排名, 我给的排名是, 型滑板, 十环过山车, 垂直过山车, 超级大摆锤, 摩托过山车, 龙卷风暴看起来还蛮惊险的, 可惜来的时候维修, 表演的话, 欢乐剧场的炫动奇迹还蛮好看的, 还有分秒对决推荐一定去看, 去的那天只有一场, 提前看好时间不要错过, 演员都很专业, 飙车跳水样样都行, 爆破场面也好看, 很喜欢这个游乐园"
94,独自旅游,绯村瑶,2015-10-26,"用的长隆万圣节套票, 就是欢乐世界和水上乐园通用的一天票, 两个地方可以随意往返, 万圣节主题还是相当赞的, 全天票有一个很大的好处, 就是下午三点之前, 玩什么游乐设施都没有什么人排队的, 豪爽, 上次玩的激流勇进漂流那些都排了两三个小时, 这次都几乎秒上, 因为大部队都买的三点之后的夜场票, 所以大家一定要争取三点之前玩完想玩的机动设施, 之后留作夜场鬼屋, 比较能够合理安排时间, 排队较少, 万圣节系列有十个项目, 胆子非常小, 根据, 的点评去玩的所有鬼屋设施, 心理底气稍微足了一些, 四维电影鬼吹灯, 真的很无趣, 效果很一般, 全程大家除了背后被捅了一下的时候叫出来, 其他的都毫无反应, 排队也很快, 三点之前是里约大冒险, 森林神庙, 去的是白天的, 没啥意思, 就是走哪个水帘还比较有新意, 不吓人, 星际决战, 就是一群人坐在车厢里, 两边是动画, 还是比较有代入感, 车子一晃一晃这样而已, 迷幻空间, 因为这是全天开放的, 所以也是去的第一个鬼屋, 排队的时候就看到几个女生一进去就被吓得跳了出来, 也是我觉得最可怕的一个, 因为完全没有防备的说, 很多鬼的手伸出来绕来绕去, 简直就崩溃了, 最主要是我前面是一个男生不停自己吓自己人, 我简直是被他吓得魂飞魄散, 生化实验室, 之前看到说每次只放六个人进去, 吓得放在很后面才玩, 好在放我们有一二十个人进去, 全程一路跑, 嗓子也喊哑了, 出来后也不知道到底看了些啥, 就感觉每个木头窗户都会突然打开一个真人鬼头就出现了这样, 监狱风云, 确实是主题感最强的, 前面四个男生, 带错路, 本来我们几个走在最前面, 最后绕了一圈又绕回原地混进了后面的队伍, 我觉得这个比较可怕的, 主要是还有很多前面的人通过栅栏吓我们, 也确实好像走了最久, 最后一个房间, 好多真人僵尸走来走去, 冲过来, 简直吓昏了我, 僵尸大作战, 这个是好几个车厢连在一起, 开一圈车, 没什么意思, 车子下面的僵尸就在车子旁晃一晃, 不吓人, 开抢也打不到什么的感觉, 一点不吓人, 幽灵大屋, 鬼屋差不多都是, 点关闭, 这个是最后十点半玩的一个鬼屋, 人当时已经很少了, 所以每次只放了六个人进去, 结果好惨的被排在第一个, 后来进门时候死活不肯进去, 让后面的几个先进去, 结果第一个转弯就尖叫退了出来, 后面的人也不干进, 就把我们前面两个死活往前推, 进去之后本来是空房间, 他们说刚才明明有个鬼, 结果刚准备走出去, 就一个真人鬼冲出来, 我又吓得掉了魂"
95,独自旅游,红色狂飙AG,2015-11-03,"门票, 团购价, 里面比较小, 但是著名的项目比较, 因为, 奔跑吧兄弟, 垂直过山车真的还蛮恐怖, 没敢做, 其他都都有尝试, 比较喜欢的是, 骑着摩托做过山车, 还有十环过山车, 比较刺激, 容易转晕, 哈哈"
96,独自旅游,Frankie,2015-06-28,"不错不错, 十环, 型滑板垂直大摆锤超过瘾, 吓到心都飞出来, 好刺激, 推荐十环好玩, 垂直和, 型必玩不过真的太考验心脏, 环境不错, 吃的喝的太坑了好贵, 不知双倍甚至三四五倍, 建议吃一点点东西就好, 然后游园结束在到外面吃, 不错"
