,旅游者类型,昵称,时间,日期
50,夫妻,水晶心1215,2015-03-16,"长隆动物园攻略, 如何在一天的时间内走遍所有的点, 看完所有的演出, 首先掌握几个时间节点, 开园时间, 大型节目关闭, 小火车时间, 演出时间见时间表, 一般一个点都是单向行走, 不走回头路, 基本由北向南走, 基于这几点, 设计路线如下, 点, 分要到达北门, 从长隆酒店的免费班车一般都只到达南门, 要在马路对面换乘另一辆班车, 前往北门, 由于我们怕麻烦, 直接从南门进, 走了不少回头路, 因此联系从北门进, 先玩右手边的青龙山, 里面包含, 个景点, 侏罗纪公园, 金蛇秘境, 雨淋仙踪, 玩好后应该, 点左右, 建议走回侏罗纪公园路口旁边的小火车乘坐点, 乘坐小火车, 大概, 分钟, 小火车一排, 个位置, 建议坐两边的位置, 右手边可能看得更多一些, 小火车历时, 分钟, 大概, 点结束, 然后沿着步行主干道走, 左手边天鹅湖, 看一些水鸟, 风景不错, 但不要作太长时间停留, 最好在, 点半之前赶到百虎山的白虎广场, 因为每半点有白虎跳水, 看完后就游览白虎山, 大概, 分钟结束, 然后前往考拉园和熊猫中心, 两个基本连在一起, 如果肚子饿了, 可以先去考拉餐厅就餐, 元一份, 量很足, 但是如果肚子不那么饿的话, 建议把这两处景点看好再到熊猫餐厅就餐, 因为熊猫不愧为国宝, 有良好的作息时间, 如果过了午饭再去看, 可能大部分熊猫已经睡觉了, 只能看到熊猫的各种睡姿了, 考拉园和熊猫中心是长隆的精华, 考拉双胞胎和熊猫三胞胎是明星, 考拉园看好在参观大熊猫之前, 建议先到马路对面的长颈鹿广场喂一下长颈鹿, 互动节目这个是与动物的距离是最近的, 不过价格也贵, 一支树枝, 元, 长颈鹿一口吃进, 所以要找好位置, 摆好魄斯, 立即按下快门, 参观要大熊猫中心后到马路对面的大象园参观, 大象园, 羊园在一起, 安排好时间, 点到大象剧场看表演, 本人认为, 这场表演是所有表演的精华, 不可错过, 下一场表演是, 点在花果山, 因此, 看完大象剧场后, 见缝插针路过委河马和獴哥, 就到非洲部落, 沿着非洲部落和非洲森林之间的马路从南向北走, 先到最北面的猕猴处, 再向南走, 一路有狒狒, 蜘蛛猴, 白颊长臂猿等, 如果时间紧, 就先玩花果山, 非洲部落可以最后看, 安排好时间, 大概, 点左右到花果山剧场看表演, 看完后马上到旁边的河马剧场看, 点半的表演, 三个表演河马剧场的最没有价值, 个人可以根据时间选择, 下一场表演是, 点半的方舟剧场, 在这个空隙, 可以参观刚才路过而没来得及参观的非洲部落, 再循着来的路再路过委河马, 点半赶到大象剧场附近的长隆方舟剧场看表演, 看完表演后, 如果刚才羊园, 非洲部落等景点没有看完, 可以做个查漏补缺, 如果都看完了, 就到最后一个景点非洲森林, 丛林发现, 看完后就从南门出口, 完成愉快而没有遗憾的动物园之旅"
51,夫妻,M50****295,2017-01-03,"动物园分, 为步行区和乘车游览区, 建议先上午从南门进, 看, 大剧院表演, 表演时间请看照片, 下午步行区游玩后再坐园车游览, 最后从北门出, 北门有免费摆渡车到南门, 三大剧场是亮点, 有很多飞禽猛兽值得观看, 适合亲子游"
52,夫妻,M24****023,2015-10-08,"游记一, 点, 分要到达北门, 从北门进, 从南门出, 园区分驾车区和步行区, 先去驾车区游玩, 有两种选择, 自驾车和坐免费小火车, 如果是自驾车, 我们租了一辆私家车, 元, 还需再出, 的自驾费, 不包含租车费用, 一共, 两家人自行开车进入自驾车道沿途观赏, 一路上可以随时开开停停, 看到喜欢的动物, 想多拍照, 可以想停多久都行, 车上也可以自带食物, 自驾车不检查背包物品, 整个自驾差不多, 个小时, 看到大象, 长颈鹿, 白虎, 犀牛, 鸵鸟, 羊驼等等, 据说可以带胡萝卜等喂食动物, 我们当天一直下雨, 也没有下车, 沿途有一个石屋, 据说里面还有很多东西看, 应该就是奇妙的朋友中六毛和, 当时住的地方吧, 我们当时雨大, 没看到这个石屋, 另一种选择就是做里面免费的小火车, 行程共, 分钟, 小火车时间, 但是每一个动物点都只停留, 分钟左右, 车上有讲解员解说, 但是拍照时间很短, 短暂停留就往下一个点出发, 小火车和自驾各有利弊, 小火车免费, 但是停留时间很短, 有点走马观花, 自驾较贵, 但可以自由支配观赏时间, 整个动物园游玩结束后发现, 其实也不一定要自驾, 因为自驾看到的那些想多拍照的动物, 其实步行区里面都可以静距离观赏拍照, 突然觉得自驾的性价比不高了, 结束了驾车区, 还是回到自驾区入口处, 准备从步行区入口进入, 可在入园前, 在门口租儿童车, 押金, 租金, 童车质量很好, 不是简易的是有避震的那种, 当天下雨还有配整个雨罩, 小朋友不怕被淋湿, 进入园区看看游玩路线图, 来这里一定要看, 分别是大象剧场和海马剧场, 非常好看, 一般一个点都是单向行走, 不走回头路, 基本由北向南走, 先玩右手边的青龙山, 里面包含, 个景点, 侏罗纪公园, 金蛇秘境, 雨淋仙踪, 左手边天鹅湖, 看一些水鸟, 风景不错, 但不要作太长时间停留, 最好在, 点半之前赶到百虎山的白虎广场, 因为每半点有白虎跳水, 看完后就游览白虎山, 大概, 分钟结束然后前往考拉园和熊猫中心, 两个基本连在一起, 考拉一天要睡, 个小时, 基本只有一两只还处于活动状态, 其他馆内的考拉都在睡觉, 但是睡得如此之萌的, 也只有考拉了吧, 各种姿势挂在树上酣睡, 实在是萌翻了, 如果肚子不那么饿的话, 建议把这两处景点看好再到熊猫餐厅就餐, 因为熊猫不愧为国宝, 有良好的作息时间, 如果过了午饭再去看, 可能大部分熊猫已经睡觉了, 只能看到熊猫的各种睡姿了, 憨态可掬的大熊猫还是非常可爱的, 未完待续"
53,夫妻,E23****80,2017-05-02,"长隆真的不错, 游人能近距离观赏动物, 无论人还是动物都相对处于安全, 舒适, 和谐的范围, 而且长隆大多数服务还是不错的, 无论工作人员还是清洁人员都很热心答疑, 极个别的热情不高, 虽然建园, 年了, 但是一点不破旧, 说明长隆维护做的很好, 并且积极建设完善, 比如新增加了缆车游览, 是加钱的, 一条线, 一共, 条线, 都坐大人, 真的想办长隆年卡了, 好好玩玩, 一天玩长隆也能玩完, 就是看个热闹了, 如果要每个说明牌都看的话, 得, 次吧, 再有, 门票价格还是稍高一些, 所以要是年卡就合适了, 对了, 这次不巧, 遇见广州小学生春游, 而且, 个学校一起春游, 庞大的春游队伍啊, 给旅行添了一些小堵, 好在工作人员没有不做为, 还是尽力服务, 还行"
54,夫妻,shixinyi,2016-02-01,"园区总体规划很好, 园区需要, 天才能玩完全部, 汉溪长隆站那里的免费的穿梭车一定要坐, 千万不要相信地铁站那里的牌子上写的, 分钟可步行至景区, 那是景区绝不是景区大门哈, 步行时间绝不会少于, 分钟, 虽然免费穿梭车挤了点, 基本不太可能坐上座位, 也比这么干走着强, 园区内需要走的路更多, 还是不要把力气浪费的园区外了, 由于穿梭巴士是从南门下客的, 而车行区的起点却是离北门近的, 需要一路步行游览进去, 再坐车游览车行区后回到南门附近, 园区内的, 场动物表演要是都想看, 基本是来不及游园的, 至少车行区和部分步行区肯定是来不及的, 不想错过精彩的话还是游园, 天, 实在想面面俱到一天看完精华, 则建议就去花果山剧场和河马剧场即可, 这两场演出比另外两场要精彩, 园区内的电瓶车, 元, 人单程, 儿童身高超, 米按成人计算, 建议在最后太过劳累时, 或是早上入园节约时间时使用, 岁以下儿童可以在大门口租用婴儿车, 该车有防雨罩, 元租费, 还是挺合算的, 喂食动物很有趣, 一定不要错过, 不过也很费时间, 要注意把控好时间调整好节奏, 多准备一些, 元, 元, 元面值的零钞, 喂动物是自助投币进箱的, 不设零找"
55,夫妻,_CFT01****1940960,2014-12-13,"一天足够已, 网上先看了点攻略, 去了发现, 倒也无所谓, 我的路线是, 九点半, 酒店接驳车, 动物园南门, 过马路去对面车站, 动物园北门, 正门, 十点的小火车, 跟自驾游一个区域, 所以自驾嘛, 好像也就还好, 没多大意义, 小火车大概, 分钟, 下车, 问路, 直奔, 花果山剧场, 出来, 直奔河马剧场, 中间会经过各种动物区, 大象剧场, 这样是紧凑, 不过午饭就稍微晚一点, 吃完, 慢慢晃, 儿童乐园玩一下, 晃过考拉, 长颈鹿, 区的, 然后看白虎跳水"
56,夫妻,118****303,2016-05-09,"长隆香江酒店带三张门票, 分车览和不行参观两个区域, 考虑到带孩子怕她走累了就先开车, 车单独买票, 自己开车随时停下看, 公园备的小火车遇动物停几秒照相, 自驾时间大概一个半到两个小时, 自己参观的部分要有取舍, 孩子走不了, 个多小时, 看了俩表演一个半小时回酒店"
57,夫妻,Melody_Hu,2015-02-03,"非常适合亲子旅游的地方, 一家老小, 人在里面呆了一天感觉时间比较紧凑, 特地选在平日去, 一点都不挤, 从北门进去就有导游在门口带领去坐小火车游览, 分钟左右, 近距离观赏动物们, 我们自己带了婴儿推车不能上小火车, 服务人员热情地帮我们寄存到下车点, 下车后自行徒步游览, 整个园区规划很完善, 亲子考虑也很贴心, 多处设有宝宝推车租用点和休息处, 休息处配有洗手池, 园区内厕所很多, 带宝宝不用着急寻厕, 厕所非常干净, 全部配有厕纸, 大部分厕所都设有尿布台方便给小宝宝换尿布, 园区沿途的景区路标都很清楚, 动物基本都是半开放式的管理, 每个点都有导游讲解, 有管理员看守和喂养动物, 中午在熊猫餐厅吃的午餐, 价格确实很高, 好在味道还行, 点的熊猫套餐还配有水果和动物饼干, 宝宝超级爱吃, 熊猫餐厅出来就是儿童乐园, 都是免费乘坐的, 总之, 在景区内游览感觉很舒心, 等宝宝大一点以后还要去玩"
58,夫妻,jose****aili,2015-02-12,"最大的特色是有很多动物行为展示, 这在其它公园是看不到的, 公园不算很大, 但要细细地玩的话, 天似乎不够, 某些价格不便宜, 各类老虎很多, 尤其是金虎, 淡化了黑色斑纹, 脸颊白色胡须醒目, 很漂亮, 估计这类老虎在自然界很少, 长隆在培养, 是否正确, 不是这里讨论范围, 但至少很有趣, 很值得一去"
59,夫妻,151****3368,2014-12-12,"非常好, 那么大的动物园, 那么多动物, 居然没有臭味, 光是这点, 已属难得, 酒店服务也很好, 在设计上都考虑了小朋友的配套, 有小牙具小杯子小浴袍小拖鞋, 太贴心了, 赞赞赞, 下次还去, 就是吃的有点小贵, 酒店也不算便宜, 我们是暑假期间去滴, 非周末, 貌似有车送去机场, 好像还有去香港的车, 景区内摆渡车很多, 挺方便的, 马戏团的表演太精彩太开心啦, 必看啊, 而且建议就坐靠近舞台的中间位置, 水上乐园, 小朋友也是最爱啦, 在冲浪池都不肯走了, 呵呵"
60,夫妻,密果儿Fiona,2016-11-01,"带孩子来长隆玩, 因为喜欢动物, 所以买了两日门票, 踏踏实实地在园里玩了两天, 第一次选择了北门进, 进去先坐了一趟小火车, 四十分钟左右, 早上的动物们有精神, 都在溜达, 而第二天我们下午又坐了一次小火车, 动物们基本全都在睡觉, 没什么可看的, 园区比较大, 带着孩子我们租了两天的车, 事实证明很正确, 天气太热了, 让孩子坐着也能歇会, 第一天敢上下雨, 孩子坐在车里还有雨罩没淋着, 动物园四场表演全都看了一遍, 个人觉的没什么太大的意思, 提前去占位子, 实际表演也就几分钟, 就是要说一点的是, 淡季园区内开放区域有时间限制, 如果一早进南门的话, 你只能选择走到北门去坐小火车, 因为南门通往熊猫那条路要, 点左右才开放, 而北门进入也只能走到小火车那边, 其它区域也都不开放, 园区内的游乐设施也就只开放四种, 其他的也全都不开放, 问了一下, 某些项目只有旺季才会开, 园区内的动物很多, 白虎跳水每半小时一次, 大熊猫馆里有大熊猫学堂, 每天会有固定时间开讲, 穿过学堂后面有大熊猫三胞胎的家, 我们在那里还看到了青姐和北京电视台的几位主持人正在录节目, 总体来说, 如果时间充足, 孩子又喜欢动物的话, 可以选择在此玩两天, 从酒店出发到南门不用换车, 到北门需要从南门下车再转一趟开往北门的穿梭巴士才会到"
61,夫妻,M98****91,2015-03-02,"长隆野生动物园, 号称亚洲第一大野生动物园, 第一部分为驾车游览区, 分为自驾游和乘坐小火车游览, 如果是自驾车, 还需拿出, 的自驾费, 不包含租车费用, 小火车为免费乘坐, 自驾车的好处是可以随时停下, 想看多久就看多久, 小火车的好处就是有导游讲解, 了解起来比较便捷, 驾车的路线全部是水泥浇筑, 而动物也是按照不同种类被一簇簇地隔离开来, 开到哪个区域就看哪种动物, 完全都是精心设计好的, 一圈下来的感觉就是驾车游览区并不大, 虽称为野生动物园, 但其实也都是圈养起来的动物, 即使是一些猛兽, 也早已丧失了兽性, 已成为温室中的贵族, 这让我想起了今年夏天去的斯里兰卡的雅拉野生动物园, 号称亚洲第二大野生动物园, 我也放了一些照片上来对比, 我想这才是真正的野生动物园, 毗邻印度洋, 纯自然的环境, 没有任何隔离栏和人为的东西, 要看动物完全需要自己找, 因为所有动物在这片区域内是自由活动的, 能找到多少种动物就看你的运气了, 运气好的话, 还能看到金钱豹, 不过那一次我们也没看到金钱豹, 只看到了大象一家人, 仅仅这个就让我们兴奋不已了, 而只有这样的野生动物园才会让人有一次次地探索欲望"
62,夫妻,可可,2015-08-23,"不虚此行, 虽然内部购物有点儿贵, 但是对剧场表演和动物们的感觉很好, 北门就是正门, 觉得乘小火车靠副驾驶一侧动物更多更好拍摄, 食物除了水, 是必须免费寄存的, 白带了, 取回有时间规定, 从南门坐免费巴士到北门, 最好开园就去, 我们晚了个把小时, 有的点就来不及了"
63,夫妻,简单8868,2015-08-04,"不要相信网上乱七八糟的攻略, 景区门口就有旅游路线图, 按照图走就很好, 从我个人认为从南门进还好些, 游到下午没时间, 没体力时, 放弃青龙山, 侏罗纪森林, 因为里面全是仿真模型, 还不如把时间用在看真实动物上, 出门坐车南门方便很多"
64,夫妻,139****9939,2015-01-18,"月份的长隆相对而言算是一年中的淡季了, 可是周末还是很热闹, 超级精彩的大马戏, 森林大氧吧的长隆酒店, 野生动物园园最精彩, 白虎跳水, 超近距离的感受动物, 恐龙探险, 考拉, 熊猫, 长颈鹿, 还有在休息区表演的三毛和四毛, 在这里让我们和动物朋友的亲密接触, 并且来到长隆让我们远离雾霾, 很值得推荐"
65,夫妻,yaosimliving,2015-04-23,"一天的游玩很累大人, 总共看了三场表演还是很赶的节奏, 幸亏给孩子租了小推车, 孩子没有多少路, 建议先坐小火车, 因为看了步行区的动物后对乘车游览区就不稀罕了, 孩子尤其对恐龙很感兴趣, 做的恐龙非常仿真, 超赞, 有机会了还会再来"
66,夫妻,wanglengzhi,2015-06-10,"价格贵但有所值, 北京和国外去了不少动物园, 长隆确实最棒, 真个动物园分为散养区和步行区, 一般北门进南门出, 如果带五岁一下小孩, 可在入园时租儿童车, 押金, 租金, 园子太大, 大人一天走下来都累的不行, 北门进来先做免费小火车, 如果自驾车每车, 不含人的门的票, 入园费, 自驾的好处是遇上孩子喜欢的可以停下来看, 就是贵, 散养区的长颈鹿班吗非洲区好看, 看完散养区去步行区, 进门记得那张地图, 规划一下线路, 我们孩子小, 就看主要的, 看了猴, 鸟, 考拉, 熊猫, 在熊猫餐厅吃饭休息一小会真好看, 大象演出, 应该是公园里这类演出的精华, 因为我们自驾, 所以要回北门取车, 看过大象表演就往回走看白虎跳水, 很精彩, 园区只是清楚, 到处有动物课堂, 可以让小朋友长知识, 卫生间也很多, 当然商店也多, 吃饭贵的要死, 带足现金, 赶在中午前看考拉, 这种一天睡, 个小时的动物, 一天活跃期就四小时, 可以跟考拉照相, 每位, 就给小朋友照了, 在中国, 差不多是唯一有考拉的了, 熊猫也是遇到中午就睡了, 所以尽量, 前看, 还能赶上饲养员为中午饭, 活跃些, 能看到三胞胎熊猫哦"
67,夫妻,M22****174,2015-08-15,"趁着暑假, 带着女儿来到广州长隆, 分别游玩观赏了长隆野生动物园, 长隆欢乐世界, 长隆水上乐园, 也观看了大马戏, 给我们印象最深的就是长隆野生动物园, 我们观看到了许多珍稀动物, 也欣赏到了许多的动物表演, 对园中的服务更是满意, 由于园大, 每每不知方向时, 询问时总能得到服务人员亲和的回答, 记得我和女儿中午来到熊园时, 园中只仅我和女儿, 还有另外两个游人, 在游客这般少的情况下, 解说员仍然在作耐心细致的解说, 还有在鸟语馆的鸟羽处也是如此, 让我们感觉很暖心, 觉得这些员工都是非常喜欢这里的工作, 都很敬业, 有时间还会来的"
68,夫妻,M21****180,2015-08-06,"值得去的地方, 设计很人性化, 需要的东西总会在需要的地方出现喔, 我是从北门进先坐小火车绕景区一圈, 然后再走珠逻辑路线一圈出来, 全部看一遍, 千万别错过了大象剧场, 进门有地图先拿一张, 上面有动物门的表演时间, 方便安排时间"
69,夫妻,飞翔的鱼鱼,2015-01-16,"开车进去的, 想拍照就按下了车窗, 马上有只鸵鸟要伸头进来, 看到不少动物, 给大象喂食性价比实在不高, 元, 就一点点, 小苹果, 小香蕉, 一点胡萝卜, 景点里的厕所蛮干净, 无异味地面也没水, 园里人还是很多的, 考拉餐厅和熊猫餐厅都比较干净, 虽然不便宜, 但地上纸片都没有看见, 在景区餐厅这样的性价比不错了, 看熊猫三胞胎还要另收费, 有个动物宝宝幼儿园挺可爱"
