,旅游者类型,昵称,时间,日期
45,夫妻,wanglengzhi,2015-06-10,"挑, 月来就是为了带孩子玩水, 长隆水上乐园应该是北京同类设施至少五六倍大大, 北京的以室内居多, 这个全露天, 从正门进来先更衣, 办理库存, 押金, 租金, 还可以办电子钱包手环, 这样拿上水, 防晒霜, 手机你就可以畅玩了, 园区有卖防水手机袋, 最好买一个, 挺有用, 进园右手边是刺激的成人项目, 我们带娃就忽略了, 左手方向是儿童项目, 园区要求不满, 米儿童都要穿救生衣, 到处都有大车, 车里一车一车的免费救生衣, 所以游泳圈不用带哈, 小朋友在儿童区玩, 了, 滑梯好几个, 玩差不多了又跟爸爸玩了两回小喇叭, 高兴的不得了, 在往里走是巨型冲浪池, 真的好大, 像沙滩一角, 冲浪池边躺椅一排排, 冲浪池对面泳池有漂流入口, 可以在旁边租两人或三人泳圈去漂流, 这种大泳圈还能在冲浪池里用, 旁边还有至少三处惊险刺激的项目, 一群人站水里等着一大刚水满了浇下来, 看的我娃张大了嘴, 吃饭可就地解决, 到处都有吃饭的地方, 泳池散落在游艺区里, 一块块的中午水温有, 度, 小朋友游的不愿意走, 工作人员卡位比较及时, 经常发出提醒, 还有白色沙滩都没来得及去, 售票处有家庭票卖, 两大一小"
46,夫妻,皮皮人,2015-06-29,"人太多太多了, 幸亏住的长隆酒店, 可以快速玩, 个项目, 就这还有拍, 多分钟的队伍, 没有优先的玩大喇叭要等, 个多小时, 儿子, 岁多, 米, 经典的, 个项目只能玩, 个, 其他都不行, 但他也是挺开心的, 不过不会再来了, 人多是硬伤啊"
47,夫妻,slkwofgigj,2014-09-11,"首先要说的是水上乐园游乐设施设备是挺多的, 适合成人玩, 门票也不便宜, 坑爹的是进去发现很多项目要用橡皮艇, 我们住长隆酒店, 直接进去, 没有带钱, 又不能记酒店账单, 也没有明显的提醒游客, 郁闷, 朋友小孩上小学, 个头较大, 刺激项目不敢玩, 小朋友的项目不让玩, 结果一行五人买了五张票, 在里面逛街, 坑爹啊, 来长隆最郁闷的点"
48,夫妻,186****1725,2014-09-10,"玩的项目很棒, 尤其是儿童水上乐园和沙滩都很好, 孩子玩儿得很尽兴, 晚上回来就睡了, 建议自带泳衣和拖鞋, 浴巾, 购置这些您得花差不多"
49,夫妻,E40****64,2015-07-26,"项目整体和郑州方特水上乐园相当, 绿色环境会好一点, 但最不好的就是不让带食品, 没有考虑民族问题, 回民没有办法吃饭, 玩一天, 小孩跟着受罪, 忍饥挨饿, 真垃圾"
50,夫妻,288****461,2014-06-06,"很好玩刺激的地方, 比上海热带风暴什么的好太多了, 这次主要带女儿来玩, 成人的玩了没几个, 小孩子最喜欢亲子游玩了, 人也少, 小喇叭, 眼镜蛇, 滑梯, 跟成人的一样, 就是降低了危险, 让小孩子也体验了一下刺激的游戏"
51,夫妻,星期天0188,2017-08-22,"暑期, 一大一小, 的门票, 人很多, 早上开门就进去了, 上午各项目排队还好, 半小时以内肯定没问题, 下午明显人多了好多, 造浪池里很多人, 中央舞台有表演, 伦敦什么的乐队, 下午有水上飞人, 岸上也有, 物价很贵, 最便宜一份饭, 水池边的饮料卖的贵, 人少处的商亭便宜, 最便宜的一瓶水也是, 块钱, 出门打车一定要用滴滴, 千万不要上正规出租车, 正规出租到了长隆那里, 一点都不正规, 漫天要价不打表, 我从万达到长隆, 滴滴两次都不到, 正规出租上车就一口价, 不打表"
52,夫妻,吴晴天,2015-10-14,"在儿子上大学前, 带儿子一起去了趟水上乐团, 感觉是小盆友的乐园, 十八岁的儿子玩的挺开心的, 项目大多就以冲浪为主, 好玩的就是大喇叭, 合家欢, 人造冲浪了, 其他就一般般, 因为是在网上买的票, 就带着泳衣直接去了, 到那里才知道要收费寄存衣物, 害得我俩到哪里都抱着衣服, 有点晕, 这个就不能人性化一点"
53,夫妻,慕容云海,2016-03-05,"世界上最大的水上乐园就是不一样, 爽翻了"
54,夫妻,133****0733,2015-08-07,"夜场的冲浪晚会很赞, 劲歌热舞, 孩子都看得不想走"
55,夫妻,300****632,2014-10-01,"性价比一般, 时间不够玩, 很多项目有限制, 一下不能玩, 不过还是有很多适合小孩玩的的, 有的还是温水赞一个, 讨厌那个殷勤地带你去看相片的工作人员, 块一张, 门口的的哥不地道, 坐地起价, 还是叫了了酒店的接送车"
56,夫妻,M23****862,2015-09-02,"还不错, 建议来玩, 月份去门票便宜些, 我赶在, 月底, 好贵的门票"
57,夫妻,_wap1****6633,2015-08-09,"水上乐园设施很完善, 设施合理, 每个区都有人负责人员的安全, 我们玩的是亲子园, 里面的水是温的, 因为孩子小我们就玩了漂流, 小喇叭, 孩子玩的开心不想走, 里面的吃的很贵哟, 米饭套餐, 元一份, 鸡腿, 元一个"
58,夫妻,依依,2015-08-03,"夜场很好, 不晒, 灯光又美, 正好赶上水派对, 很, 大家一起泼水, 玩疯了"
59,夫妻,Joe123,2015-08-02,"六一儿童节过去的, 超多家长带着小孩子, 娱乐设施很多, 小孩子都要穿救生衣, 免费的, 里面每个设施都有救生衣在, 安全方面做得挺好, 小孩由早上十点多玩到晚上七点都还不愿意走, 真的服了他"
60,夫妻,孙娟,2014-09-15,"网上订票免去排队买票的辛苦, 拿票方便快捷, 里面人很多, 很多游玩项目都要排队很长时间, 儿子很喜欢, 在儿童乐园玩得非常开心, 推荐白天去玩, 虽然很晒, 但在水里不会感觉很明显, 还好没有买晚上的票, 晚上, 点过单独穿着泳衣就有点凉了, 小孩子的话也怕感冒"
61,夫妻,M24****4866,2018-08-18,"非常好玩, 尤其长隆熊猫酒店小孩很喜欢, 酒店带水上乐园套票两天多次进园很方便, 酒店还送, 用餐券, 美食也不错, 很适合家庭游玩"
62,夫妻,俏影人生1985,2016-08-18,"太好玩了, 也很刺激, 小孩玩得很开心, 天黑都不舍得回去"
63,夫妻,M23****600,2015-08-24,"水上世界真心是孩子们的最爱, 从早上九点半开园玩到晚上七点半, 你们说孩子们有多爱, 这种参与式的游玩, 真心是适合孩子, 里面各种项目, 值得一玩"
64,夫妻,彭艳,2015-08-17,"挺好的, 带小孩去, 小朋友很开心, 就是太阳太大, 穿了外罩衫带了帽子也被晒得黑秋秋的, 就是有些东西小朋友不能玩, 有点遗憾"
65,夫妻,zxcvbn-12333,2014-10-05,"玩的项目很多, 尤其是儿童的项目也很丰富, 小孩玩的是流连忘返不肯出门, 唯一的缺点是因为晚上本来玩的时间就不多, 星光票, 点半开始但是票也要, 点半开始卖这样就白白浪费了半个多小时玩的时间, 其他设施什么的都很棒"
66,夫妻,知知,2014-08-28,"水上乐园, 孩子的天堂, 一下水, 就不肯起来, 太阳再晒也不怕, 虽然小朋友不能去大项目, 但都有迷你版哦, 也很过稳呢, 很多项目还是会排队, 但很值得, 气氛超好"
67,夫妻,风雪,2019-08-28,"以下的孩子基本没什么可玩的, 服务也超差, 全程烈日爆晒, 都晒脱皮了"
68,夫妻,与伊戈同行,2018-10-11,"很不错, 适合和朋友或者带小孩来玩, 但是节假日人会有点多"
69,夫妻,lcclcllc,2017-08-08,"天气炎热的好去处, 有很多好玩的水上设施, 排队的人也不算太多, 保管箱有大小两种规格, 存放后可多次打开"
70,夫妻,bradytang,2016-06-13,"在乐园门前停好车, 发现还要走长长的一段才到售票处, 买票要排好长的队, 之后寄存物品排队, 拿到钥匙把东西放到储物柜时发现雨伞放不进去, 问过后得知要另外寄存, 又是长时间的等待, 等啊等, 太阳越来越高越来越毒却仍然在外面徘徊, 回来后发现不但晒黑了很多, 而且在一两天内, 一家三口全部发烧"
71,夫妻,顿勇,2015-11-20,"两日一夜, 景区可以说是国内顶级, 达到国际先进水平了, 景区有, 家酒店, 企鹅酒店步行, 分钟, 马戏酒店步行, 分钟, 但距离马戏剧场, 分钟, 各项表演非常好看, 晚上, 点油烟花汇演, 很精彩, 看上去贵, 但老人家们都说性价比高"
72,夫妻,M23****213,2015-10-04,"月份暑假带小孩去的水上乐园, 小孩子玩得很嗨, 很过瘾, 确实感觉玩的东西挺多的, 就是太大了, 容易迷路呀, 所有小孩能玩的都玩到了, 小孩印象最深的是眼境蛇, 有点刺激, 唯一感觉有点不好的是, 人太多了, 玩一个项目要排好长的队呀"
73,夫妻,alllifea,2015-09-28,"还好吧, 与图片有点偏差, 但蛮好看的, 能放松自己"
74,夫妻,M24****365,2015-09-11,"真好玩, 可惜我们时间不够, 没能玩晚上, 值得再去一次"
75,夫妻,任豆豆妈妈,2015-09-07,"每一项都想玩上好多次, 太有意思了, 只是几个好玩的项目排队的时间有点长, 没办法水上项目只能天热去玩"
76,夫妻,187****9992,2015-09-02,"夏天的好去处, 一家人玩的很开心, 下次还会去"
77,夫妻,M23****899,2015-08-28,"进门, 一直玩到, 孩子们还意犹未尽, 可惜身高不够, 一些项目孩子们不能玩"
78,夫妻,138****8835,2015-08-28,"很开心的游玩, 特别是小孩子玩了一天都不想出来, 只是提醒大家记得擦防晒霜哦, 老公给晒惨了, 肩膀上都长水泡了"
79,夫妻,118****823,2015-08-28,"小盆友超级喜欢, 只是可玩的不多, 成人很"
80,夫妻,吉星麒麟,2015-08-27,"虽然带着孩子没有玩大人的项目, 但只要小家伙开心就行, 疯玩了整天, 皮肤都呸哂了"
81,夫妻,M23****394,2015-08-27,太棒了好久没有玩得如此开心期待下一次的到来
82,夫妻,邱珠珠糖,2015-08-27,"这里大人孩子都喜欢, 可以泡水又可以玩项目, 漂流也不错, 大喇叭不像看着的那么恐怖"
83,夫妻,_WeCh****63505,2015-08-27,"很好玩的地方, 玩了四个小时还没尽兴, 下次要玩一天"
84,夫妻,m64****78,2015-08-27,"项目很好玩, 小孩玩了, 个小时还不愿离开"
85,夫妻,cyy要和肥对抗到底,2015-08-27,"十一点到的, 晚上五点半走人的, 直接被晒伤, 所以一定要做好防晒工作, 里面的寄存很贵, 小的三十, 大的五十, 还要押金, 没买防水套, 园区购买, 四十块一个, 吃的喝的都超级贵, 自己带东西啊, 但不要被发现, 设备其实也没几个, 就是占地面积够大, 人特别多, 好多项目小朋友不能玩"
86,夫妻,110****830,2015-08-27,"里面的游乐设施非常多, 适合孩子的也比较贴心, 工作人员对小朋友很, 孩子玩的特别开心, 晚上冲浪池的大型水上, 很嗨, 就是一米五以上才能进入前面的区域, 带小朋友的只能在拉线区域外玩水了, 总体来说很不错"
87,夫妻,230****625,2015-08-26,"园区不大, 项目很好玩, 推荐超级大喇叭, 巨洪峡, 尤其巨洪峡, 宝宝都要连续好几圈才肯上来, 早上人少, 建议一早进来先玩热门的项目"
88,夫妻,小虫BOSS,2015-08-24,"小朋友的乐园, 很好, 要是可以增添多点小孩的设施就最好了"
89,夫妻,M10****097,2015-08-24,"炎炎夏日, 玩水好去处, 里面有许多刺激的大型项目也有适合亲子的项目, 我和女儿玩了眼镜蛇和亲子滑道冲浪等, 玩眼镜蛇冲下次来那一刻尖叫声不断, 好刺激好玩啊, 只是星期天人比较多排队时间要半个小时, 注意不要带太多的零食, 安检的时候建议寄存的, 注意涂防晒和穿拖鞋"
90,夫妻,M18****485,2015-08-24,"水上乐园第一次去, 不知道, 米以下很多项目不能玩, 浪费了, 小孩不能玩, 大人也不能自己去玩, 这点我觉得应该在门票须知体现"
91,夫妻,M21****057,2015-08-23,"很惊险刺激, 沙滩乐园小孩玩得不亦乐乎, 环境非常美, 我们一家三口很喜欢"
92,夫妻,320****263,2015-08-22,"玩的是夜场, 人不算挤, 星空派对还是挺嗨的"
93,夫妻,张相博,2015-08-22,"一家人去玩了一天, 很开心, 很高兴, 还看了天天炫斗线下总决赛, 孩子很开心, 家人也很满意"
94,夫妻,139****8535,2015-08-22,"非常好, 孩子玩的很开心, 很适合亲子游, 推荐"
95,独自旅游,十年世事几番新,2017-04-22,"长隆水上乐园内的活动均需要穿游泳衣进行的, 最好进大门后, 穿好泳衣再进去, 园区内有储物柜可以保存行李, 当天可以无限次打开自己的储物柜, 不过储物柜比较小, 最好精简随身行李, 储物柜是收费的, 元, 个, 除行李外, 鞋子也是要放进储物柜的, 园区内还提供免费的悬挂式的塑料储物筒给你带备零钱, 因园区内的活动项目较多, 游客也多, 一般每个项目都要排队的, 半天是不够时间玩的, 所以要带备零钱用于中午购买吃的东西以便补充体力的, 得多带些, 园区内吃的, 喝的都很贵, 长隆水上乐园内最好玩的是大喇叭项目, 最好看的是巨洪峡, 在, 月是温水的, 内, 游客们的花式泡浪, 切记, 园区内只能携带, 毫升以下的饮用水, 需要当场试饮的, 其他饮料和食物均不能带进园区内的, 进门要开包检查的, 发现有带上述东东的, 需要在大门旁边的柜台寄存物品的, 水上乐园一般在, 月, 月之间开启的, 视天气而定, 开启当月会有相当大的优惠, 还会有一个万人比基尼活动, 挺难得又好看的活动, 如果你刚好想去玩, 就不要错过这个活动呵"
96,独自旅游,张家界小徐,2016-06-04,"长隆水上世界项目很多, 人也很多, 我和朋友爬起来到的时候都, 点多了, 太阳很大, 很晒, 项目很刺激, 玩儿的很过瘾, 一天下来, 好不容易保留下来白白的皮肤变成了黑炭, 朋友没有擦防晒霜, 全身晒得红肿, 脚也磨起泡了, 所以建议友友们去的时候一定要做好防晒工作, 另外, 里面物价很高, 一件泳衣三百多, 要在外面买好哦"
97,独自旅游,139****6128,2014-07-13,"一个项目就要排队两小时, 要进去玩时有些项目有服务员一定要我们穿泳衣才可以进去玩, 不是第一次去水上世界都没穿泳衣照样让我们玩, 估计是这些女服务员和里面得泳衣店有回扣, 卖票时怎么不说清楚, 爱穿什么是我们自己的自由, 我穿背心和短裤, 有些项目照样让我们玩, 男的服务员不会就是女服务员, 总体是好的, 但这点让人超不爽"
98,独自旅游,158****6620,2014-10-01,"很想再去, 垂直过山车真的吓死人的节奏, 当时不是旺季去的, 淡季, 很多广州那边的厂, 员工福利是这里旅游好像, 好多, 但是, 工人阿姨多么, 所以玩大项目也没怎么排队, 当然, 水世界更加好玩一点, 就是会晒伤"
99,独自旅游,_WB2****846,2015-08-08,"出发那天星期四, 但是并没有想象中那么少人, 那些刺激的项目还是老老实实的排队吧, 但是但是但是, 既然排队的地方已经装了电视, 难道就不能安排一些有内容的节目了吗, 难道就非要一直洗脑循环放那些没有营养又乏善可陈的广告不可吗, 作为一个游乐场所难道不能多站在我们的立场上改善游客的体验了吗, 难道非要用这种方法逼我们掏钱买手机防水袋了吗, 难道长隆就真的认为在烈日下搭个棚子, 一群人就可以开心快乐的排上一个小时的队了吗"
100,独自旅游,33号猪猪侠,2014-11-29,"长隆水上乐园是一个大型的水上乐园, 有多种刺激的玩水项目, 人造粮池, 大型舞台, 滑梯等玩水很不错的一个地方, 我每个夏天都会去的, 建议不要在节假日去, 人超多的, 排队时间较长, 有时候平均玩一个游戏要排, 分钟, 不能带任何吃物进场, 进场前有安检人员检查物品, 检查得非常仔细的, 如发现食品即要你先去寄存, 里面消费是非常高的, 一杯可乐, 元, 条肠仔, 元, 一个普通快餐, 元, 一个阿波罗雪糕, 元, 成人票, 元, 团购加上大马戏还有点优惠, 建议坐地铁, 号线抵达汉溪长隆站, 出口, 就可以坐免费穿梭巴士到水上乐园了"
101,独自旅游,anniekwok,2015-08-11,"跟朋友还有朋友的小孩去玩非常好, 虽然有些项目需要排队但是时间不会太长, 端午节当天去人也很多, 游玩时要多带点钱食品饮料有点贵, 存包时会送一个零钱包非常贴心, 一定要准备一个手机密封袋, 太有用了, 可以随时联系和拍照, 水上乐园, 大人孩子的水上天堂, 网上订票更优惠, 取票很方便"
