,昵称,时间,评论
53,M18****133,2019/2/8,"之前看介绍说有地铁站到各个园区是有穿梭巴士的, 但我们当天的穿梭巴士都是不停车接游客的, 结果我们跟随旅游大部队一步一步走了, 分钟左右终于到了长隆野生动物世界门口, 紧接着依旧是排队等待取票进园, 本来满满的期待, 但在这漫长的排队中已经消耗殆尽了, 好不容易进园准备开始游玩, 几乎都被游客围了个水泄不通, 体验极差, 后来决定坐空中缆车避开人群, 又是排队, 大概将近, 多分钟坐上了缆车, 总算可以欣赏一下了, 但基本考拉大象熊猫这些动物一个也没看到, 心情极差, 景区的食物也都非常贵, 我们一共在园区呆了, 个多小时, 有三分之二的时间都是排队等待, 和动物也没很好的互动, 体验效果很差"
54,_wech****016083,2018/10/5,"不值得去, 还没有广州动物园好玩, 门票却贵的吓人, 整个景区带堵车时间, 小时看完, 跟着车溜一圈结束, 跟看电视一样, 我觉得太不值得了, 不建议去, 真是后悔去, 上午去长隆动物园, 一个小时看完了, 吃完午饭又去广州动物园, 玩了一下"
55,即墨忽必烈,2019/5/3,"雨天过来, 长隆收费太贵, 远离大众, 去一次无下次了, 不能带食, 内部餐厅食物难吃, 又贵得要死, 不再见, 长隆"
56,_WeCh****377240,2019/8/24,"水的一, 大部分时间都在走路, 动物也不是很多"
57,M57****872,2019/8/11,"景区是不错, 但里面的消费太坑人, 不能垄断经营"
58,frng,2019/7/20,"遇, 到下大雨, 都没玩好, 很是不爽"
59,苏黎世嘎,2019/2/13,"下了地铁还要走一公里多的路才到, 人超级多, 取票排队, 寄存行李排队, 而且所有的食物不能带入园区, 景区内的食物又超级贵, 一瓶矿泉水, 元, 一个雪糕, 元, 一根烤肠, 元, 里面各个馆区全是人, 熊猫馆根本看不见熊猫, 坐小火车参观时, 排队一个小时, 坐十分钟, 建议不要节假日来, 全是人"
60,M61****701,2019/8/26,"我个人觉得不好玩, 还, 贵死了, 下次再也不去, 也跟身边的人说不要去, 有点坑"
61,_YX1****331,2019/8/8,"环岛的缆车看不到什么, 缆车, 小火车人太多, 等的时间太长, 里面的东西比外面东西贵好几倍, 体验较差"
62,海绵小宝爱晒太阳,2019/8/12,"暑期体验太差了, 什么都看不到, 排队火车两点小时, 孩子根本受不了, 安排不合理"
63,我是小俞,2019/2/9,"体验很一般的一次, 人多动物少, 老人收费不合理, 节假日应该控制客流"
64,M11****373,2019/7/8,"餐厅里吃的太贵了, 天气太热了, 太多动物都不爱动了, 感觉就不好了"
65,m43****55,2018/11/2,"我们可以理解园区不给带食物进去是因为怕乱投喂动物, 而且想刺激园区消费, 但园区提供的食物并没有照顾小朋友的餐饮, 全园区都是炸, 煎, 炒, 雪糕, 而且味道非常一般, 还很贵, 你可以贵, 但食物味道与质量要保证, 入园带了有包装的面包给孩子, 是因为孩子前期生病, 不得吃热气的食物, 还带着中药入园喝的, 可入园前解释, 日早执勤的男检查员执意不听, 非说园区有食物, 实在不体贴, 就一个面包准备给我孩子吃, 也没有多余给你们的动物, 知道没有适合的食物, 请求园区工作人员, 能否拿回食物, 就冷冰冰的说有不舒服自己去医护站, 就没人理了, 让我对长隆动物园非常失望, 去到坐车游览, 虽然是近距离感受, 问题是司机开的快, 孩子两边张望, 都没来得及看清楚, 车子已经离开了, 我宁愿一个个关笼子里看, 起码印象深刻, 清楚, 当天下午离开下着雨, 号线是地铁免费接驳公交, 很久来一趟, 而且车里面都是人, 几乎到动物园站就上几个, 可, 号线去大马戏, 酒店都全部是空车, 而且车多, 号线的客人也花了同样的价钱来你们园区, 不见得这么区别对待的, 这次为孩子过生日, 选择长隆动物园, 我觉得园区景色, 设施确实好, 里面的动物很幸福, 但长隆动物园的整体服务感受非常失望, 还是迪士尼服务与餐饮比较贴心"
66,139****9185,2019/2/15,"不咋地, 今生只会去一次, 不会再去了"
67,D10****470,2019/8/4,"安检翻包, 这个确实让人反感, 整个园区还是很不错的"
68,M25****114,2019/6/17,"没有想象中那么好玩, 一般的游玩景点"
69,M23****286,2019/2/11,"春节出行, 人特别多, 动物都被人吓到了, 感受不是特别好"
70,M23****5205,2019/2/10,"人太多了, 管理不够完善, 不喜欢"
71,摩卡猪,2019/7/9,"定位不准, 讲解不生动, 不太适合儿童的接受能力"
72,东娘,2019/2/10,"初二去的, 人山人海, 看到的都是人, 到那里都在排队, 园区不准带吃的, 一瓶水都卖十元, 典型的暴利宰客, 节假日真的不能去凑热闹"
73,灯火阑珊,2019/8/18,"想开发票, 一直联系不上客服, 希望给予解决"
74,及拼,2019/2/18,"整体的感受不是很好, 可能是期望值太高了"
75,M18****134,2019/7/14,"不准带东西进去, 外面水卖, 元一瓶, 这里, 元, 炒饭, 元一份, 打劫的都没这么狠, 部门死光了"
76,旅行Jay,2019/7/1,"不滿意, 拿電子票好麻煩, 很差多體現"
77,Ken丶丶,2019/2/14,"去了这次没有下一次, 垃圾得无法形容"
78,Areyzr,2018/10/6,"十一游玩, 只能说, 大失所望, 根本没有想象当中的野生游乐园的感觉, 野生动物环境倒是挺好, 可是游客就, 排了小火车和缆车, 速度堪比投胎, 应该不会再来了"
79,_wech****477302,2019/2/19,"明明订的家庭票, 去自助机取票只有, 张, 儿童票不会出来, 最后老人又去窗口购买一张儿童票, 最后我致电, 被告知能退还儿童票的钱, 却要扣, 手续费, 这不应该是你们造成的失误吗, 为什么要我来买单, 真的很无语, 窗口门票价格跟, 一样, 还不如直接窗口买了, 真的是一次很不愉快的订票, 真的是花钱找罪受, 窗口, 买一张, 还扣我, 手续费"
80,_WeCh****846794,2019/2/10,"因为春节去, 人超级多多多多多, 心想排不到小火车的了, 还自费了三百多自行驾车进去, 也是没看到什么, 后来再进园, 一个动物都没有看到, 因为人超多"
81,刺目明心,2019/5/26,"缆车不是完整的游览, 而且不认识的人一起做, 坐满位置, 体验很不好, 带着孩子带累了, 中途让你下车, 进商店诱惑小朋友购物"
82,MoruMohan,2018/10/5,"相比之下, 觉得欢乐世界的性价比高些, 并且欢乐世界里面吃的比较丰富, 车行区排了一个半小时的队, 游玩五分钟, 崽崽想坐缆车, 根本就没时间排队, 很遗憾"
83,M50****392,2018/10/5,"门票本身是正品, 冲这点给两颗星, 但是, 又是借用他人手机帮客户预定, 有多少客户信息已经出去了说不清楚了, 说明里面写明马戏结束前均可入园观看, 但是早到还是不能进, 拿着你们的说明和景区解释半天, 景区给出的回复是携程写错, 能不能认真点, 要求这件事情给回复, 到现在还没有声音, 此外, 有张门票只去野生没去马戏, 景区客服给的解释是可以退相应的部分, 但是携程又是不可改退, 给的回复是景区不让退, 拜托, 要不要把景区电话录音给你们听, 所以, 总结下来, 有携程礼品卡的这里订订还好, 不是的, 还是官方"
84,M39****923,2019/5/7,"景区可以, 但景区服务的服务太烂了, 让人都忍不住要投诉"
85,蓝精灵3031,2018/10/6,"太一般了, 排队进门就用了, 分钟, 明明那么多人, 有空余的通道就是不开放, 里面的动物和饲养环境, 对于门票价格, 太低了, 还不如, 元的上海野生动物园, 长隆服务太次"
86,___J____,2019/2/10,"说实话, 体验真的不太好, 基本没有近距离接触动物的机会"
87,M15****160,2019/1/3,"第一次去也是最后一次, 名声在外但实际却不怎么样"
88,M34****607,2019/2/16,"人多, 人山人海, 观看感觉差评, 都是被赶着走, 要有耐心排所有的队"
89,_WeCh****010073,2019/2/12,"坑爹, 因为门票定晚了, 两大一小居然, 元, 不值这个价"
90,m25****9958,2019/2/9,"人多, 没有什么特点, 跟别的野生动物园差不多"
91,ifo,2019/2/9,"大马戏没什么内容, 大同小异, 有些失望"
92,M22****3038,2019/1/19,"很一般, 感觉没有想象中的那么好"
93,M30****8586,2019/2/9,"只有那么一点点动物, 不值票价"
94,不是真铭,2019/2/11,"只能说广告做得好, 里面规划的一塌糊涂, 进入路都找不到, 难怪安排那么多引导员, 免费的小火车和缆车不排一个小时根本坐不到, 更恶心的是一人交, 块钱就可以加队, 而且小火车根本没有和动物的互动, 缆车也看不到几个动物, 总体来说比上海野生动物园差很远, 更可恶的, 不能带食物美其名曰怕饲喂动物, 里面卖的食物超级贵, 的贵啊, 带孩子去过这么多动物园, 这是体验最差的一次, 再也不回去了"
95,MsManGo,2018/7/16,"首先, 整个暑假都按照法定假期嘅价格, 暑假是学生放假的, 该上班都要上班的, 暑假唔係法定假期, 点解价格要按照法定假期嘅价格嚟定, 其次, 以前叫香江野生动物世界嘅时候, 动物品种多, 而且又靓, 而家只剩寥寥无几, 动物好似发育不良咁, 接着, 所有餐厅嘅出品都好难食, 入园消费人群经济都能支付的, 点解就係俾咁难食嘅嘢出嚟, 当我哋人係动物对待吗, 我谂动物食嘅仲好食过我哋噶, 然后, 每个有表演睇嘅场馆, 都随便表演下就算了, 敷衍了事, 同以往完全唔同了, 最后, 下午, 嘅巡演, 只係一班係场馆里面表演嘅人, 走晒出嚟巡街罢了, 同珠海嘅差得远"
96,南岸o,2019/2/9,"本来带着很大期待去的, 人实在太多, 密密麻麻, 喘不过气, 想停下来照相都不可能, 更别提看动物了, 走了半截倒头出门了"
97,m14****402,2019/4/8,"各项设施都很完善, 指引牌好清晰, 还有好多工作人员耐心热情地讲解, 唯一美中不足有, 点, 电影好恐怖, 把小孩子吓哭了, 我女"
98,燕子,2019/4/22,"听说好玩, 还没去过, 有机会去一下"
99,M43****043,2018/10/4,"非常不满意, 人太多没有什么好玩的"
100,庆叔,2018/10/2,"人多, 景区好玩, 大小朋友均可, 扣掉的三星, 是因为水太贵, 食物太贵"
101,_CFT0****3755,2017/8/25,"说真的, 一天时间太短了, 孩子们都没玩尽兴, 只是我在网上订了票, 现场工作员把我手机拿去, 你我只订一张票, 孩子票没订, 态度不好, 我当时就摸出, 元给她, 感觉很不舒服, 回来一看却是订了的, 心里很难过, 难过的是售票员态度"
102,北野武,2018/10/9,"缺乏特色, 缺乏动物与人的互动, 动物多面积大不好玩又有啥用, 一句话, 远不如曼谷的好玩, 差距比较大, 管理上, 理念上, 创新上都有问题, 不可能带来超越客户期望的体验, 总体上给人乡镇企业的感觉, 老板是土老帽吧, 光有钱有啥用"
103,M16****435,2019/4/6,跟迪斯尼一个价
104,_WeCh****367718,2018/10/12,"大马戏一个十个月的孩子还要买全价票, 太差了"
105,_WeCh****805570,2018/7/22,"喜欢看动物可以去, 很多种, 这里最不值的是和考拉拍照还要, 块, 又不是我们国家的国宝, 玩都东西就没有多少, 除了缆车, 其他机动游戏比我们这附近广场还差"
106,_WeCh****69364,2018/2/18,"人太多了, 看动物都靠挤, 做小火车排队两个小时, 期间还有没素质的插队, 游玩的好心情被人流量冲没了, 还有就是吃饭太坑人, 就像是没见过钱一样, 猛宰, 一份炒饭搭配两块鸡肉, 居然, 元, 像麦当劳的薯条, 两个鸡翅膀在这里最便宜的是, 一份, 中国人就是这么挣钱的吗, 感慨中国人的素质"
107,EvelynnZCL,2018/8/23,"当时去, 人太多, 大热天的, 由于带了只猫咪, 园区不给进去, 又不给寄存, 服务差, 我只能跟猫咪在停车场等家人, 实在是热想放猫独自在车里, 可是怕被闷死, 所以还是陪着在外等了好几个小时"
108,只能看的紫菜汤,2018/2/10,"人太多了, 服务也不好, 很多游戏小朋友不能玩, 但又没有在入口写清楚, 等排队排了一半才说, 浪费我们时间, 半个公园都没有逛完"
109,Alex55,2018/8/10,"别受广告和电视节目影响, 上海的朋友就别去了, 大老远, 上海野生动物园足够了, 整体上, 没有什么特别有特色的, 年前可能还有优势, 现在太老旧了"
110,_WeCh****86104,2018/2/18,"大年初三去的, 人实在太多了, 已经直接影响游玩心情了, 排队坐小火车排到绝望, 强烈建议人多的时候限制人流, 票价太贵, 性价比不高, 对于大人来说, 动物实在没什么好看的, 建议进来前还是要做好攻略, 要不真的进来一头懵逼不知往哪走, 春节期间好多东西都升价了, 停车, 元, 喂长颈鹿要, 和考拉合影要, 租个孩子小推车要, 元, 真的太贵了"
111,M37****343,2017/10/4,"进门安检收掉所有食物, 园区内最便宜的吃的是矿泉水, 最便宜一瓶, 元, 简餐一份好像, 披萨一个, 乘园区电瓶车, 租用儿童推车, 快速通道免排队, 买肉投喂虎, 买树枝喂长颈鹿, 要想跟考拉合影, 自备相机一次, 备好钱袋子, 而且服务不咋滴"
112,jameswoojameswoo,2018/8/13,"其实有点失望, 野生动物园没有想象中那么野生, 不过马戏值得去, 马戏比动物园水准高, 动物园整体还是比较粗糙"
113,M46****700,2018/2/20,"由于春节期间, 人超多, 诺大个公园居然满满的全是人, 票价涨了, 可服务却只能下降, 自驾区平时可以随意停留, 现在有好多工作人员, 沿途驱赶, 还不断吹哨, 小动物也不敢靠近, 完全失去自驾的意义, 步行区也是摩肩接踵, 寸步难行, 完全体会不到园区美好的环境和空气, 也很难接近观赏, 几场表演要提前半小时以上进入, 否则会因为人多提前关门, 造成很多人无法按计划观看, 平时与小动物的亲密接触也全部取消了, 喂动物也要高价, 各场演出也草草了事, 总之花了更多的钱, 却无法体会平时的美好, 非常糟糕的体验, 个人不会在节假日出行了, 也建议园方根据自己的接待能力适当限制客流量, 并提前告知"
114,M37****168,2018/7/29,"排队的人太多太多了, 而且园区公共车也不让坐, 园区服务态度比较差"
115,_WeCh****21132,2018/11/19,"票价太贵, 里面东西什么都贵, 一张票, 只有一天有效, 当天下大雨, 里面好多都没有玩"
116,虎1962,2018/8/19,"人多, 全需要钱, 不住它的酒店连排队都要钱"
117,_CFT0****2022,2018/7/12,"动物没有了天性, 一个的饭菜"
118,虎1962,2018/8/19,"人多, 管理处不到位, 问工作人员, 一问三不知, 不住它的酒店, 排队都要给钱"
119,E23****5213,2017/10/2,"小火车排队排了两个小时站到腿软, 看的时候大概二十多分钟就就结束了, 小火车排队的地方没有等待时间标示, 因为排队路线是迂回的根本看不到还要排多久, 如果早知道要浪费两个小时等待我们绝对不会去坐, 性价比太低了, 其他看过的节目除了花果山的表演都一般, 熊猫总共就三个, 很失望"
120,峰在天下,2018/5/24,"价格贵, 性价比差, 人太多, 心情扫兴"
121,300****652,2017/7/30,"动物园而已, 当地没有动物园的可以去看下, 要不然就没好大意义的, 服务恼火, 里面卖的吃的太贵, 而且太难吃了, 真不值得一耍"
122,EvelynnZCL,2018/8/23,"宠物不给寄存, 服务差劲, 没意思"
123,M46****232,2017/8/30,"人太多, 最反感的是, 不让带吃的进去, 元一碗牛肉面, 牛肉少就不说了, 连面饼都舍不得放, 真生气, 以后抵制长隆"
124,126****093,2018/10/24,"一般般吧, 唯一的感觉就是挤"
125,圣马洛周勃,2018/2/25,"初三去的, 人山人海, 走不动道, 从地铁到景区没有摆渡车, 排队坐缆车, 排队坐火车, 排队干任何一件事, 熊猫馆热极了, 人挨人的, 也不限流, 除了事故都没法处理, 喂个长颈鹿的树枝子要, 元, 坑你没商量, 问个考拉馆三个人都说不清在哪, 服务太差"
126,M25****8551,2018/2/19,"动物园互动活动还是比较多, 好, 春节期间人太多, 不好的印象有两点, 第一, 进园要排两次对, 第一次安检, 真正目的是开包检查是否自己食物, 感觉不好, 以为是为了保护动物, 结果入园后看到到处都是买食物的, 才明白是为了赚钱, 套餐死贵还难吃, 点餐取餐都要排队, 第二, 进园后缆车和小火车免费, 很好, 有付费的快速通道, 本想着付费坐小火车游览野生动物, 但是告知堵车, 停止售票, 小火车也不开了, 后来才发现, 是为了保证自驾游的车入园, 免费小火车不开, 很多不知情的人干等, 感觉很糟糕, 总体感觉, 到处冲刺着钱味儿, 少了人性化, 个人不会再去, 因为国外也有很多类似的动物园, 更有参观意义"
127,现在肚子饿了,2017/11/14,"看了爸爸去哪儿后就一直对长隆野生动物园很憧憬, 结果去了以后大失所望, 动物园的设计超级有问题, 首先这个路超级绕, 互不相同, 其次这里面是一座座山, 爬起来真的超级累, 爬上去了也没什么动物, 熊猫山上只有一只熊猫, 家长带孩子来绝对累死, 可以坐小火车看烈性动物, 但是它们都躺倒在睡觉, 毫无野性, 不如上海野生动物园, 这么好的资源设计出来这么个动物园, 真的是太可惜了, 学生票我都觉得太贵了, 根本就是花钱去爬山, 国内上海野生动物园比这有意思, 还便宜, 国外新加坡动物园比这好玩多了, 才一百多, 真的不推荐大家去, 纯粹的爸爸去哪儿营销带动, 大马戏很好看, 值得票价, 另外, 去的, 人超级多, 如图"
128,fdcaomq,2017/11/19,"买的季卡, 不得不吐槽, 网上买的, 需要现场录信息, 录指纹, 我们到时候只有, 个员工办理, 几十个游客拥一起, 也没有人引导排队, 大人吵小孩哭, 各种混乱, 体验极差哦"
129,M22****424,2019/2/14,"空有虚名, 没有想象的那么好玩, 和国内其他动物园区别不大, 里面吃的太贵了, 玩具比, 一倍以上"
130,_wap1****6345,2018/8/1,"线路不够清晰, 让人伤脑筋, 真不行"
131,M65****59,2017/7/28,"还没下雨缆车就不开了, 一下雨好多景点就不让参观, 看了不到一半动物, 下午, 点多就大部分游客被迫处出园, 不让带任何食物, 园内食物价高味差"
