,昵称,时间,评论
36,Bluecow,2019/5/10,"趁着四月刚开园, 票价最低时带着孩子去了一趟, 但是没有想象中好玩, 机动游戏倒是很多, 但问题是很多都不适合孩子玩, 而且这也不让做那也不让做, 不给你游泳, 不给你潜水, 不给你跳水, 只给你老实呆着或者去玩机动游戏, 玩机动游戏还得另外租他家的橡胶圈, 需要另外再加钱, 食物也不给你带, 必须吃他家的贵价食物, 类似麦当劳的一个最普通的套餐都要五六十块, 性价比极低, 这个地方去一次也就够了, 不会再有下次"
37,_FL2****2333,2019/7/28,"人多, 排队要很长时间, 身高和体重限制让儿童只能玩一两项, 性价比太差"
38,_WeCh****183473,2019/7/17,"人多的跟蚂蚁一样, 什么都没法玩"
39,186****7258,2019/1/22,"首先携程买票的时候说明不详细, 可以免费带一个小孩不说, 又多买张儿童票, 到了才知道儿童免费, 携程太坑, 退票收我退票费"
40,王爷您吉祥,2018/8/27,"最坑爹的景区, 门票, 元吃碗面最低, 元矿泉水最便宜的, 元保管箱还收, 元一瓶, 很差的拖鞋, 一双, 建议太家考虑清楚再决定去不去"
41,A丁哥,2019/5/29,"好玩的地方总是排一个小时队才轮到你, 没啥好玩的, 买个泳裤都, 柜子还收钱"
42,_WeCh****35145,2017/5/21,"总体还好, 里面的泳衣不是一般的贵, 最便宜的比门票套票还贵, 外面卖几十块的感觉, 还有看到最贵的是, 一套, 外面感觉也就, 左右的款, 当时买套票没准备去水区, 没带泳衣, 好几个人一起, 全部加起来的千为单位的泳衣价啊, 最后放弃不玩了, 跑去大吃一顿还划得来哦, 还有里面吃的也特别贵, 一瓶矿泉水, 元, 不能带吃的进去, 还有就是没带泳衣的碰见问你要不要泳衣的就买了吧, 还有防水袋, 差不多就这样了, 第一次去旅游区的价格感觉这么离谱啊, 还有就是售票员建议我们买套票也不提醒我们一定要泳衣"
43,M19****496,2018/8/3,"服务不够人性化, 随便去个小地方泡个温泉, 都有拖鞋, 毛巾等供使用, 这个地方门票奇贵, 但什么都没有提供, 储物柜还要收费, 里面收费项目也多, 周边跑的出租车也很黑, 人太多了"
44,Nemo,2018/6/19,"园区物品管理太乱了, 收这么贵的门票进去后还有这么多的收费项目, 刚进入没一会儿拖鞋就被人穿走了, 节假日人山人海非常嘈杂混乱, 根本没办法玩儿, 稍不注意就和家人走散, 一下午就在找人中度过, 非常失败的一次出游, 建议带小朋友的还是去有大型亲子泳池的五星级酒店好一些"
45,M53****101,2018/8/4,"饭店的菜饭超级难吃, 还有景区服务员态度非常差, 我们是送钱给你们的, 你们还那么没有服务精神, 这个真的要好好培训"
46,186****7676,2018/7/28,"总体来说一般般吧, 还不给潜水游泳, 头都是暴露在在太阳底下, 要求很多, 而且东西很贵, 一份排骨饭就, 元, 而且分量很少, 青菜就三根, 不过项目挺多的, 太阳很大, 小孩一下子晒黑了两个度, 除了造浪池之外几乎没有什么好玩的项目了, 比起之前我们一家在广西的凤岭儿童公园和九曲湾温泉度假村, 我个人认为还是凤岭和九曲湾会更好玩一点, 而且价格也不是太贵, 里面的饭菜都很足, 最重要的是还比长隆好玩, 建议大家可以去广西玩一下"
47,186****0109,2018/7/17,"不值票价, 我就这感受, 拥挤, 项目少, 地方小"
48,M26****4488,2018/5/27,"因为今天发烧了, 下午又下雨, 所以眼看六点了也没去取票, 不能退, 不能改时间, 好可惜"
49,M32****134,2018/5/27,"不开心, 才玩了两个项目就下雨了"
50,186****7676,2018/7/28,"感觉不是太好玩, 项目是挺多的, 但是好玩的没有多少个, 饭菜也很贵, 一份排骨饭, 元, 量也很少, 青菜就三根, 小孩都吃不饱, 广西的凤岭儿童公园还比较好玩, 没有太多的要求, 而且也不是太贵, 建议大家可以去广西南宁市玩一下, 九曲湾温泉度假村也非常不错"
51,yunyun,2018/9/30,"確實值得一遊, 就是儲物櫃太坑了"
52,_CFT01****9185330,2018/6/18,"一个人带孩子来玩, 买的是水上乐园和欢乐世界的套票, 从水上乐园过欢乐世界, 小朋友不让进还要从新买票, 感觉被坑了, 多花了钱没有玩到, 有点冤, 感觉就是在玩文字游戏, 选这个套餐的亲们看仔细了"
53,Jannwa,2018/8/7,"斤以下的孩子进去几乎没有项目可以玩的, 商家卖门票的时候却一点提示都没有, 摆明的坑钱, 淋浴间有热水, 但是没有洗头水沐浴液提供, 这种配套连几十块钱的桑拿室都不如, 牌子做大了也不能这样随意吧"
54,M13****462,2019/4/22,"很多地方要再收费, 下雨打雷又不能退票"
55,曼鱼鱼,2018/8/8,"项目是很多, 但是合适大人带小朋友玩的却不多, 而且更多限制, 如果是这样, 跟我们自己去游泳池玩有什么不一样, 还用得着花几百元带小朋友去玩吗, 这个限定不人性化"
56,M27****5503,2019/3/14,"人多, 什么都要排队, 性价比不高"
57,帝师King,2018/9/30,"去到换好衣服, 说因为台风原因, 点关门, 而当时天气好的不得了, 全程超赶, 为了能玩多几个项目, 只能加钱买快速通道"
58,_YX1****238,2018/6/2,"一天玩了两个项目, 其余时间只能泡水里, 因为人真是超级多, 排个队要一两个小时, 就连泡在水里, 人多的都要命, 跟下饺子似的"
59,110****900,2017/8/1,"四园中最差的, 没有之一, 带孩子进园先交, 元租柜费, 能接受, 寄存包裹, 然后高兴进园, 进去后发现园里有个, 限制, 儿童乐园必须大人陪同, 但成人超过, 公斤就禁止, 她们不先告诉你, 等到你和孩子都来排队在告诉你, 还好孩子, 岁快, 米了, 感觉带孩子玩成人设施应该没问题, 没想到成人设施对孩子不止有身高要求, 米, 我孩子, 还有体重限制, 必须达到, 斤以上, 我孩子, 斤, 出门在外我也不能把孩子丢下, 更可气的是他们先让你把鞋, 包裹, 防晒服都放到制定位置后, 然后在重新排队, 拍到后再告诉你孩子有体重限制, 为什么不能提前说, 怎么和管理员, 大喇叭男, 商量就是不行, 就差, 斤, 比我孩子矮的都进去了, 待在里面没玩的, 只好租个皮艇, 元, 漂流, 一天算下来, 多元, 加门票, 玩了一天漂流, 假期带孩子来长隆玩, 说实话很失望的一天, 比武汉差远了"
60,贪玩潘先生,2018/8/27,"救生员的表情和言语很不友善, 对小孩呼呼喝喝, 须然不是对我家孩子, 但感受极差"
61,M26****1427,2018/7/30,问问各位大佬学生票需要扫脸吗
62,wmass,2017/6/27,"差评, 花了几百块, 就在一个小水池玩了半小时, 儿子五岁半, 什么都不能玩, 那儿子不能玩, 我肯定也不能玩, 我不能把孩子一个人放那自己去玩吧, 为什么在买票的时候不提示一下小孩不能玩呢"
63,_WeCh****625575,2018/9/7,"水质太脏了, 回来都发烧感冒了, 去医院检查说是细菌感染"
64,中山张嘉倪,2018/8/12,"进场半小时, 排队三小时, 玩耍十分钟, 水上蹦迪无聊透顶"
65,60****623,2018/1/7,"门票太贵, 居然还不让带食品进入, 里面卖的价格巨黑巨坑人, 黑心商家"
66,M16****799,2017/10/23,"趁着特价去的, 只能步行去到门口换票, 里面的很多设施都只适合, 或以上的人玩, 景区的消费好贵, 租个贮特柜都要, 元一个, 吃饭饮料什么的都比较贵, 长隆名气大, 没去过的还是可以去玩玩的"
67,M50****025,2018/8/9,"不值票价, 人很多, 基本全要排队"
68,Kevin小屋,2018/6/13,"很一般, 感觉有点坑, 泳衣价格超贵"
69,oldman314,2018/8/25,"多出了, 张票, 不能退, 差评差评"
70,M40****361,2017/7/30,"打电话给酒店客房部的时候, 说只要订了酒店就送门票, 结果, 的时候说并不送, 我让他们差通话录音, 查出来以后说不能给我听, 不就是做贼心虚吗, 最后房间升了, 但也不怎么样"
71,_WeCh****38892,2017/6/3,"定了十几张团票, 准备去那天天气预报说有黄色暴雨, 然后提前一天打电话去说改时间, 被告知无法更改, 要么暴雨也去玩, 要么放弃使用, 你们说呢, 介绍的东西结算后才显示出来, 严重影响判断, 误导消费者, 差评, 超差评"
72,普利茨豪森陈友谅,2017/10/20,"比淘宝贵, 我们自己开车去的到了门口不让开进去, 说有大巴进去出来的时候没人理, 远的要命, 害我打的, 无语了"
73,做个有身份的人的昵称,2017/11/6,"以为门票是一票制的, 进门口储物柜是按大小不同收费的, 带着宝宝东西多, 大柜子对我们来说并不大, 想寄存部分东西, 寄存按件收取, 元起步, 没想到拖鞋浴巾是自带的, 花钱买就算了, 但是总价, 按, 收我也是没看懂了, 毛钱不多但是没见过哪个游乐园是这样买东西收费的, 很坑的感觉, 块钱一双的凉拖卖, 回家我可能需要供起来"
74,阳西曹髦,2017/7/9,"不值, 过几天再说吧八八爸爸, 空军建军节"
75,心灵旅馆,2017/7/6,"水上乐园没有兴趣, 不过广州也真没啥玩的"
76,_WeCh****462939,2018/4/7,"买票的时候又说全园都是温水, 骗人的换了衣服出去冷死了, 什么都是要消费, 玩了一个小时就走人"
77,M22****7033,2017/5/30,很多东西都要钱跟其他的水上游乐园不一样
78,双双宝贝,2017/9/3,"人太多了, 听音乐会时工作人员把人赶来赶去, 没意识, 下次不会去了, 名不符实"
79,M37****069,2017/5/26,还好没去哪去哪给你哈哈哈哈哈哈
80,陈兴旺忠实粉丝,2017/7/27,"一点都不好玩, 不适合成人, 儿童比较适合"
81,_CFT01****1489110,2017/9/14,"去的当天遇台风, 半天不让进, 进去之后又提前关门, 没咋玩"
82,梅赛德斯张定边,2017/8/25,"人多, 物价贵, 块一瓶矿泉水, 不让带吃的, 里面一只烤鸡, 块, 随便一份面条, 炒饭几十块, 建议多带几瓶水进去"
83,138****1429,2017/10/11,"我们, 个成人, 带一个, 米零几公分的孩子, 在国庆期间出游, 假期携程只卖双人票, 还有儿童和老年票, 并在网页上说明, 双人票不适用, 米以下儿童, 高, 米至, 米需购买儿童票, 于是, 给, 个大人买了双人票, 给孩子买了儿童票, 还有一个成人没票, 我们就计划提前去长隆买张单人票, 到长隆一问才知道, 双人票其实就是单人票的, 买一赠一, 形式, 根本就是可以带孩子进去的, 这样一来, 我们现场花, 元买的单人票, 不但解决了一个成人票, 还可以带孩子进去, 而我此前在携程买的儿童票, 就变成多余的废票, 重要的是, 携程还不给退, 总结, 携程的产品说明有问题, 也没和长隆沟通好"
84,M45****212,2017/6/27,"端午节去了, 还行, 就是说玩后评论返现, 一直忘了评论, 最近想起评论了, 才跟我说超, 天无法返现, 我也是醉了呵呵, 当时订票的时候怎么没注明时间"
85,_CFT0****2814,2017/10/7,"玩的很开心, 但是建议在外面准备好游泳的工具, 里面的, 泳衣贵到你想不到, 还有凉人字拖要, 贵到想哭"
86,勇敢的心0228,2017/8/2,"人太多, 好的项目排一个半小时, 一天下来, 玩不到, 个项目, 建议不要去那里浪费时间和生命"
87,_WeCh****51164,2017/5/16,"不值得去, 适合小孩玩, 一点也不刺激"
88,_CFT01****1489110,2017/9/14,"一般, 遇台风, 没玩好, 提前离场"
89,双双宝贝,2017/9/3,"真的没什么特别的, 徒有虚名而已, 名不符实"
90,M23****5665,2017/8/17,"暑假去人挤人, 而且又热, 很容易晒伤"
91,M22****1375,2017/9/8,"排队太久了, 而且大多都是滑道"
92,152****7698,2017/5/7,"第一次去就遇到了雷暴雨, 网上也没事前公布会有明星过来水上乐园拍剧, 本以为一开园就可以玩, 足足等了一个半小时, 真恶心, 只有明星的时间才叫宝贵"
93,豪杰,2016/9/17,"天气太热, 气温和消费太高, 印象最生刻的是在水上乐园玩到下午时突然下起了大雨, 景区的后勤服务跟不上, 害得我们被淋湿得落汤鸡似的, 再次为乐园的性价比给个差评"
94,radium828,2016/8/28,"在携程订票只是方便, 考虑是公司的诚信, 不敢在其他网站订票, 长隆水上乐园人太多, 下午, 点才进去, 基本玩不到什么项目, 还不如找个泳池游泳"
95,Leon0628sz,2016/9/12,"很一般, 门票太贵, 不值"
96,cyy要和肥对抗到底,2015/8/27,"十一点到的, 晚上五点半走人的, 直接被晒伤, 所以一定要做好防晒工作, 里面的寄存很贵, 小的三十, 大的五十, 还要押金, 没买防水套, 园区购买, 四十块一个, 吃的喝的都超级贵, 自己带东西啊, 但不要被发现, 设备其实也没几个, 就是占地面积够大, 人特别多, 好多项目小朋友不能玩"
97,co****e,2014/7/21,"玩的项目不算多, 每个项目都要打队, 外面, 元钱的酸辣粉, 里面要, 外面, 块钱的雪糕, 里面要, 不让带任何吃的东西, 包括水, 强制消费, 漂浮船, 人的要, 元, 人的要, 元, 性价比非常低, 其实大部分人玩的就是造浪池, 和小区的游泳池差不多, 个人觉得不值, 不推荐再玩"
98,M10****867,2015/6/30,"端午去的, 第一, 节假日人太多太多, 挤不动的感觉, 排一个项目起码一个小时起, 第二景点内吃的喝的好贵, 泳衣拖鞋贵的不行, 第三当天的太阳好大, 都晒傻了, 四个人干掉, 百块, 总之就是玩不好, 吃不饱, 钱花了, 第一次没啥经验, 下次应该体验会更好一点"
99,泉泉227676,2015/8/26,"越来越贵, 越来越多人, 有时搞活动更人山人海, 租个柜子也排几小时的队, 更别说玩了"
100,M78****60,2014/8/15,"现场买家庭套票也是, 且就只几个项目, 一点也不值这个价, 不会再去第, 次了, 且第一次的订单因银行卡无法支付后, 连用的, 元现金券也不能退, 联系客服说补送, 的啥啥积分, 结果一分都没见着"
101,205****023,2016/2/3,"好玩, 埏刺激的, 景色漂漂的呢"
102,_CFT01****0531317,2016/7/25,"性价比一点都不好, 园不大, 项目屈指可数, 连冲浪都不刺激, 无聊死了, 还没有九峰的水上和玛雅好玩"
103,189****2858,2015/10/25,"不知道是不是去的时间不对, 周六去的, 人超多, 是看别人去玩的"
104,鲍小姐,2015/9/1,"没毛巾, 湿湿的冷死小孩子拉, 逼着要去住你们的酒店是吗"
105,ARIESER,2014/4/22,"可能是第一天开园, 那个人山人海啊, 暴多, 玩一个项目就要等一个多小时, 不过携程的服务我很满意, 希望继续努力"
106,Leon0628sz,2016/9/12,"去过很多水上乐园, 长隆这个感觉很一般, 不值得推荐, 门票太贵, 里面布局拥挤, 感觉特别压抑, 另外租游泳圈还要钱, 而且贵的离谱"
107,_WeCh****82643,2015/7/6,"一下的孩子不划算, 很多不能玩, 东西超贵, 还不让带吃的东西, 东西可以花钱保管, 比较安全"
108,D11****992,2015/7/2,"以为长隆水上乐园很大, 但到了才知道能玩的项目很少, 门票也很贵, 总觉得不值这个价钱"
109,M78****60,2014/8/15,"现场买家庭套票也是, 且就只几个项目, 一点也不值这个价, 不会再去第, 次了, 且第一次的订单因银行卡无法支付后, 连用的, 元现金券也不能退, 联系客服说补送, 的啥啥积分, 结果一分都没见着"
110,205****023,2016/2/3,"好玩, 埏刺激的, 景色漂漂的呢"
111,_CFT01****0531317,2016/7/25,"性价比一点都不好, 园不大, 项目屈指可数, 连冲浪都不刺激, 无聊死了, 还没有九峰的水上和玛雅好玩"
112,189****2858,2015/10/25,"不知道是不是去的时间不对, 周六去的, 人超多, 是看别人去玩的"
113,鲍小姐,2015/9/1,"没毛巾, 湿湿的冷死小孩子拉, 逼着要去住你们的酒店是吗"
114,ARIESER,2014/4/22,"可能是第一天开园, 那个人山人海啊, 暴多, 玩一个项目就要等一个多小时, 不过携程的服务我很满意, 希望继续努力"
115,Leon0628sz,2016/9/12,"去过很多水上乐园, 长隆这个感觉很一般, 不值得推荐, 门票太贵, 里面布局拥挤, 感觉特别压抑, 另外租游泳圈还要钱, 而且贵的离谱"
116,_WeCh****82643,2015/7/6,"一下的孩子不划算, 很多不能玩, 东西超贵, 还不让带吃的东西, 东西可以花钱保管, 比较安全"
117,D11****992,2015/7/2,"以为长隆水上乐园很大, 但到了才知道能玩的项目很少, 门票也很贵, 总觉得不值这个价钱"
118,M27****7711,2020/2/27,"游戏还是挺好玩的, 人太多了, 把两三个小时队才可以玩一个项目, 唉, 毕竟是长隆嘛, 人都还是很正常的, 而且我觉得性价比不高, 我好不容易玩来一次广州, 结果就是来排队"
119,泰安浦司马迁,2020/3/21,"只能说一般, 带老婆或者情人还可以"
120,M11****569,2019/12/1,"大多数项目都以安全为由不让小孩玩, 服务员态度又极差, 千万别去"
121,138****1963,2019/11/16,"人太多, 什么项目都要排队两小时以上"
122,138****1963,2019/11/16,"人太多, 什么项目都要排队两小时以上"
123,君临天下W,2019/11/8,"一般, 服务一般, 水脏, 吃的贵"
124,君临天下W,2019/11/8,"水脏, 服务差, 东西质量不好"
125,M32****2522,2020/1/3,晒得瓜皮脱一层
126,织金于禁,2019/7/12,"长隆水上乐园确实还不错, 但是我也希望他能够加强管理, 还有里面卖的防水袋, 质量不怎么样, 我手机进水提前离场, 因为没有手机去搜地图, 就乘坐了水上乐园门口的车, 我说找最近的修手机的地方, 他说把, 后来到了目的地, 他说, 因为我是来旅游的, 不清楚这里到底是怎么一个收费, 但是当我手直修好查看这个地方到水上乐园的距离, 然后点击打车里面的车费在, 块钱以下, 虽然这是在水上乐园的门外, 但毕竟都是他的客人, 希望他在园内有好的管理, 在援外, 我也希望能够严格的进行管理, 这有点让我太失望了"
127,M34****3763,2019/8/20,"租个游泳圈退压金扫码手环后说没那么快到帐, 现在一周了都没有退, 完全没诚信, 骗外地游客的地方, 我再也不会去了, 钱是小事, 被人坑了就把旅游的心情都搞坏了, 景色"
128,631****070,2019/7/21,"周末全是人, 玩一个项目要排队近, 个小时, 玩只有不到, 分钟, 里面还有工作人员在兜售手带, 最低的, 元一条, 带上这个手带有几个游玩项目可以插队, 最贵的, 元一条, 所有项目可以插队, 玩一天基本都在排队了"
129,_WeCh****48917,2019/7/16,"工作人员责任心太差, 音乐大池子沙滩处有人搞气氛, 全场很嗨, 导致一位, 岁小女孩在水中走散, 前排水深到大人腰处, 孩子只有, 在人群中极有可能站不稳而跌在水中, 家长焦急万分恳求现场救生人员, 场内穿制服的工作人员帮助寻找, 拒绝, 要求家长去寻人处登记, 说找到后电话通知, 七点钟登记的, 直到水上乐园关门都没等到联系电话, 现场工作人员十分的不负责任, 最后还是好心的游客帮忙找到"
130,M30****5420,2019/5/3,"可以说是超级差的了, 提前两天找客服改期也是一直耽误, 在我还没取票之前明明可以改期却欺骗游客不能改期, 携程客服还白白耽误我两个小时的时间, 说帮我解决问题结果一直道歉也解决不了, 结果一进来一个项目也没玩到"
131,艾尔赛里托鱼玄机,2019/10/4,"打电话找不到人工服务, 而且在线客服回消息都不认真看, 我本来买错了买成了明天的, 想改成今天的, 客服说半天都是可以, 结果等好久最后还是说改票要, 我在大厅说不能退我早就改票了, 结果客服一直都是说可以, 点半到的景区, 点半才弄好, 结果还是不能, 浪费游玩时间, 不能就早点说啊"
132,_WeCh****954657,2019/9/28,"漂流那里租船那个三四十岁的女服务员态度差极了, 话都没说完直接上来, 还很凶的态度, 插嘴插的这么厉害, 你上级怎么教你说话的, 没拍下你名字, 下次见到你点名道姓批评你, 这种人这么能在这里上班的, 直接开除算了, 没礼貌, 影响我一天玩的心情"
133,坑中之坑,2019/9/13,"不建议节假日来, 只玩了一个项目, 排队两个半小时, 主要是竟然可以花, 多块钱买个手环就可以不排队, 这个做法恶心到爆, 出来玩的, 人家不会缺你这, 多, 这种做法太恶心, 对得起排队的人吗, 这种跟贿赂没有什么区别"
134,黑黑黑太子,2019/7/28,"太多人了, 太太太太太太太太多人了, 体验最差的是停车场, 所有离水上乐园近的停车场都停满了, 逼着你停到比地铁还远的停车场, 而且根本不是停车场, 就是一块烂地, 全是泥沙, 走了十万八千里, 不要开车去, 切记, 更衣室就不要说了, 拥挤得要命, 每个游乐项目都要等, 个小时, 疯了简直"
135,110****293,2019/7/10,"我就说几点收费问题, 一个必须的防水袋收费, 虽然水袋质量很好, 储蓄柜这不是必须的么, 还收费, 一个小柜子, 洗澡的地方连沐浴露肥皂都不提供, 也要说好的地方, 安全做的不错, 安全员很负责, 玩耍的地方也不错, 就是收费太贵太贵了"
136,M46****385,2019/9/14,"排队排到你想哭, 就一个低级儿童滑滑梯排了半小时, 格局不合理, 号线出来已经走路走了快, 公里, 入了门, 还得走几百米才更衣室, 更可笑的是寄存衣服还得再走, 公里, 再折回来玩, 保证, 小时腿废的节奏"
137,E11****589,2019/10/14,"孩子要求穿浮力衣, 浮力衣又都长一样, 孩子穿上没有很明显的外观, 苦了不想玩水的大人, 一天都在不停的找人, 找人还不让广播, 只能是文字滚屏, 只能能启祷工作人员能看见, 还能在清一色人海中找到, 最后还是孩子看见我自己跑回来的, 差点误了返程的车, 另一个不好的地方是居然衣柜要租, 玩了这么多水上乐园第一次见要租衣柜, 好在十一搞活动, 门票便宜, 忍了"
138,wzwlss,2019/8/13,"人太多, 花钱可以加队, 让正常排队的人情何以堪, 玩个游戏花钱可以加队, 对大多数人不公平, 不让带吃的, 里面的吃的可以随便要钱, 经营者费心了, 能做的你们都做了"
139,JeasonZhu,2019/9/14,"原计划午饭后进场游玩儿, 结果不到一点钟的时候遇到瓢泼大雨, 一分钟保证自然湿身, 根本就没法玩, 按照携程规则退票还要所谓的手续费, 无语"
140,M25****0971,2019/9/21,"这就是个垃圾, 门票看似很便宜, 里面东西好贵, 一双拖鞋, 多, 泳衣随便一件三四百, 买个袋子, 元, 还有其他的都贵, 服务员长得那么美, 怎么感觉那么肮脏"
141,_WeCh****586875,2019/10/10,"超级多人, 更本玩不了什么, 不要去, 水特脏, 温水池很少, 玩一个项目, 排队一小时, 坑"
142,M32****322,2019/7/4,"排队离心滑倒, 排了整整一个多小时, 快轮到我的时候, 突然说项目关闭了, 没得玩了, 连一个解释都没有, 想要去玩一定要买快速票, 不然玩不了几个项目"
143,M30****6724,2019/6/24,"早上一直下大暴雨, 打雷, 一直联系携程售后找不到人, 改不期, 后来长隆售后可以帮我改期, 不是在携程买的票都可以改期, 携程不能改期说带来不便, 打雷去玩是拿生命开玩笑吗, 携程差评差评超级差评"
144,鹤发童颜之年,2019/10/6,"不好玩, 身高限制很恶心, 租个圈圈手腕带丢了不给退押金, 体验感很差"
