,昵称,时间,评论
74,zy380011767431,2014/9/15,"从未看过马戏表演的朋友可去看看, 十年内容都没什么变化, 价格太高"
75,_WeCh****35322,2016/2/13,"没有传说中的好看, 全程, 分钟没什么亮点, 门票很贵完全不值这个价"
76,_M13****9888,2016/10/14,"没有想象中的出彩, 想多看点动物的, 只得了了一些, 整体马戏节目内容一般般, 票价加选座价格性价比低了点"
77,205****363,2014/11/12,"马戏节目的整体构思不错, 但马戏大剧院的门票价格偏高, 看马戏表演变成了一项奢侈消费, 不能惠及普罗大众"
78,iamth,2014/6/13,"坑爹的, 婴儿都要买全票, 缺钱得紧哦, 差就一个字"
79,M67****51,2014/8/13,"马戏不错, 携程的服务不错, 是园区管理太烂, 太商业化, 让人反感"
80,M67****51,2014/8/13,"携程服务很好, 马戏也精彩, 但园区管理太商业化, 让人反感"
81,M33****117,2020/1/13,"年了, 几乎没什么新节目, 还是老一套, 且节目质量下降太快, 去迟了没好位置的位子, 散场走时没有, 免费接驳车了, 堵车厉害到出不了门, 日新月异的中国, 长隆马戏还抱着, 老一套, 在胡日子, 恐怕日后难了"
82,M25****4575,2020/1/20,"没有明确告知和动物园不在一起, 结果排, 个小时后进园, 还看不上, 提前联系, 还长时间打不通电话, 服务细则不清楚"
83,101****723,2019/12/24,"买了, 区, 完全做不了, 不按照区域做, 人多乱坐, 去晚了就只有边上, 这票买最便宜的就好了, 花多钱买好区域没用"
84,631****668,2020/1/16,"请见上传的照片, 价格相差很大, 建议在现场购买"
85,631****668,2020/1/16,"请见上传的照片, 价格相差很大, 建议在现场购买"
86,E05****97,2020/1/14,"之前没对比, 后来订了才发现价格太贵, 两个人联票比飞猪贵了, 块, 以后还是用飞猪"
87,李筱容11,2019/11/8,"太坑人了, 婴儿都要给票, 不是一般的黑"
88,hero790108,2020/1/8,"物有所不值, 长隆马戏只是个传说"
89,Julie Ji,2019/10/6,"对长隆真的是失望透顶, 不说里面工作人员热不热情吧, 他们服务是相当的冷漠, 我们在长隆马戏团门口有员工在推销马戏团里面的食品说是可以提前入园, 我们正看着菜单要点单, 突然人掉头就走说是时间到了, 你们排队吧, 留我们几个朋友凌乱在风中, 你丫好歹服务完我们这一对, 或者道个歉, 掉头就走是几个意思"
90,nico町町,2019/7/28,"都是家庭套票惹的祸, 以为捡到了点便宜, 结果花了更多的钱, 米, 以上的小孩不让进现场一度混乱, 最后被迫补了一张成人票, 差点来不及位置也坐到边边上, 帮朋友买的票实在对不住, 发现回来这么久了还过不去这个梗"
91,蓓受关注_,2019/8/20,"一等座, 给我第, 排, 位置偏, 从过道出场的演员很多, 每次都要回头看, 前面的人站起来我就得跟着站起来, 否则什么也看不到, 费死劲, 就这样也没录着什么东西, 现场一片混乱, 演员都是站在水池前面并面向正前方位置的, 我们这边看到的是演员的后背, 多的票价你说心里梦平衡吗"
92,_wech****673259,2019/8/6,"体验非常差, 平时成人, 票也不过, 我订的, 一张的普通票, 被安排在了, 号观众区域, 只能看到演员的背面, 导致表演完全没有记忆点, 整场只能看到正面区域的观众嗨皮"
93,m57****217,2019/8/7,"非常糟糕的七夕, 早早来排队取票, 结果取不了票, 号码不是本人的, 也没收到短信通知, 差点耽误我的行程, 严重影响出游心情, 最后入场坐到角落里, 啥也看不清, 一共买了, 张, 元掉水里不说, 还浪费我时间, 如果我准时来, 估计都进不了场了"
94,M12****872,2019/7/23,"本来人在珠海, 一不小心订成广州长隆的马戏票了, 发现的时候, 离马戏开始还有两个小时, 走广州已经来不及了, 马上联系携程, 可是携程规定, 开始前, 小时就无法退改签, 两大一小的票, 打水漂了, 我就是搞不懂, 这些票这么火爆, 开演前根本买不到当场的票, 可是, 小时前就无法退改签, 这算不算霸王条款"
95,M51****338,2019/7/8,"这张票根本没用, 携程一样不给退, 从发现订错票, 客服一直叫你等, 拖延时间, 到后面还怪你眼瞎没看清楚, 服务态度很差, 这个事还没结束, 如果网上消费不是产品, 不受保护, 携程一个大公司对顾客是这样态度, 不知道企业如何生存长久"
96,M24****557,2019/8/9,"没通风, 闷热的像火焰山, 座位没编号没有分区, 要想好位置要么加钱上, 要么提前一个小时占座, 节目烂的比白菜还烂, 一家人花了, 多感觉被骗, 去过澳门水舞间就有对比, 价钱差不多但是内容和服务只有人家的十分之一, 我本想只给半颗星的, 但是没有, 因为我真的伤心了, 谁去谁知道"
97,139****3622,2019/10/5,"国庆节也不是很多人, 成人, 百块一张的门票, 以为很精彩, 但非常的一般, 三分之一的时间是小丑在暖场, 换景, 从头到尾表演很拖时间, 不建议去不建议去"
98,蓓受关注_,2019/8/20,"一等座, 给我第, 排, 位置偏从过道出场的演员很多, 每次都要回头看, 前面的人站起来我就得跟着站起来, 否则什么也看不到, 费死劲, 就这样也没录着什么东西, 现场一片混乱, 演员都是现在水池前面并面向正前方位置的, 我们这边看到的是演员的后背, 多的票价你说心里能平衡吗"
99,xiaoxiaoyanzi,2019/8/13,"超级不值得, 多的票跟在家, 多的票看得内容差不多, 还不如, 多的惊险刺激"
100,d17****57,2019/10/4,"马戏好看, 只是携程的票价太坑了, 普通票四百多, 人, 结果我们在长隆酒店问普通票, 人, 太坑了啊"
101,Goforwarder,2019/8/25,"强烈不满长隆大马戏的霸王条款, 米以下的儿童不建议进去, 如若坚持进去, 则必须购买儿童票, 哪怕是不会走路的婴儿, 也必须购买儿童票, 检票工作人员态度极其恶劣, 完全没有服务人员的姿态, 如若有第二个选择, 坚决不去长隆"
102,_M13****5612,2019/7/16,"携程服务太差, 我只买到成人票, 没有买到儿童票, 既然跟我说法律没有规定携程必须让我买到儿童票, 这样的服务让人汗颜"
103,300****503,2019/7/5,"暑假千万别来, 演出没有以前的内容多, 而且坐地起价, 我一个, 公分的小孩看大马戏还要票, 而且座位也很不好"
104,M41****777,2019/8/6,"大马戏很一般, 因为不知道动物园也要当天进去, 买错票, 多就看了下场边缘位置的表演, 表示无奈"
105,M34****2052,2019/8/12,"很一般哦, 很多时间都是群演在磨时间, 里面的东西超级贵, 外面, 元的冰激凌, 块钱一个"
106,枝子2007,2019/9/11,"马戏很精彩, 秩序维持的不好, 说是酒店客人有单独的区域, 进去以后就没人管了, 里面工作人员更少, 去晚了位置很不好, 座位就是个小塑料板, 特别简陋, 赶上下雨天气很冷, 我们的位置正好对着风口, 回来孩子就生病了, 正好场馆音响效果一般, 特别的吵, 坐在后面什么也看不见, 同样的票价什么也没看到, 真是不值得, 人太多秩序维持的太差了, 不建议去看"
107,M48****272,2019/8/3,"景点名称重复, 且不是一个地方, 很容易混浠, 退票改签难, 到现在也没回复"
108,M48****272,2019/8/3,"景点名称重复, 未开演前曾提出退票或改签, 订了二张票, 只受理了一张"
109,菜芽哥,2019/7/20,"门票很贵, 但是位置普通的都安排在两边, 只能看演员侧面, 很差劲"
110,M41****777,2019/8/6,"一般, 不值这个价钱, 既然去了长隆就选择去看一下吧了"
111,_WeCh****520721,2019/9/15,"骗小孩都骗不了, 垃圾中的战斗机"
112,铁骨头,2019/7/10,"千万别去看, 就是个坑爹的, 说是国际马戏, 其实是国际杂技, 只有几种动物出来跑二圈就没了, 去时孩子还高兴了半天, 看到一半看睡着了, 没看完就退场了, 不值票价"
113,d17****57,2019/10/4,"马戏好看, 只是觉得携程的价格太坑了, 四百多一个人的普通票, 结果我们问酒店才卖, 人, 太无语了"
114,穆似掌心纱,2019/8/6,"发信息不发完整, 给的的号码跟手机尾数完全对不上, 耽误了半个多小时, 等再进来, 只有尾座了, 闺女一进门就开始生气"
115,_wech****673259,2019/8/6,"体验非常差, 个小时, 分钟表演坐在负角度观看, 只能看到演员的背面"
116,向大汉儿,2019/7/28,"人在珠海买成了广州的票, 系统也不会自动关联信息提醒一下, 等发现的时候还不可以退不可以换"
117,向大汉儿,2019/7/28,"人在珠海买成了广州的票, 系统也不会自动关联信息提醒一下, 等发现的时候还不可以退不可以换"
118,_WeCh****282513,2018/12/30,"购票的时候是, 场次, 结果, 就开始了, 座位也没有了, 就看看演员屁股, 这个购票链接时间都不对, 害人, 差评"
119,M17****698,2019/8/6,"馬戏團表現精采, 但安排很差, 酒店住客被安排到極差的位置, 很差的一次住酒店體驗, 問我們透過什么平台訂房間, 知道是, 後, 安排在三樓, 最低的房間, 前台的女同事說聽不懂广东話, 叫我们說普通話, 我心想这不是國際酒店嗎, 为什么这樣, 不會叫別的同事嗎, 真的要我們叫才叫別的同事協助嗎, 還有, 訂的就要安排在最低层的房間嗎, 这个我真的覺得他們超級差的, 住他們的酒店並沒有什麼優惠喔, 真的在外面住酒店會比較好, 國際酒店, 真的差評, 希望可以仿效一下別人的服務, 設施"
120,M12****872,2019/7/23,"本来人在珠海, 一不小心订成广州长隆的马戏票了, 发现的时候, 离马戏开始还有两个小时, 走广州已经来不及了, 马上联系携程, 可是携程规定, 开始前, 小时就无法退改签, 两大一小的票, 打水漂了, 我就是搞不懂, 这些票这么火爆, 开演前根本买不到当场的票, 可是, 小时前就无法退改签, 这算不算霸王条款"
121,118****528,2019/2/12,"巨坑啊, 写着, 米, 以下儿童免票, 到景区取票告知按人头算门票, 一个, 米, 高的小孩, 个, 个月大的婴儿被强行补了票, 工作人员还告知不推荐, 个月大的婴儿进去, 一家, 口人出来, 个大人门票买了, 小的不进去问下谁来抱, 大马戏门票就是个巨坑, 不推荐"
122,M63****67,2019/2/2,"差评, 宝宝不到一米也收, 多, 满价票, 我以为表演有多出色呢, 还不如三亚的千古情惊艳, 而且价位才, 人家宝宝不收费, 票价才, 里面吃的多玩得多, 还有小动物园, 这个长隆的演出是超不值, 不推荐特别坑"
123,_wech****673259,2019/8/6,"体验非常差, 小孩子都睡着了, 个大人, 个孩子一个半小时花费近, 块钱打了水漂, 买了票也不写是哪个区第几排第几座, 最后被安排到了, 区, 负角度看表演"
124,nico町町,2019/6/29,"家庭套票两大一小, 携程明明注明超过, 米, 的青少年可以, 到验票口不行要求补青少年票, 青少年票又没了只能补成人票, 多发了好多钱还差点进不去, 急的快吐血"
125,139****3622,2019/10/5,"真的是长隆所有的最差的一个馆, 三四百的门票真是不值, 不要去了"
126,小云南2018,2019/7/2,"服务差到不会去第二次, 中国的杂技似乎教给老外后, 返回来赚国人的钱"
127,_CFT01****4169597,2019/5/12,"差评, 因一直出玩都是用携程网, 相信你们是一个可靠的出行网站, 但真人失望, 昨天为了从珠海赶到广州看大马戏, 在路上订的票, 当时网站上没有选择时段的地方, 也没有注明时间, 就在网上查看了时间就一个时段是晚上, 点的, 订票后还接到携程网上的提醒, 大马戏开园时间是, 结果取票后被大马戏工作人员告知是, 点的票, 我朋友立马到携程网上查看买票信息, 还是没有看到出演时间, 同时我也与携程客服沟通了, 把情况告知后要我等到晚上, 点再给答复, 再次打开携程网没好久就发现表演时间和时段就出现在网站上, 晚上, 确实与我联系了, 但就一直告诉我网站上有时间和时段, 是我自己没看到, 所以不会接受我的退款要求, 想请问你们这样的答复合理吗, 你们这事后补上去然后再告诉消费者你们没有责任, 这是你们诚信在哪"
128,M16****145,2019/2/20,"居然在完全不是演出方向的地方售卖座位票还没有任何折扣, 我坐在, 区全程看的侧面和屁股, 根本就不是演出剧情规划的方向, 演员演戏到我们前面连灯光都关闭了直接跑到幕后, 这是哪个傻逼策划设计的座位席, 坑钱未免太不要脸了, 我走过长隆动物园海洋王国剧场座位席设计都有这个问题, 根本不考虑坐在这些地方的观众的观影体验, 我到过迪士尼大剧院也是坐在最左边的地方里面座位席设计至少保证坐在最偏的地方观众也能体会整体剧情的, 还有两边的表演阁楼来弥补这种座位的劣势, 我宁可留下遗憾也不愿意体会这种浪费时间的拙劣表演, 演出没有结束我就提前出来了, 还有说是马戏团其实一半以上的时候都是人的杂技表演, 演出舞台是开放的没有笼子想看狮虎兽表演的要失望, 动物基本都是出来露个脸就走了, 还有基于糟糕的体验我以后都不会来了也不会推荐别人来"
129,Strangers_,2019/9/22,"比现场购票价格翻倍了, 景区餐食物价不是一般的高"
130,186****0725,2019/6/8,"短信提醒有误, 导致几乎错过全场, 携程服务差"
131,m25****8256,2019/8/13,"我是, 月, 号订的, 号的票, 定了三个成人票, 最后才看到, 米以下儿童是, 元, 成人票是, 元, 我就, 号给携程人工咨询, 最后回我电话可以到景区换, 我就, 号三点半就到景区排队, 五点的演出, 我想早点入场排队, 要知道去晚了就要排到后排小孩子看不到, 结果去了景区长隆工作人员说这个钱是携程网收的, 找携程, 我就找携程, 让我等半个钟赶紧帮我处理, 结果从三点四十分等到四点半了还没处理好, 打了五六个电话都是等等等, 如果前面就说退不了或者不要告诉我等到四点二十左右回复我, 我就不用那么热带着孩子门口等着, 后来又说大概五点左右在回复我, 五点都开演了, 你让我们带着孩子坐到最后吗, 还好网上取票排队的人少, 不然可能票都拿不到了, 真是一肚子火, 事后隔了一天了也没人来处理, 第一次给商家差评就是你们了, 刷新了我十多年的网购评论记录, 我这个人知道网销也不容易, 可是你们太过分了"
132,M25****4202,2019/7/17,"垃圾的要死, 根本不值这个钱, 一场破玩意儿不停的演演几年, 性价比比电影低多了, 都是些外地过来旅游的傻瓜被广告吸引过来在看"
133,320****299,2019/2/7,"本想定的, 年, 月, 日的长隆国际大马戏的, 点的票, 一家, 口按时如期到达长隆国际大马戏剧场门口取票, 才发现定的是, 月, 日的, 张票, 与携程沟通, 等了约, 个小时的时间, 回复说分别与, 月, 日和, 月, 日均有短信提醒我, 为, 月, 日门票, 可我查询短信, 根本没有短信提醒我, 就这样, 如此昂贵的门票, 就这样过期了, 希望, 能够给个合理的解释"
134,新余庞统,2019/8/12,"不好, 不好不好, 太不好, 大家不要去"
135,M23****5580,2019/7/15,"买错地方了, 广州长隆, 珠海长隆没分清, 损失惨重"
136,_ucwe****509235,2019/7/6,"表演的内容在其它马戏杂技节目中看过, 武汉杂技厅环球大马戏节目, 票价, 个节目一样的, 近两小时, 而这才, 小时, 只有, 个节目, 不值得, 一次就够了"
