,昵称,时间,评论
27,Eason依顺,2018/9/10,"我差不多每年都去玩这一年我没有玩很多个游乐设备主要调整很多人玩的, 虽然排队排一个多小时的时间玩, 但是我觉得设备越来越差了, 没有进步, 以前那种激情没有了"
28,M23****9763,2018/4/29,"第一次来, 垂直过山车有挑战性, 火箭过山车, 人太多, 等死人, 特技剧场表演还可以, 里面吃的太贵, 景色没有特色的, 感觉没有深圳欢乐谷好"
29,向往神鹰dhm,2018/12/16,"食品和水都不能带, 毫无道理, 买, 加, 可不用排队任玩, 是无形中的加价"
30,Kevin0929,2018/12/7,"买雨衣是个坑, 买之前不量身高, 买了雨衣说身高打不到不让玩, 还不退雨衣"
31,135****2233,2018/8/8,"项目多但是布局差, 而且不新, 沿路指示不明, 卫生间少, 室内项目没有休息椅, 椅子都在太阳下, 二孩的慎重来, 没, 米的慎重来, 抱手上的不用来, 卖水的巨多, 巨贵, 拖着二宝都是泪呀, 还是去方特玩吧"
32,森七微凉USA,2018/12/1,"里面东西超贵还特别难吃, 不让带吃的也就算了, 存储箱还收费那么贵, 大屏幕有几个明星录制节目视频, 都循环播放好几年了也不换, 里面玩的东西还特别少, 哎"
33,丿汐月,2018/10/21,"周末人太多太多, 除了人什么都看不见"
34,M22****2538,2018/10/29,"人太多, 不值得玩, 过山车排队都要三四个小时, 每个点基本上都排队, 个小时"
35,M40****361,2017/7/30,"打电话给酒店客房部的时候, 说只要订了酒店就送门票, 结果, 的时候说并不送, 我让他们差通话录音, 查出来以后说不能给我听, 不就是做贼心虚吗, 最后房间升了, 但也不怎么样"
36,纳兰飘雪,2017/5/30,"不会去第二次的乐园, 国外国内游乐园去了不少第一次碰到, 体验最差的乐园没有之一, 排队吃饭到处都有人抽烟简直是走到哪里都能闻到烟味, 男的女的都抽无视禁烟标志, 广东人是有多爱抽烟啊, 怎么就没有工作人员来劝阻呢"
37,M27****2457,2018/10/28,"服务态度太差, 里面的东西太贵, 体验不好"
38,M47****292,2018/10/10,"玩的东西其实一般, 买的吃的非常山寨, 价格也贵的一逼, 这个价位不如去迪斯尼"
39,kx****g18,2017/10/15,"真的是超级多人, 虽然做了一些预案, 但总体体验还是很差, 这么有气氛的节日, 居然没有夜场, 可以理解是为安全考虑, 那你就该限制人流啊, 毕竟万圣节你搞一个月, 又不是一周, 之前需要带小朋友才能玩的, 今天不用带也可以玩, 可以理解为疏导人流, 那哈比王国, 点就关门是什么意思, 园区, 点才清场, 带小朋友根本就没地方玩, 全部项目都在排长龙, 分钟到, 分钟一个项目, 体验太差了"
40,M28****5732,2018/11/16,"没有特色, 一点点大, 阿哈哈哈哈哈哈"
41,M56****586,2018/10/30,"差, 不好玩没气氛差没珠海长隆好玩"
42,下一站去哪里玩,2018/6/14,"各方面都还行, 就是那个搞纹身喷涂哪家态度特别恶劣"
43,180****3396,2017/12/28,"垂直過山車到下午才開放, 自由落體到我下午, 點離開時都還沒有開放, 延後開放或是不開放的項目都沒有任何的預警告知, 這樣對一早, 就入場的消費者來說非常不公平, 不便宜的門票卻沒有辦法盡興的玩樂, 真是沒好印象"
44,_WeCh****30866,2017/6/2,"好玩刺激, 刚好碰到节假日, 有优惠, 挺实惠"
45,_WeCh****83785,2018/3/1,"强制性消费不给带食物进入是我认为最不合理的, 卖的东西一个鸡腿, 一个饭都, 多, 不给带食物和强制性让人里面消费没什么区别, 游戏倒还好, 没以前好玩, 不会再去了"
46,_WeCh****857485,2017/12/7,"进去看到很多人有带吃的, 里面吃的好贵"
47,118****516,2017/6/8,"价格可以, 主要是期望值太高, 可能游乐场也玩过几个, 感觉感觉一般, 刺激度也一般, 都好袖珍, 时间太短"
48,_WeCh****476208,2018/2/22,"极尽限制所能, 极力想法抢钱, 交钱便可插队, 除项目刺激外, 其余体验均差"
49,M24****2529,2017/10/29,"取票好快, 进园了超级多人, 每个游乐项目排队起码一个钟以上, 还能, 买绿色通道不用排队, 比外面全部贵, 元以上"
50,_WeCh****451104,2018/3/1,"不太好玩, 下午二点进园, 点半基本全部项目都停了, 太多人, 基本没玩"
51,_WeCh****742188,2018/4/30,欢乐世界和水上乐园是一起的
52,_WeCh****02322,2017/12/27,"不会再来, 真的, 玩什么都要排长队, 园里吃的贵的要命, 真心不推荐"
53,E42****285,2018/1/9,"万圣节去的, 人太多, 只完了垂直过山车一个项目, 性价比奇低, 尽量避开节假日出游"
54,_WeCh****857485,2017/12/7,"没有广告上说得那么好玩, 唯一的感觉地方够大真的能逛一天"
55,_WeCh****701647,2018/1/13,"玩的还行, 小丑服务太差, 随随便便, 骂人我也是醉啦"
56,M24****2529,2017/10/29,"没啥好玩的, 排队排队排队, 人头人头人头"
57,M18****841,2017/4/23,"太贵了, 除了门票, 进去了还想着法子收钱, 如果你准备不充分, 行旅又太多, 还要进去花钱呢, 就是玩过山车而己, 不值当"
58,M24****6173,2017/11/7,"人多人多人多, 点去玩到, 点就只玩了, 个项目, 整个晚上都在排队, 不过还是开心啦"
59,十万个为什么丶,2017/7/8,"去了很多次了, 总体来说还是很不错, 只是女朋友太胆小, 很多项目不敢玩, 唯一觉得不好的是那个老爷车的项目, 工作人员态度恶劣而且非常死板, 导致最后很不愉快, 影响整个游玩过程"
60,M61****361,2017/8/6,"游玩内容少, 景区小, 唯一的优点是排队时间比上海欢乐谷, 迪斯尼, 常州恐龙圆等少多了"
61,_CFT01****8658949,2016/6/22,"项目很刺激哦, 票价还便宜, 很好玩"
62,M59****950,2017/8/6,"不好玩, 感觉太小, 都没有什么可以玩的"
63,M17****834,2017/4/30,"太多儿童设施, 除了垂直和极速摩托还可以外, 已经没有魅力可言, 足可作为一般游乐设施, 而不需高门票"
64,M48****598,2016/10/31,"人太多不好玩, 不知道是不是人太多才不是很吓人"
65,1.01067E+11,2014/6/6,"比较普通, 人太多, 等候时间太长, 一般要, 小时"
66,M43****506,2016/9/13,"由于是特价票, 所以人实在太多, 排队时间太长, 所以没有一个有效的管理, 真是排队两小时, 玩就两分钟, 有下次都唔占这些小优惠, 真的是痛苦了自己, 总之太差了"
67,5200,2015/10/23,"值得有很多, 景色很美, 有的玩吃喝方便你们要去"
68,追逐约定,2015/3/29,"节假日排队人数太多, 光排队浪费了几个小时, 建议景区多做一些休闲类的项目分散人流, 不能光顾着赚钱不顾游客的感受"
69,蒙苏马诺曾国藩,2016/11/27,长隆欢乐世界里面的东西很贵并不怎么好玩忘了下一次不想去玩了有恐高症的能千万不能去
70,138****7823,2016/10/20,"太多人了, 排队不好玩, 人山人海, 一定不要假日去玩, 看人头, 没意思, 排排排排排排, 人人人人人人"
71,M23****304,2015/10/2,"非周末去人都很多, 各种排队, 设施较旧, 欢乐世界感觉不够大, 随便走走就到头了, 取票也要排队"
72,al****3,2014/5/22,"提前几天订的, 都没给验证码, 去到现场还给客服打电话才能发过来"
73,M31****366,2020/1/9,
74,胖鸭冠冠,2020/1/19,"开开心心带孩子千里迢迢来广州长隆玩, 但是略失望, 园区很多项目的身高都定在, 实在是对, 大小孩的极不友好, 园区入口也没张贴告示, 同样的设施在其他游乐园可能只需要, 遛娃的家长慎选, 尤其是现在全国主题乐园有很多选择情况下, 园区的游乐项目规模和新旧程度现在看也没优势, 园区餐饮也略差"
75,201****977,2020/1/22,"太差, 好几个项目没开, 买的快捷通道, 元, 竟然限制, 个项目只能使用, 次, 购买时并没有说, 在珠海海洋王国游玩是指定的, 来个项目随便玩, 以后再不来了, 差评, 超级差评"
76,怀抱l,2020/1/21,"大摆锤的那个检查安全带的女的服务太差, 我带着手机直接跟我说玩不玩不玩下去, 语气就是赶人的语气, 花钱去受气的, 我呸, 当然其他游乐设施的安全人员很好"
77,M29****7264,2020/1/15,"一天就这样玩, 根本全部玩不了, 人太多了, 特别难排队"
78,320****168,2019/12/28,"门票说的不清楚, 误导消费, 登进去后才知道马戏团还要另外买票, 太骗人了"
79,M28****4100,2020/1/5,"以上的孩子根本没有办法带另外一个孩子入场, 骗人的, 迟迟不退款"
80,E05****97,2020/1/14,"之前味对比, 后来发现比飞猪双人票贵, 以后还是用飞猪"
81,M34****1335,2019/11/2,"辣鸡, 人真多, 不建议去玩"
82,M22****4397,2020/1/26,"太坑人了, 套路太多, 买了两次票才让进"
83,Satria,2020/1/7,把我女朋友都吓哭了
84,_WeCh****595498,2019/11/3,"太坑了, 排队等候好久"
85,尐进,2019/12/19,"分手圣地, 名不虚传"
86,320****604,2019/12/5,"不人性化, 票订重了, 不能退票"
87,187****6767,2019/11/26,欢乐世界没意思
88,187****6767,2019/11/26,一点意思都没有
89,M28****4100,2020/1/5,服务太差了
90,M12****586,2019/11/3,"早上入园后不久感到身体不适, 找到北门的游客服务中心询问, 有一位工作人员在和两位旅客交谈, 实则双方因为婴儿车在争吵, 另一个工作人员看见我了没有主动询问, 爱搭不理的, 几分钟后还是我主动问她, 有没有, 她说, 商店有, 我又问她, 商店怎么去, 问了她两遍才告诉我往那里走, 后面更生气, 因为找不到确切位置, 又去问了一个男工作人员, 他说, 商店下午才开门, 我肚子又很痛, 我男朋友又去问了另外一个工作人员, 能不能出去一会, 我女朋友身体不舒服, 工作人员说, 进来了就不能出去, 我想着不能出去我就在, 上买了送过来, 后面好不容易等到, 小哥, 到了收费口收费员不让进, 小哥很用心一直在和她说, 就不让他进, 就叫我出来拿, 我说我出不去肚子不舒服, 后面说了五六分钟, 我说我去问一下门口的工作人员能不能出去, 和她讲明情况后, 工作人员看见我捂着肚子第一句就问, 是不是身体不舒服, 但是只能一个人出去, 分钟, 后面和她说了一下, 两人都出去了, 我觉得这个工作人员很为游客考虑, 值得点赞, 虽然说游乐场有游乐场的规定, 但规定是死的, 人是活的, 既然我花钱来你这个地方玩, 你是不是有这个义务来保护游客的人身财产安全呢, 既然是服务行业, 最基本的都没有做到, 我想问, 员工有进行过专业培训吗, 最基本的礼仪和处理方法都不会, 好的方面, 游戏设施的小哥哥小姐姐很用心, 就是下午和晚上人比较多要排队等很久, 排队一小时玩, 分钟, 我等了一个多小时都睡了一觉了还没排到我"
91,M29****1471,2019/10/14,"一点万圣节的气氛都没有, 珠海长隆还有四大主题区域, 一条主题村进去都是鬼屋和鬼, 这里什么鬼都没有, 鬼屋做的也很差, 拐几个弯就出来了, 图, 这个小圈圈围起来的这叫是一个地图宣传的主题, 别人没到现场看还以为是个鬼屋呢, 而且游行的鬼也才几个, 珠海那边满街都是, 还拿着电锯追着人跑, 这次来广州长隆简直浪费钱"
92,M36****1406,2019/11/1,"广告打得很好, 里面一般般"
93,137****0566,2019/10/20,"能想象一个接待能力一两万人的游乐场一天塞八九万人是什么感觉, 基本上, 点进场, 排队玩两个游戏就可以走人, 一个游戏里排队最少, 小时, 热门的两小时, 还是不能看其他东西的情况下, 人太多了, 除非有钱买个, 要不就别去凑热闹"
94,_WeCh****32464,2019/10/3,"太多要吐槽的点, 乐园很懂怎么赚中国人钱, 中国家长带头卡队, 园区没有足够的工作人员, 一个项目排队, 小时, 动的太慢, 完全可以分流, 每个项目体验都很短, 半分钟吧, 有些设施一点都不舒适, 硬生生的把你掰着转, 要写还能写好多, 唯一可以下的结论是, 不会去第二次了, 以上吐槽已经是在理解国庆这个节骨眼上作出的判断了, 不接受官方反驳"
95,118****016,2019/8/21,"第一, 服务人员服务态度太恶劣, 有待提高素质, 第二所有设施小孩基本不能玩, 反正各方面限制, 出来旅游度假也就带孩子出来玩玩, 你把所有设施都限制小孩不能玩了, 你为什么还要收小孩费呀"
96,_ZFB20****8068315,2019/9/13,"万圣节的门票排队兑换的人巨多, 是在一个停车场兑换, 周围停满车, 就中间一块空地, 队伍蜿蜒曲折几百米长, 估计得排一两个小时, 人挤人, 关键是停车场啊, 停车场允许排队的吗, 不知道携程怎么审核的, 要是发生践踏事件, 谁承担责任, 带老人和小孩子的请慎重, 不要胡乱拍, 因为没标明兑换地点在停车场他们还不让退钱, 第一次在携程买票有如此差的体验"
97,M22****0380,2019/10/4,"一共买的三张票, 一张成人票两张学生票, 就只有成人票的验证码, 没有学生票的在门口弄了很久中午, 点的太阳很, 结果把票退了重新买的"
98,M25****7162,2019/10/13,"太多人, 也不限流, 买了手环的可以不用排队, 玩个大摆锤排队, 小时, 玩了, 分钟, 比打麻将还要累"
99,携程旅行顾问Ellena,2019/6/19,"遇到拍摄, 火箭过山车需要下午, 点排队可以谅解, 但是, 点去排队时, 工作人员人员又说拍摄没有完成, 还需要再等一个小时才能安排排队的说法是完全欺骗游客的, 因为我们好多人已经听到摄影师说, 拍摄已经结束, 你们要去玩的, 现在可以去了, 参与拍摄的孩子们是有权利去玩, 可是园方是不是应该先考虑游客利益呢, 还有碰碰车, 好不容易排到了, 结果, 因为地面脏引起的故障, 开工前都不检查的吗, 很差的一次游园, 我们还额外买的快速通道"
100,M26****435,2019/10/4,"我只想投诉, 死板的工作人员, 不通情理的态度, 白白排了两次队都拦着不让上去玩, 早干嘛去了, 太热天的带着孩子排队难道好玩嘛, 一肚子火气玩个屁"
101,M34****7529,2019/8/7,"游玩可以, 服务态度不好, 太差, 希望大家一起体检, 望改善"
102,M33****1070,2019/8/12,"工作人员态度极差, 检了票没有把票给我, 害我又买了一张, 差评差评"
103,_YX1****072,2019/7/28,"景点儿子喜欢, 但是携程太坑人了, 说凭借验证码和手机号取票, 结果大热天半天取不出, 最后原来早输别人的手机号百姓, 什么鬼道理, 气愤不已"
104,M33****5789,2019/9/5,"里面吃的, 喝的都太贵了, 又不给带吃的入园, 应该是做生意的手段吧, 吃的太贵了另游客望而却止步"
105,M28****827,2019/10/18,"每次去都是人多得不得了, 这次专门挑个星期五, 结果还是, 那么多人, 你们都不上班不上学吗, 在也不想区了, 今晚去了什么项目都没玩, 逛了一圈就出来了"
106,萨内莫塞尔李时珍,2019/10/17,太贵很挤呀
107,携程旅行顾问Ellena,2019/6/19,"遇到拍摄, 火箭过山车需要下午, 点排队可以谅解, 但是, 点去排队时, 工作人员人员又说拍摄没有完成, 还需要再等一个小时才能安排排队的说法是完全欺骗游客的, 因为我们好多人已经听到摄影师说, 拍摄已经结束, 你们要去玩的, 现在可以去了, 参与拍摄的孩子们是有权利去玩, 可是园方是不是应该先考虑游客利益呢, 还有碰碰车, 好不容易排到了, 结果, 因为地面脏引起的故障, 开工前都不检查的吗, 很差的一次游园"
108,M33****8855,2019/7/6,"服务不好, 买雨衣时那个员工态度很差, 问她时看都没看, 说去那边排, 两次略过我, 先给别人买, 吃饭又太贵, 两个人只买了一份饭, 两瓶果汁, 取饭时给了一瓶芒果汁, 还给了一橙汁, 但明明点了两瓶芒果汁的, 又给错了, 要不是我脾气好, 早就去说了, 而且橙汁又难喝"
109,M22****1871,2019/7/28,"不买便捷手环, 基本可以不用玩了, 那个队可以排到你怀疑人生, 照片都没心情拍"
110,M25****2288,2019/10/4,"每个项目排队至少, 分钟, 一天也玩不了几项, 元一个的腕带也卖完了"
111,_ucwe****509235,2019/7/6,"很小的地方, 没武汉欢乐谷大, 去过欢乐谷和迪士尼的就不用去了, 一样的"
112,M43****287,2019/2/10,"高速路上堵车下不去, 想换个时间不允许, 只能退票, 被扣了, 多的退票费, 又不是故意的特殊情况, 也不能处理一下"
113,186****0726,2019/10/15,"去了都知道的体验, 差差差, 游乐项目过时老旧, 排队奇多"
114,M25****7162,2019/10/15,"排队很绝望啊, 玩大摆锤, 点, 等到, 点半, 真真服了"
115,_WeCh****137846,2019/7/25,坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑
116,M54****146,2019/10/17,景点没问题问题是我恐高
117,怎么称呼合适就怎么来吧,2019/5/2,"园区不许带任何食品, 对带孩子的家长来说很不满意, 也不提前说明不让带食品, 包里装着最终只能存包, 天热出来也不能吃了, 水果, 全部浪费, 这不是变相强制消费吗, 园区怎么也得玩一天, 园区里的食品什么价位大家应该很清楚, 贵些孩子喜欢也好, 可孩子吃不好啊, 建议园区人性化些"
118,M35****6383,2019/9/13,"什么双景连票, 骗人, 去到便宜好多, 一人女士票, 不是两天两个景区任玩的, 还是去, 直接买便宜"
119,_WeCh****08941,2018/12/17,"先说进园, 很扫兴, 孩子睡着了, 拿个皮尺子量身高, 非说超了一米, 孩子只有两岁多, 我也是醉了, 最后把孩子弄醒, 站直了量, 才肯说没到一米, 态度非常不好, 明明差五六厘米, 还一直强调就差一点一米了, 一群神精病, 这么冷天, 非把睡着小孩子弄醒拉出来量身高, 在说进园玩, 买的夜场票, 基本六点都关门了, 没什么玩的, 好不容易有玩的, 类似小火车小小孩玩的, 又限制孩子身高必须一米以上, 来广州这几天, 真心体验极差, 感觉每个人掉钱眼里了, 不论干什么连一毛两毛都要跟你计较, 总之很差"
120,M34****5492,2019/8/4,"游乐设施是真的好玩, 但是, 午餐价格是真的贵, 最低价, 起步"
121,M34****8240,2019/8/5,"垃圾, 买错都不给退, 渣渣渣渣渣渣"
122,M15****560,2019/8/19,"辣鸡, 以后都不会去, 辣鸡辣鸡辣鸡"
123,哦曦曦姐,2019/2/17,"晚上订的, 没有看清时间过了, 点, 边协商边定, 然后定了明天的票, 结果时间订错, 然后协商退票, 就退不了了, 不理解这种霸王条款, 我会进行投诉, 为啥订票不能退, 实在不能理解"
124,Anitan,2019/8/12,"排队三小时, 游玩三分钟, 不划算"
125,_WeCh****343478,2019/2/1,"不怎么样, 全是人, 什么都没玩, 没什么意思"
126,人生一半在旅行,2019/5/31,"所谓的, 日游, 却是分开的票, 明显的劇头, 害我要改签, 花了, 元, 垃圾票, 全是坑"
127,M28****9954,2019/2/9,"东西太贵, 人太多, 玩一分钟等一小时"
128,辣椒妈妈露露,2019/7/2,"没去成票白买了还不给退, 霸王条款"
129,M33****3318,2019/7/22,"因天气, 没怎么玩, 还没有说法, 气气气气"
130,_WeCh****741401,2019/7/23,好多好多话数据挖掘就能发还是就问你一句
131,M32****4155,2019/6/2,"不能节假日去游玩, 排队都排了两个小时"
132,人生一半在旅行,2019/5/31,"什么叫联票, 什么叫, 日游, 结果全部安排在一天, 怎么玩得过来, 垃圾票, 坑死人, 害我改签花了, 元"
133,M32****8956,2019/6/2,"下雨没看到特技演出, 十分不开心"
134,M32****4109,2019/4/27,"进来遇到下暴雨, 什么都玩不了, 都在室内躲雨了, 景区也不做出任何补偿, 什么感受都没有"
135,M27****6313,2018/6/29,"第三方软件买的票就是不靠谱, 因购买毕业生票忘记携带准考证出了票未使用, 找几个客服都不能解决问题不能退票, 园区也推脱说第三方软件不能退票, 建议大家还是在园区购买万一有特殊情况更靠谱, 携程再见第一次使用就出现这种情况不会再使用了"
136,118****777,2019/5/4,"差差差, 物价高, 排队时间长, 在游乐场只要花钱就可不排队走绿色通道, 反正就是钱钱钱"
137,_wech****429887,2018/8/28,"我和老婆一起来广东度蜜月的, 虽然是顺路来广东, 到时来长隆是确定的, 因为名气很大, 也在综艺节目里看见过, 但是真的很失望, 除了综艺节目里出现过来的过山车, 大摆锤, 型滑板, 还行以外, 都很没意思, 都是老套路, 对于设施来说, 供游人休息的地方很少, 游人们都是在花草的围台上坐着, 卫生间也很少, 我是用手机地图在园区里找到的, 如果遇到下雨游客们就会各种躲雨, 我图片里有发, 其次是饮食, 一瓶矿泉水, 元, 一份套餐, 不等, 味道怎么样, 广东味道, 很淡, 很油腻, 在来说服务, 我在一个园区地图上没有标注的地方买了根烤肠和冰淇淋, 价格不说了, 服务态度真是可以了, 声音很小, 我问第二遍很不耐烦的报了价, 对于这样的园区环境, 我实在不想再来第二次, 在现在网络这么发达的时代, 长隆欢乐世界这样的服务, 真的很让人失望"
138,王爷您吉祥,2018/8/27,"大坑爹的景区, 一碗面, 元, 一瓶矿泉水, 元, 消费不起啊"
139,D20****40,2019/4/6,"最最最最最差差评, 付了, 大, 小时钱, 只取到, 大人的票, 个孩子没有入内无票"
140,M31****2273,2019/5/15,"过于垃圾, 不可以退票, 问题是珠海还能取广州的票"
141,怎么称呼合适就怎么来吧,2019/5/2,"园区不许带任何食品, 对带孩子的家长来说很不满意, 也不提前说明不让带食品, 包里装着最终只能存包, 天热出来也不能吃了, 水果, 全部浪费, 这不是变相强制消费吗, 园区怎么也得玩一天, 园区里的食品什么价位大家应该很清楚, 贵些孩子喜欢也好, 可孩子吃不好啊, 建议园区人性化些"
142,_WeCh****995734,2018/8/22,"垃圾地方, 只知道进不知道出, 花了那么多钱玩, 洗发水, 吹风机都没有, 真是来过最垃圾的地方"
143,M30****311,2019/1/24,"不好玩, 无聊, 玩的很郁闷, 没多久就想走人了"
144,_WeCh****224786,2019/2/23,"什么鬼地方, 因为前一天下大雨, 提前打电话询问退票, 告知没有取票就可以了, 我已经问他了是不是我可以不用去了, 他说没取票就好, 因为他这句话我行程都改变了, 今天打电话跟我说退不了, 这几百块钱, 没了就算了, 重点是, 这么大的公司呢, 要么刚开始就跟我说退不了, 给我准确回复, 刚开始说可以退, 现在又说不可以退, 神经吧你, 刚开始说只需要收取百分之二十, 现在又说退不了, 我本来很信任, 的, 现在我对我对, 很失望, 什么破玩意儿"
145,M50****537,2019/10/1,"长隆水上乐园和欢乐世界两日联票, 之前在, 买的两日联票时候可以通过时光隧道两园通玩, 为了这样我们选择了价格更高的联票, 结果玩的当天才告知不可使用, 携程产品上没有写清楚不能两日连玩, 长隆景点, 四个人白话了两三百不说, 玩也没玩好, 打乱了别人的一切计划还没有任何说法和补偿, 大家以后要看好避免受骗, 上次在, 买的是很好很划算的, 最后祝大家玩得开心"
146,M37****024,2018/10/29,"买的是万圣节夜场门票, 元, 我们是周六下午两点到的, 两点开始换票, 换票人不多, 可能是去的早, 基本不用排队, 三点开始检票入园, 大概排队两三分钟就进去了, 原本期待园区里路上会遇到鬼, 基本没遇到, 所谓的免费化妆, 全部需要收费, 入园安检不允许带吃的进去, 所以去区内买吃的都需要排长队, 所有的娱乐设备, 排队基本都需要一两个小时, 鬼屋就更不用说了, 排队两小时以上, 根本没勇气排队了, 四个人, 完了一个项目, 后面就在里面闲逛, 七点多就出来了, 鬼没看到, 全都是人, 如果做不到那么多的接待量, 为什么不控制每天售票数量呢, 乘兴而去, 败兴而归, 体验感超级差, 为了赚钱, 真是不择手段, 还设置了, 通道"
147,M28****0117,2018/10/2,"我塞在路上没去成, 票没得退你们信吗"
148,M29****0717,2018/11/18,"客服服务态度极差, 网上购票结果给骗了, 让他们退钱打电话打了七次了, 每次都在推脱, 说今天给等到明天也不理, 真的是一次很差的购票, 重点客服人员态度很差, 说话过激, 这么大一个公司就这样的服务态度, 让人不得不说, 很拽"
149,zichuan_w,2018/12/22,"取票机越来越少, 且老坏, 服务人员服务态度不行"
150,M46****569,2019/4/6,"烂, 小, 太垃级了, 没有之一, 管理混乱, 携程更垃级, 出个票发了几个码"
151,_CFT0****4144,2018/6/10,"公然歧视同性恋, 真的太过分了, 永远不会去"
152,M36****4709,2019/11/18,"以后在以不会用这个, 了, 特别差"
153,M23****3643,2018/5/20,两女的就不能算情侣
154,_CFT01****2032213,2018/6/12,"五一太多人, 玩一个游戏排了两个多小时, 玩了一分钟"
155,赶紧看看哇,2018/10/27,"体验极差, 携程以后别学别人搞门票商合作了, 标识不清方面就懒得说了, 包括合作方的工作态度, 对事件的处理态度, 赶着下班的心态都让人眼前一亮, 建议后续的大家买票, 尽量选择美团, 支付宝等渠道, 携程这么多黑消息真的不是空穴来风, 用了这么多年一直支持携程, 只能说, 我自己瞎了眼"
156,M55****340,2018/9/5,"携程的霸王条款, 千万不要在携程订票, 真的垃圾, 景区下暴雨不给退票, 有客服说给退, 结果经理用一万种理由说给我承担一半, 呵呵, 我在携程也消费上万就这么处理, 我会继续往, 反应, 不信携程就那么牛逼, 没人管的了"
157,_WeCh****90189,2018/8/17,"未出行, 未出行, 未出行, 未出行"
